image_name,split,width,height,number_of_polyps,polygon_points,contour_area,bbox_width,bbox_height,bbox_area
1.png,train,574,500,1,59,1392.50,57,35,1995.00
10.png,train,574,500,1,46,5876.00,114,66,7524.00
100.png,train,574,500,1,26,15844.50,100,246,24600.00
102.png,train,574,500,1,22,29842.00,264,242,63888.00
103.png,train,574,500,1,31,37712.00,232,274,63568.00
104.png,train,574,500,1,36,42378.50,286,276,78936.00
105.png,train,574,500,1,31,33592.00,239,251,59989.00
106.png,train,574,500,1,23,25110.00,295,193,56935.00
107.png,train,574,500,1,27,16491.00,272,177,48144.00
108.png,train,574,500,1,30,22718.00,180,252,45360.00
109.png,train,574,500,1,26,14686.50,98,241,23618.00
111.png,train,574,500,1,28,27461.50,167,265,44255.00
114.png,train,574,500,1,32,14459.50,215,178,38270.00
115.png,train,574,500,1,50,6817.00,127,112,14224.00
116.png,train,574,500,1,54,3889.00,92,103,9476.00
117.png,train,574,500,1,38,8259.50,85,151,12835.00
118.png,train,574,500,1,41,9905.50,100,167,16700.00
120.png,train,574,500,1,42,10255.00,76,196,14896.00
121.png,train,574,500,1,30,51460.00,162,410,66420.00
122.png,train,574,500,1,27,44424.50,167,373,62291.00
123.png,train,574,500,1,30,40274.50,162,346,56052.00
124.png,train,574,500,1,27,32661.50,277,249,68973.00
125.png,train,574,500,1,30,41578.50,242,304,73568.00
126.png,train,574,500,1,35,27609.00,246,233,57318.00
127.png,train,574,500,1,27,33488.50,199,277,55123.00
128.png,train,574,500,1,39,18654.50,126,222,27972.00
129.png,train,574,500,1,33,37783.00,268,272,72896.00
13.png,train,574,500,1,46,7199.00,83,109,9047.00
132.png,train,574,500,1,43,11973.00,112,181,20272.00
133.png,train,574,500,1,37,13227.00,131,178,23318.00
134.png,train,574,500,1,35,15669.00,120,198,23760.00
136.png,train,574,500,1,40,18511.00,156,217,33852.00
137.png,train,574,500,1,30,42945.50,289,265,76585.00
138.png,train,574,500,1,29,36335.50,248,260,64480.00
14.png,train,574,500,1,39,13573.00,127,136,17272.00
140.png,train,574,500,1,35,22689.50,201,239,48039.00
142.png,train,574,500,1,23,25890.50,189,244,46116.00
