image_name,split,width,height,number_of_polyps,polygon_points,contour_area,bbox_width,bbox_height,bbox_area
1.png,train,384,288,1,21,16713.50,224,125,28000.00
10.png,train,384,288,1,27,17991.50,94,254,23876.00
100.png,train,384,288,1,39,7075.00,106,87,9222.00
101.png,train,384,288,1,35,7681.00,112,98,10976.00
102.png,train,384,288,1,33,7698.50,108,99,10692.00
105.png,train,384,288,1,28,16035.50,127,184,23368.00
106.png,train,384,288,1,31,14177.50,134,222,29748.00
107.png,train,384,288,1,27,20541.00,129,215,27735.00
108.png,train,384,288,1,25,19519.00,122,219,26718.00
109.png,train,384,288,1,30,17920.50,115,219,25185.00
11.png,train,384,288,1,32,17434.50,121,205,24805.00
110.png,train,384,288,1,29,25067.50,143,238,34034.00
111.png,train,384,288,1,27,25323.50,138,242,33396.00
112.png,train,384,288,1,26,25438.00,145,244,35380.00
113.png,train,384,288,1,26,25619.50,144,246,35424.00
114.png,train,384,288,1,26,26711.50,154,249,38346.00
115.png,train,384,288,1,26,14541.00,115,270,31050.00
116.png,train,384,288,1,27,15375.00,135,262,35370.00
117.png,train,384,288,1,31,13317.50,145,248,35960.00
118.png,train,384,288,1,23,15200.50,163,261,42543.00
119.png,train,384,288,1,28,12548.00,97,265,25705.00
12.png,train,384,288,1,32,25281.50,173,236,40828.00
120.png,train,384,288,1,31,16597.50,95,267,25365.00
122.png,train,384,288,1,21,16551.50,106,270,28620.00
124.png,train,384,288,1,35,16597.00,111,266,29526.00
125.png,train,384,288,1,36,10176.00,86,177,15222.00
127.png,train,384,288,1,53,4998.50,97,72,6984.00
129.png,train,384,288,1,38,7762.00,117,90,10530.00
13.png,train,384,288,1,19,13767.50,182,129,23478.00
130.png,train,384,288,1,31,10093.50,135,101,13635.00
131.png,train,384,288,1,30,10400.50,136,100,13600.00
132.png,train,384,288,1,43,5236.50,93,70,6510.00
133.png,train,384,288,1,31,7541.00,118,81,9558.00
134.png,train,384,288,1,41,6977.50,116,79,9164.00
135.png,train,384,288,1,17,15592.50,149,163,24287.00
136.png,train,384,288,1,24,13198.00,163,97,15811.00
137.png,train,384,288,1,25,11470.50,155,93,14415.00
138.png,train,384,288,1,23,17740.50,163,141,22983.00
14.png,train,384,288,1,24,22857.00,290,131,37990.00
141.png,train,384,288,1,25,28904.50,210,175,36750.00
143.png,train,384,288,1,52,4435.00,61,101,6161.00
144.png,train,384,288,1,27,16287.50,154,137,21098.00
145.png,train,384,288,1,25,22288.50,188,156,29328.00
146.png,train,384,288,1,27,22190.50,187,158,29546.00
147.png,train,384,288,1,32,13311.50,145,118,17110.00
