image_name,split,width,height,number_of_polyps,polygon_points,contour_area,bbox_width,bbox_height,bbox_area
1.png,train,1225,966,1,25,10316.50,96,170,16320.00
100.png,train,1225,966,1,24,21788.00,128,226,28928.00
101.png,train,1225,966,1,21,17960.50,112,206,23072.00
102.png,train,1225,966,1,19,16926.00,114,202,23028.00
103.png,train,1225,966,1,22,21128.00,124,232,28768.00
107.png,train,1225,966,1,24,91843.50,310,380,117800.00
108.png,train,1225,966,1,22,94089.00,316,368,116288.00
109.png,train,1225,966,1,25,92366.50,311,376,116936.00
11.png,train,1225,966,1,46,6313.50,71,119,8449.00
110.png,train,1225,966,1,22,31743.00,186,223,41478.00
111.png,train,1225,966,1,26,37830.50,219,239,52341.00
112.png,train,1225,966,1,30,18600.50,143,179,25597.00
113.png,train,1225,966,1,30,190945.00,558,469,261702.00
114.png,train,1225,966,1,27,203194.00,582,480,279360.00
115.png,train,1225,966,1,34,194678.00,574,472,270928.00
116.png,train,1225,966,1,35,273791.00,685,565,387025.00
117.png,train,1225,966,1,29,193847.50,564,468,263952.00
118.png,train,1225,966,1,33,184081.50,553,455,251615.00
120.png,train,1225,966,1,28,235452.50,593,511,303023.00
121.png,train,1225,966,1,20,12640.50,133,166,22078.00
123.png,train,1225,966,1,27,6951.50,104,127,13208.00
125.png,train,1225,966,1,26,115323.00,397,367,145699.00
126.png,train,1225,966,1,19,14144.50,149,174,25926.00
127.png,train,1225,966,1,28,11745.50,134,116,15544.00
128.png,train,1225,966,1,34,8233.00,121,94,11374.00
129.png,train,1225,966,1,28,8529.50,125,92,11500.00
13.png,train,1225,966,1,28,92039.00,313,613,191869.00
131.png,train,1225,966,1,30,11232.00,133,110,14630.00
132.png,train,1225,966,1,35,8443.50,121,95,11495.00
133.png,train,1225,966,1,20,29155.50,176,224,39424.00
136.png,train,1225,966,1,18,40884.50,213,256,54528.00
137.png,train,1225,966,1,22,23508.50,151,234,35334.00
138.png,train,1225,966,1,28,10631.50,102,152,15504.00
139.png,train,1225,966,1,23,16132.00,198,147,29106.00
14.png,train,1225,966,1,34,105282.00,332,695,230740.00
140.png,train,1225,966,1,25,11551.00,137,137,18769.00
141.png,train,1225,966,1,17,8724.50,117,139,16263.00
142.png,train,1225,966,1,24,15107.00,160,162,25920.00
143.png,train,1225,966,1,23,18331.50,187,172,32164.00
145.png,train,1225,966,1,22,20694.50,221,158,34918.00
146.png,train,1225,966,1,23,9178.00,120,138,16560.00
147.png,train,1225,966,1,19,18869.00,222,115,25530.00
148.png,train,1225,966,1,20,20727.50,198,179,35442.00
151.png,train,1225,966,1,27,11745.50,162,121,19602.00
153.png,train,1225,966,1,23,24150.00,182,178,32396.00
154.png,train,1225,966,1,33,10951.00,131,117,15327.00
156.png,train,1225,966,1,41,9250.50,114,116,13224.00
157.png,train,1225,966,1,27,11481.00,133,119,15827.00
158.png,train,1225,966,1,27,13554.00,155,118,18290.00
159.png,train,1225,966,1,31,60298.50,317,301,95417.00
16.png,train,1225,966,1,33,110117.00,380,610,231800.00
160.png,train,1225,966,1,33,57539.00,313,291,91083.00
161.png,train,1225,966,1,20,40749.00,280,251,70280.00
164.png,train,1225,966,1,23,48767.50,305,251,76555.00
165.png,train,1225,966,1,15,14969.50,235,99,23265.00
166.png,train,1225,966,1,20,27284.00,274,138,37812.00
167.png,train,1225,966,1,23,29532.50,262,162,42444.00
168.png,train,1225,966,1,20,15947.50,222,109,24198.00
169.png,train,1225,966,1,22,7178.50,142,89,12638.00
17.png,train,1225,966,1,34,97039.50,366,532,194712.00
170.png,train,1225,966,1,30,6342.00,136,80,10880.00
171.png,train,1225,966,1,24,114407.50,494,322,159068.00
172.png,train,1225,966,1,22,148873.00,532,390,207480.00
173.png,train,1225,966,1,21,181012.00,611,420,256620.00
174.png,train,1225,966,1,22,92271.00,453,280,126840.00
175.png,train,1225,966,1,24,140267.00,485,388,188180.00
176.png,train,1225,966,1,25,142826.00,502,383,192266.00
179.png,train,1225,966,1,25,304185.50,617,601,370817.00
18.png,train,1225,966,1,35,77194.50,340,496,168640.00
180.png,train,1225,966,1,31,275622.00,582,620,360840.00
181.png,train,1225,966,1,28,334928.00,692,651,450492.00
182.png,train,1225,966,1,26,342808.50,667,688,458896.00
183.png,train,1225,966,1,25,23342.50,201,158,31758.00
184.png,train,1225,966,1,24,26663.50,226,153,34578.00
185.png,train,1225,966,1,26,24294.50,202,168,33936.00
186.png,train,1225,966,1,25,23246.00,199,161,32039.00
187.png,train,1225,966,1,27,22490.50,182,158,28756.00
188.png,train,1225,966,1,24,25477.50,214,153,32742.00
189.png,train,1225,966,1,29,29700.50,209,199,41591.00
19.png,train,1225,966,1,25,25881.50,167,214,35738.00
190.png,train,1225,966,1,25,48309.00,250,265,66250.00
191.png,train,1225,966,1,51,1196.00,31,54,1674.00
192.png,train,1225,966,1,54,1516.50,37,56,2072.00
193.png,train,1225,966,1,53,1261.00,33,56,1848.00
194.png,train,1225,966,1,67,2245.50,45,69,3105.00
195.png,train,1225,966,1,55,1276.00,33,57,1881.00
20.png,train,1225,966,1,25,17947.00,130,195,25350.00
21.png,train,1225,966,1,29,49055.50,273,245,66885.00
22.png,train,1225,966,1,19,19112.00,118,238,28084.00
23.png,train,1225,966,1,52,4858.00,72,87,6264.00
24.png,train,1225,966,1,47,4591.00,73,86,6278.00
26.png,train,1225,966,1,21,48704.50,327,289,94503.00
27.png,train,1225,966,1,20,51180.50,333,303,100899.00
28.png,train,1225,966,1,22,54281.50,291,324,94284.00
29.png,train,1225,966,1,24,48772.00,314,290,91060.00
3.png,train,1225,966,1,34,9565.50,93,170,15810.00
30.png,train,1225,966,1,22,48280.50,322,296,95312.00
31.png,train,1225,966,1,20,38819.50,314,239,75046.00
32.png,train,1225,966,1,21,81171.00,384,326,125184.00
33.png,train,1225,966,1,20,74326.50,374,324,121176.00
34.png,train,1225,966,1,18,100965.50,439,356,156284.00
35.png,train,1225,966,1,21,51605.00,382,222,84804.00
36.png,train,1225,966,1,24,11014.50,189,93,17577.00
37.png,train,1225,966,1,20,21756.50,180,164,29520.00
38.png,train,1225,966,1,20,20872.50,164,171,28044.00
4.png,train,1225,966,1,26,9898.50,95,166,15770.00
40.png,train,1225,966,1,18,42558.50,260,230,59800.00
41.png,train,1225,966,1,20,48894.00,263,245,64435.00
42.png,train,1225,966,1,24,19267.50,169,151,25519.00
43.png,train,1225,966,3,59,1664.50,42,50,2100.00
43.png,train,1225,966,3,51,29815.00,170,230,39100.00
43.png,train,1225,966,3,36,43304.00,180,316,56880.00
44.png,train,1225,966,3,50,1252.50,38,42,1596.00
44.png,train,1225,966,3,40,30245.50,172,232,39904.00
44.png,train,1225,966,3,42,33278.50,192,222,42624.00
45.png,train,1225,966,3,54,2031.00,46,54,2484.00
45.png,train,1225,966,3,48,28179.50,168,224,37632.00
45.png,train,1225,966,3,43,28892.50,174,224,38976.00
46.png,train,1225,966,3,51,1781.00,48,48,2304.00
46.png,train,1225,966,3,58,24019.00,148,202,29896.00
46.png,train,1225,966,3,39,33011.50,180,228,41040.00
47.png,train,1225,966,3,47,2100.00,58,46,2668.00
47.png,train,1225,966,3,40,20342.50,116,226,26216.00
47.png,train,1225,966,3,44,27656.50,158,216,34128.00
49.png,train,1225,966,1,24,23645.00,151,226,34126.00
5.png,train,1225,966,1,29,8581.50,78,171,13338.00
50.png,train,1225,966,1,23,22961.50,150,219,32850.00
52.png,train,1225,966,1,22,148396.50,367,526,193042.00
53.png,train,1225,966,1,30,8758.00,86,145,12470.00
54.png,train,1225,966,1,22,16789.50,137,189,25893.00
55.png,train,1225,966,1,24,25274.00,158,232,36656.00
56.png,train,1225,966,1,25,24027.00,156,202,31512.00
57.png,train,1225,966,1,25,9039.00,99,124,12276.00
6.png,train,1225,966,1,32,10017.00,99,164,16236.00
60.png,train,1225,966,1,55,3711.50,58,102,5916.00
62.png,train,1225,966,1,26,48969.50,258,333,85914.00
63.png,train,1225,966,1,23,196848.00,554,491,272014.00
64.png,train,1225,966,1,25,187632.50,528,471,248688.00
65.png,train,1225,966,1,21,45807.50,289,212,61268.00
66.png,train,1225,966,1,26,206890.00,551,497,273847.00
67.png,train,1225,966,1,21,42522.00,285,201,57285.00
68.png,train,1225,966,1,21,20187.00,217,133,28861.00
69.png,train,1225,966,1,45,5004.00,86,77,6622.00
70.png,train,1225,966,1,47,2689.00,70,66,4620.00
73.png,train,1225,966,1,59,3536.50,74,67,4958.00
74.png,train,1225,966,1,36,6702.00,111,83,9213.00
75.png,train,1225,966,1,32,8614.50,92,130,11960.00
76.png,train,1225,966,1,45,5164.00,73,108,7884.00
77.png,train,1225,966,1,42,4287.00,66,95,6270.00
78.png,train,1225,966,1,63,2866.00,56,75,4200.00
8.png,train,1225,966,1,18,10512.00,96,154,14784.00
80.png,train,1225,966,1,25,11582.00,108,152,16416.00
81.png,train,1225,966,1,29,103723.50,365,417,152205.00
82.png,train,1225,966,1,22,34054.00,212,241,51092.00
84.png,train,1225,966,1,26,95277.50,399,343,136857.00
85.png,train,1225,966,1,25,67313.00,321,285,91485.00
86.png,train,1225,966,1,28,34515.00,206,244,50264.00
88.png,train,1225,966,1,28,61851.50,297,351,104247.00
89.png,train,1225,966,1,54,3815.50,76,68,5168.00
90.png,train,1225,966,1,38,5823.50,91,82,7462.00
92.png,train,1225,966,1,29,40624.00,239,278,66442.00
94.png,train,1225,966,1,28,8509.00,105,128,13440.00
95.png,train,1225,966,1,32,6457.50,90,101,9090.00
96.png,train,1225,966,1,49,5964.00,91,90,8190.00
98.png,train,1225,966,1,32,9651.00,109,127,13843.00
99.png,train,1225,966,1,25,21731.50,131,226,29606.00
10.png,val,1225,966,1,31,10124.50,95,148,14060.00
104.png,val,1225,966,1,17,17494.00,117,207,24219.00
105.png,val,1225,966,1,23,93646.50,317,378,119826.00
106.png,val,1225,966,1,21,94484.50,298,393,117114.00
119.png,val,1225,966,1,34,216209.50,579,488,282552.00
12.png,val,1225,966,1,27,10245.00,87,167,14529.00
122.png,val,1225,966,1,23,10716.50,136,148,20128.00
124.png,val,1225,966,1,22,115905.00,392,364,142688.00
130.png,val,1225,966,1,25,10959.50,138,105,14490.00
134.png,val,1225,966,1,23,22997.50,149,213,31737.00
135.png,val,1225,966,1,22,9046.50,102,137,13974.00
144.png,val,1225,966,1,26,15438.50,186,147,27342.00
149.png,val,1225,966,1,22,13718.00,222,82,18204.00
15.png,val,1225,966,1,34,114891.50,410,644,264040.00
150.png,val,1225,966,1,18,49311.50,393,174,68382.00
152.png,val,1225,966,1,25,13423.00,279,94,26226.00
155.png,val,1225,966,1,29,19056.00,173,141,24393.00
162.png,val,1225,966,1,26,61043.50,311,303,94233.00
163.png,val,1225,966,1,26,60884.00,320,293,93760.00
177.png,val,1225,966,1,30,290272.50,775,622,482050.00
178.png,val,1225,966,1,24,234455.50,647,538,348086.00
196.png,val,1225,966,1,54,1520.00,35,61,2135.00
2.png,val,1225,966,1,24,10390.50,101,168,16968.00
25.png,val,1225,966,1,19,50596.00,323,290,93670.00
39.png,val,1225,966,1,22,21656.50,173,164,28372.00
48.png,val,1225,966,3,46,1965.50,50,48,2400.00
48.png,val,1225,966,3,44,30169.00,164,232,38048.00
48.png,val,1225,966,3,42,34971.00,186,250,46500.00
51.png,val,1225,966,1,17,22877.00,145,209,30305.00
58.png,val,1225,966,1,34,8661.00,93,130,12090.00
59.png,val,1225,966,1,22,48444.00,292,331,96652.00
61.png,val,1225,966,1,26,55590.50,292,361,105412.00
7.png,val,1225,966,1,29,9594.50,86,148,12728.00
71.png,val,1225,966,1,33,7735.50,110,95,10450.00
72.png,val,1225,966,1,51,5755.00,87,94,8178.00
79.png,val,1225,966,1,58,3537.00,68,81,5508.00
83.png,val,1225,966,1,28,81339.00,349,331,115519.00
87.png,val,1225,966,1,32,82038.50,350,394,137900.00
9.png,val,1225,966,1,30,6704.00,72,127,9144.00
91.png,val,1225,966,1,28,68181.50,315,366,115290.00
93.png,val,1225,966,1,29,11347.00,110,148,16280.00
97.png,val,1225,966,1,36,7557.50,100,107,10700.00
