Model,Seed,Raw_TP,Raw_FN,Raw_FP,Raw_TN,Norm_TP,Norm_FN,Norm_FP,Norm_TN
Baseline,s0,111.0,18.0,16.0,0.0,0.87,1.0,0.13,0.0
Baseline,s1,107.0,20.0,20.0,0.0,0.84,1.0,0.16,0.0
Baseline,s2,110.0,17.0,17.0,0.0,0.87,1.0,0.13,0.0
Baseline,s3,111.0,16.0,16.0,0.0,0.87,1.0,0.13,0.0
Baseline,s4,112.0,15.0,15.0,0.0,0.88,1.0,0.12,0.0
Baseline,s5,112.0,14.0,15.0,0.0,0.88,1.0,0.12,0.0
TSVM,s0,59.0,10.0,68.0,0.0,0.46,1.0,0.54,0.0
TSVM,s1,114.0,16.0,13.0,0.0,0.9,1.0,0.1,0.0
TSVM,s2,110.0,13.0,17.0,0.0,0.87,1.0,0.13,0.0
TSVM,s3,114.0,15.0,13.0,0.0,0.9,1.0,0.1,0.0
TSVM,s4,113.0,18.0,14.0,0.0,0.89,1.0,0.11,0.0
TSVM,s5,,90.0,127.0,0.0,,1.0,1.0,0.0
