Model,Seed,Best_Epoch,Mask_mAP50_95,Mask_mAP50,Mask_Precision,Mask_Recall,Box_mAP50_95,Box_mAP50,val_seg_loss,val_box_loss,val_cls_loss,train_seg_loss
Baseline,s0,89,0.73663,0.91363,0.95352,0.8189,0.75226,0.91164,1.34116,0.69794,0.50044,0.86487
Baseline,s1,98,0.71649,0.89517,0.85328,0.85039,0.73278,0.87766,1.27884,0.69224,0.58717,0.67891
Baseline,s2,100,0.71377,0.90723,0.91387,0.83547,0.72117,0.90177,1.32917,0.7115,0.53082,0.70565
Baseline,s3,61,0.69411,0.90518,0.87856,0.8545,0.69053,0.89265,1.28807,0.79719,0.67022,1.03008
Baseline,s4,99,0.72741,0.90617,0.93874,0.88189,0.74385,0.90309,1.43904,0.66545,0.50659,0.70217
Baseline,s5,94,0.73505,0.92635,0.93179,0.86049,0.74495,0.91891,1.20219,0.70731,0.5227,0.71623
TSVM,s0,88,0.72451,0.90402,0.93122,0.85286,0.71251,0.89728,1.2809,0.79314,0.60101,0.90977
TSVM,s1,98,0.72739,0.91154,0.94368,0.86614,0.74407,0.91084,1.26302,0.68107,0.53605,0.69639
TSVM,s2,83,0.72591,0.90035,0.922,0.83767,0.73151,0.90496,1.18379,0.73589,0.5808,0.88298
TSVM,s3,89,0.72126,0.91644,0.9188,0.89093,0.72284,0.90721,1.17774,0.77455,0.68349,0.87907
TSVM,s4,97,0.7197,0.90244,0.90178,0.86756,0.73128,0.89086,1.23637,0.74514,0.58602,0.69354
TSVM,s5,90,0.72845,0.90959,0.90131,0.88189,0.7398,0.9113,1.30203,0.75114,0.53301,0.91839
