metric,display_name,category,baseline_mean,baseline_std,baseline_mean_pm_std,baseline_min,baseline_max,baseline_range,tsvm_mean,tsvm_std,tsvm_mean_pm_std,tsvm_min,tsvm_max,tsvm_range,delta,delta_pct,p_value,significance,clinical_interpretation
mask_map50_95,Mask mAP@50-95 (Segmentation),Segmentation (Mask),0.72977,0.015,0.7298 ± 0.0150,0.70728,0.74955,[0.7073 – 0.7496],0.72464,0.00495,0.7246 ± 0.0050,0.71955,0.7308,[0.7196 – 0.7308],-0.00513,-0.70%,0.5278,ns,Độ chính xác phân đoạn tổng thể; TSVM ổn định hơn 3 lần (std 0.0050 vs 0.0150)
mask_map50,Mask mAP@50 (Segmentation),Segmentation (Mask),0.91289,0.00704,0.9129 ± 0.0070,0.90486,0.92232,[0.9049 – 0.9223],0.91344,0.00896,0.9134 ± 0.0090,0.90555,0.92682,[0.9055 – 0.9268],0.00054,+0.06%,0.908,ns,Độ chính xác phân đoạn tại ngưỡng IoU 0.5; hai mô hình tương đương tuyệt đối (+0.05%)
mask_precision,Mask Precision (Độ chính xác),Segmentation (Mask),0.91652,0.01042,0.9165 ± 0.0104,0.89738,0.92597,[0.8974 – 0.9260],0.91714,0.01889,0.9171 ± 0.0189,0.88294,0.93309,[0.8829 – 0.9331],0.00062,+0.07%,0.939,ns,"Tỷ lệ pixel dự đoán đúng thuộc polyp; TSVM cao hơn nhẹ (+0.07%), hạn chế lem viền"
mask_recall,Mask Recall (Độ nhạy phân đoạn),Segmentation (Mask),0.88369,0.0087,0.8837 ± 0.0087,0.87402,0.89764,[0.8740 – 0.8976],0.85452,0.02193,0.8545 ± 0.0219,0.83465,0.89088,[0.8347 – 0.8909],-0.02917,-3.30%,0.0359,p < 0.05,Tỷ lệ diện tích polyp thực tế được bao phủ; TSVM thận trọng hơn ở vùng biên phẳng (-3.30%)
mask_f1,Mask F1-Score (Hài hòa P & R),Segmentation (Mask),0.89974,0.00434,0.8997 ± 0.0043,0.89367,0.90578,[0.8937 – 0.9058],0.88439,0.00839,0.8844 ± 0.0084,0.87236,0.89807,[0.8724 – 0.8981],-0.01535,-1.71%,0.0024,p < 0.01,Trung bình điều hòa giữa Precision và Recall phân đoạn mặt nạ
best_mask_epoch,Best Mask Epoch (Thời điểm đạt đỉnh),Segmentation (Mask),87.16667,9.15241,87.2 ± 9.2,75.0,98.0,[75 – 98],86.66667,10.07307,86.7 ± 10.1,71.0,99.0,[71 – 99],-0.5,-0.57%,0.9371,ns,Epoch đạt chất lượng mặt nạ mAP50-95 cao nhất trong 100 epoch
max_mask_map50_95,Max Mask mAP@50-95 (Đỉnh cao nhất),Segmentation (Mask),0.72977,0.015,0.7298 ± 0.0150,0.70728,0.74955,[0.7073 – 0.7496],0.72464,0.00495,0.7246 ± 0.0050,0.71955,0.7308,[0.7196 – 0.7308],-0.00513,-0.70%,0.5278,ns,Giá trị mAP50-95 mặt nạ cao nhất từng đạt được trong toàn bộ quá trình train
max_mask_map50,Max Mask mAP@50 (Đỉnh cao nhất),Segmentation (Mask),0.9297,0.00584,0.9297 ± 0.0058,0.92471,0.93961,[0.9247 – 0.9396],0.92591,0.00701,0.9259 ± 0.0070,0.91727,0.93437,[0.9173 – 0.9344],-0.00379,-0.41%,0.3686,ns,Giá trị mAP50 mặt nạ cao nhất từng đạt được
mask_map50_95_last,Mask mAP@50-95 (Epoch 100),Segmentation (Mask),0.71862,0.0186,0.7186 ± 0.0186,0.68413,0.73807,[0.6841 – 0.7381],0.71937,0.00647,0.7194 ± 0.0065,0.71051,0.72982,[0.7105 – 0.7298],0.00075,+0.10%,0.9399,ns,Độ chính xác phân đoạn tại epoch kết thúc huấn luyện
mask_map50_last,Mask mAP@50 (Epoch 100),Segmentation (Mask),0.90655,0.01491,0.9066 ± 0.0149,0.88475,0.92081,[0.8848 – 0.9208],0.90514,0.01158,0.9051 ± 0.0116,0.8891,0.925,[0.8891 – 0.9250],-0.00141,-0.16%,0.875,ns,Độ chính xác phân đoạn IoU 0.5 tại epoch 100
