epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8947,0.84578,2.28196,5.50239,0.01155,4.54405,0.00333,0.94488,0.42467,0.29591,0.00336,0.95276,0.43903,0.29489,0.74352,2.95432,9.49697,0.01589,0,0.000654545,0.000654545,0.000654545
2,59.8718,1.00541,1.65816,4.09359,0.01418,1.93701,0.45694,0.46457,0.41185,0.234,0.46468,0.47244,0.4283,0.2485,1.19121,2.53017,7.20107,0.02683,0,0.00130813,0.00130813,0.00130813
3,77.5945,1.0977,1.57709,2.9734,0.01648,1.75711,0.67319,0.56693,0.62211,0.40758,0.65461,0.56693,0.62138,0.43446,1.13726,2.37978,3.9426,0.02504,0,0.00194852,0.00194852,0.00194852
4,95.354,1.10766,1.53485,2.32549,0.01589,1.71167,0.74519,0.6063,0.69255,0.47433,0.75486,0.61417,0.69409,0.4977,1.13335,2.31375,2.51227,0.02591,0,0.0019406,0.0019406,0.0019406
5,112.851,1.19193,1.60544,1.94279,0.01704,1.67378,0.73153,0.60075,0.69712,0.40503,0.63895,0.70079,0.72422,0.45409,1.35339,2.14804,2.24018,0.03163,0,0.0019208,0.0019208,0.0019208
6,130.411,1.11726,1.46285,1.58737,0.0172,1.43537,0.75263,0.69475,0.75995,0.47149,0.77089,0.71535,0.76852,0.5291,1.36516,1.753,1.66622,0.03153,0,0.001901,0.001901,0.001901
7,147.929,1.08345,1.44434,1.32232,0.01584,1.34615,0.70272,0.70079,0.73097,0.48126,0.72126,0.71654,0.75115,0.51143,1.20977,1.83535,1.60973,0.02739,0,0.0018812,0.0018812,0.0018812
8,165.293,1.08206,1.44578,1.35888,0.01562,1.42241,0.66187,0.67817,0.72168,0.41624,0.66724,0.66313,0.71623,0.4542,1.27856,1.92437,1.66785,0.03007,0,0.0018614,0.0018614,0.0018614
9,182.901,1.11178,1.4893,1.35979,0.01678,1.55006,0.81016,0.71654,0.81981,0.54685,0.8157,0.73187,0.8212,0.56143,1.20432,1.78978,1.22706,0.02824,0,0.0018416,0.0018416,0.0018416
10,200.385,1.13124,1.53954,1.3007,0.01762,1.56627,0.71922,0.72612,0.74624,0.50013,0.73654,0.74016,0.77531,0.53752,1.14809,1.61138,1.26593,0.02714,0,0.0018218,0.0018218,0.0018218
11,217.972,1.14056,1.46567,1.28966,0.01701,1.50763,0.75981,0.77218,0.79438,0.55652,0.76749,0.77973,0.8038,0.57046,1.11512,1.64639,1.12052,0.02654,0,0.001802,0.001802,0.001802
12,235.619,1.0468,1.38096,1.05342,0.01542,1.20608,0.70996,0.70079,0.73446,0.47772,0.70996,0.70079,0.72683,0.48934,1.2787,1.83014,1.38294,0.02973,0,0.0017822,0.0017822,0.0017822
13,253.178,1.05213,1.33234,1.10577,0.01523,1.26741,0.74294,0.75099,0.80384,0.54124,0.73515,0.74312,0.78698,0.57253,1.17226,1.59755,1.07397,0.02759,0,0.0017624,0.0017624,0.0017624
14,270.571,1.05572,1.38783,1.06703,0.01522,1.30295,0.85871,0.6378,0.79698,0.54641,0.72056,0.74016,0.79401,0.566,1.18206,1.67015,1.14609,0.02832,0,0.0017426,0.0017426,0.0017426
15,288.061,1.02006,1.37968,1.04345,0.01469,1.30414,0.76242,0.74803,0.77312,0.51895,0.77847,0.76378,0.79026,0.56269,1.16727,1.52644,1.17003,0.02724,0,0.0017228,0.0017228,0.0017228
16,305.546,1.02736,1.35833,1.02363,0.0158,1.39816,0.83586,0.68167,0.81488,0.58212,0.84591,0.70079,0.81654,0.60813,1.1247,1.59955,0.93572,0.02648,0,0.001703,0.001703,0.001703
17,323.166,0.98252,1.30065,0.96577,0.01416,1.19714,0.80738,0.79215,0.86566,0.61384,0.77306,0.81102,0.86155,0.63641,1.09132,1.47644,0.89041,0.02497,0,0.0016832,0.0016832,0.0016832
18,340.681,1.03752,1.30913,0.97327,0.01457,1.18311,0.82293,0.79528,0.85465,0.58394,0.82293,0.79528,0.8483,0.62718,1.18579,1.54256,0.95083,0.02816,0,0.0016634,0.0016634,0.0016634
19,358.107,1.00401,1.25723,0.99044,0.01406,1.29731,0.93099,0.7436,0.87073,0.6314,0.94081,0.75089,0.8823,0.67032,1.02626,1.37427,0.83672,0.02447,0,0.0016436,0.0016436,0.0016436
20,375.78,0.99428,1.30283,0.98646,0.01384,1.18174,0.78672,0.83465,0.8728,0.65192,0.87297,0.75758,0.87698,0.65209,0.93689,1.61541,0.8555,0.02127,0,0.0016238,0.0016238,0.0016238
21,393.466,1.03269,1.37781,0.94471,0.01503,1.22548,0.83989,0.78478,0.86179,0.61706,0.84831,0.79265,0.87936,0.64239,1.12328,1.54232,0.83538,0.02634,0,0.001604,0.001604,0.001604
22,411.049,0.92429,1.26075,0.8852,0.01371,1.19911,0.8026,0.80039,0.85657,0.61455,0.89312,0.72381,0.85409,0.61911,1.06419,1.6606,0.88687,0.026,0,0.0015842,0.0015842,0.0015842
23,428.841,0.98487,1.22379,0.97679,0.01399,1.17366,0.74609,0.80981,0.83562,0.59435,0.74609,0.80981,0.84031,0.61062,1.02712,1.55295,0.90266,0.02351,0,0.0015644,0.0015644,0.0015644
24,446.593,0.93443,1.28389,0.87171,0.01401,1.06354,0.76691,0.8189,0.8455,0.63199,0.84854,0.77953,0.86068,0.64605,0.93567,1.42667,0.89091,0.02158,0,0.0015446,0.0015446,0.0015446
25,463.72,0.98029,1.24294,0.87204,0.01457,1.06775,0.82164,0.81102,0.85057,0.61089,0.80378,0.81102,0.84134,0.6157,1.06817,1.6479,0.88485,0.02579,0,0.0015248,0.0015248,0.0015248
26,480.832,0.92947,1.25879,0.87055,0.01333,1.1429,0.86412,0.75591,0.85724,0.65555,0.861,0.75591,0.86431,0.64677,0.93973,1.69838,0.807,0.02105,0,0.001505,0.001505,0.001505
27,498.362,0.92193,1.27624,0.88716,0.01366,1.14155,0.77787,0.79528,0.83591,0.60669,0.79485,0.81102,0.84781,0.60966,1.03547,1.56342,0.89076,0.0233,0,0.0014852,0.0014852,0.0014852
28,515.944,0.95204,1.27449,0.96941,0.01373,1.24598,0.76013,0.77355,0.83135,0.60574,0.82753,0.71654,0.83383,0.59633,0.98699,1.7919,0.89409,0.02384,0,0.0014654,0.0014654,0.0014654
29,533.432,0.97075,1.27565,0.85157,0.01328,1.0102,0.9016,0.79363,0.8902,0.64247,0.89379,0.79516,0.87719,0.66291,1.03121,1.52231,0.76604,0.02374,0,0.0014456,0.0014456,0.0014456
30,551.007,0.92963,1.21977,0.83688,0.01256,1.09824,0.82482,0.74016,0.80905,0.60884,0.8442,0.75591,0.82715,0.62236,1.03315,1.4913,0.90343,0.02449,0,0.0014258,0.0014258,0.0014258
31,568.574,0.91774,1.18646,0.89351,0.01297,1.06239,0.81685,0.80315,0.8737,0.6344,0.82438,0.77165,0.87038,0.63866,1.04152,1.42775,0.7781,0.02512,0,0.001406,0.001406,0.001406
32,586.22,0.93693,1.28145,0.81681,0.01307,1.13212,0.86088,0.80315,0.84494,0.58102,0.86932,0.81102,0.85244,0.60766,1.15185,1.8934,0.90842,0.02681,0,0.0013862,0.0013862,0.0013862
33,603.714,0.88829,1.23033,0.7725,0.01305,0.97317,0.81773,0.77716,0.82853,0.61512,0.80658,0.80315,0.84549,0.62955,1.02002,1.52226,0.90426,0.02304,0,0.0013664,0.0013664,0.0013664
34,621.085,0.88951,1.16253,0.79603,0.01335,0.9718,0.88993,0.7874,0.89814,0.6846,0.88598,0.79543,0.89626,0.69041,0.89379,1.44473,0.75039,0.02095,0,0.0013466,0.0013466,0.0013466
35,638.976,0.91603,1.17649,0.83633,0.01312,1.08383,0.84299,0.77953,0.84397,0.62306,0.81303,0.8189,0.86433,0.6354,0.96386,1.50313,0.81514,0.02222,0,0.0013268,0.0013268,0.0013268
36,656.477,0.87867,1.18787,0.75636,0.01269,1.02147,0.87697,0.78576,0.87136,0.65777,0.87697,0.78576,0.87954,0.65263,0.9859,1.49318,0.71237,0.02281,0,0.001307,0.001307,0.001307
37,673.95,0.836,1.09313,0.69326,0.01168,0.97581,0.87217,0.77953,0.86032,0.65788,0.87217,0.77953,0.86209,0.67523,0.89602,1.34244,0.83554,0.02111,0,0.0012872,0.0012872,0.0012872
38,691.284,0.89717,1.08602,0.643,0.01269,0.88384,0.86742,0.79528,0.8699,0.65584,0.88054,0.80315,0.8778,0.66207,0.91531,1.32136,0.77632,0.02081,0,0.0012674,0.0012674,0.0012674
39,708.419,0.90612,1.20183,0.74576,0.01297,0.9167,0.90011,0.82677,0.88928,0.67987,0.90483,0.85039,0.89967,0.69306,0.89338,1.34546,0.71359,0.02055,0,0.0012476,0.0012476,0.0012476
40,725.612,0.89373,1.21553,0.78682,0.01318,1.06869,0.81325,0.83465,0.86117,0.67001,0.82092,0.84252,0.87488,0.65252,0.82104,1.44607,0.77534,0.01947,0,0.0012278,0.0012278,0.0012278
41,742.827,0.88969,1.16382,0.77784,0.01263,0.8924,0.83498,0.85039,0.87696,0.66135,0.83498,0.85039,0.87832,0.68118,0.92003,1.44396,0.75641,0.02179,0,0.001208,0.001208,0.001208
42,760.343,0.88126,1.25791,0.74432,0.01208,0.85804,0.87047,0.7937,0.84196,0.60691,0.8764,0.78163,0.85342,0.62275,1.04647,1.54894,0.89458,0.02502,0,0.0011882,0.0011882,0.0011882
43,777.907,0.84001,1.1445,0.70087,0.01264,0.84586,0.90522,0.87402,0.89889,0.67119,0.90281,0.87773,0.90076,0.69154,0.93699,1.38192,0.62143,0.0216,0,0.0011684,0.0011684,0.0011684
44,795.309,0.84929,1.13469,0.71469,0.01183,0.90736,0.91213,0.82677,0.89253,0.67072,0.91213,0.82677,0.89399,0.67934,0.93586,1.51421,0.68554,0.02134,0,0.0011486,0.0011486,0.0011486
45,812.797,0.85261,1.2096,0.75477,0.01183,0.93797,0.89274,0.8189,0.87999,0.67519,0.90133,0.82677,0.89167,0.68137,0.89528,1.37584,0.67555,0.02045,0,0.0011288,0.0011288,0.0011288
46,830.141,0.82728,1.10531,0.70018,0.01189,0.83248,0.87194,0.79528,0.86066,0.668,0.87406,0.80315,0.86127,0.65968,0.86861,1.33227,0.71678,0.01902,0,0.001109,0.001109,0.001109
47,847.588,0.84326,1.10957,0.65779,0.01151,0.81305,0.82166,0.83438,0.88194,0.6689,0.83624,0.84437,0.90415,0.68939,0.92257,1.39482,0.68962,0.02086,0,0.0010892,0.0010892,0.0010892
48,865.056,0.80702,1.0763,0.66621,0.01098,0.86976,0.85172,0.81415,0.87435,0.65319,0.86597,0.81399,0.87645,0.66786,0.94247,1.41487,0.7099,0.02212,0,0.0010694,0.0010694,0.0010694
49,882.437,0.85375,1.15581,0.70605,0.01224,0.87852,0.88367,0.8374,0.898,0.68224,0.89195,0.845,0.9046,0.68949,0.91577,1.36604,0.66559,0.02081,0,0.0010496,0.0010496,0.0010496
50,899.736,0.82408,1.0809,0.67098,0.01162,0.77364,0.84906,0.8416,0.89005,0.69293,0.80926,0.88189,0.89184,0.68605,0.83515,1.29147,0.71925,0.01835,0,0.0010298,0.0010298,0.0010298
51,916.889,0.81759,1.09495,0.64981,0.01173,0.79884,0.87088,0.84977,0.89597,0.69474,0.87088,0.84977,0.90148,0.69221,0.87862,1.37359,0.59361,0.02004,0,0.00101,0.00101,0.00101
52,934.279,0.81442,1.10879,0.63294,0.01113,0.79472,0.87676,0.84252,0.89464,0.68776,0.87676,0.84252,0.88234,0.68291,0.90907,1.3403,0.70451,0.02071,0,0.0009902,0.0009902,0.0009902
53,951.603,0.82952,1.1265,0.70194,0.01208,0.90466,0.86592,0.83465,0.88162,0.68915,0.87417,0.84252,0.8867,0.69151,0.80831,1.32423,0.71633,0.01858,0,0.0009704,0.0009704,0.0009704
54,969.076,0.80427,1.06283,0.60621,0.01097,0.71885,0.89705,0.83465,0.89484,0.69442,0.89705,0.83465,0.88811,0.68169,0.87141,1.49129,0.72057,0.01934,0,0.0009506,0.0009506,0.0009506
55,986.571,0.76917,1.06546,0.62293,0.01078,0.71199,0.85496,0.8189,0.8834,0.68724,0.85369,0.78106,0.86525,0.6858,0.87479,1.38324,0.76283,0.02065,0,0.0009308,0.0009308,0.0009308
