epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8665,0.84428,2.24101,5.57891,0.01169,3.21911,0.00325,0.92126,0.2783,0.15919,0.00336,0.95276,0.29002,0.18022,0.91037,2.2819,9.83667,0.01961,0,0.000654545,0.000654545,0.000654545
2,62.0489,1.0233,1.6154,4.12888,0.01466,1.76656,0.58824,0.33747,0.41184,0.21463,0.60001,0.35433,0.41177,0.2537,1.26959,2.1287,7.32266,0.0284,0,0.00130813,0.00130813,0.00130813
3,80.97,1.12745,1.60876,2.97101,0.01682,1.73673,0.68219,0.6378,0.67146,0.38283,0.65568,0.61417,0.64052,0.43287,1.28004,2.42156,4.39059,0.02874,0,0.00194852,0.00194852,0.00194852
4,99.9625,1.12653,1.52628,2.37077,0.01652,1.72749,0.69846,0.60189,0.63556,0.37444,0.71026,0.59055,0.64378,0.42133,1.38609,2.23917,3.01048,0.03276,0,0.0019406,0.0019406,0.0019406
5,118.79,1.18409,1.57421,1.90643,0.01685,1.60704,0.71501,0.64567,0.65053,0.34565,0.69055,0.62992,0.63286,0.39429,1.56933,2.63487,2.37181,0.03666,0,0.0019208,0.0019208,0.0019208
6,137.416,1.13928,1.46743,1.64887,0.01763,1.59432,0.75361,0.72441,0.74752,0.49938,0.772,0.74803,0.7737,0.53251,1.15591,1.80874,1.67258,0.0271,0,0.001901,0.001901,0.001901
7,156.317,1.10591,1.46075,1.35621,0.01666,1.40569,0.76696,0.62195,0.69786,0.44023,0.74754,0.6062,0.69353,0.48713,1.25607,1.82155,1.87042,0.03142,0,0.0018812,0.0018812,0.0018812
8,175.433,1.10198,1.47685,1.3397,0.01622,1.45814,0.72855,0.66929,0.74939,0.47335,0.74874,0.68046,0.74871,0.50295,1.30076,1.84608,1.63144,0.02865,0,0.0018614,0.0018614,0.0018614
9,194.289,1.1622,1.51589,1.34615,0.0176,1.53272,0.78735,0.72441,0.80368,0.51699,0.72786,0.77921,0.7871,0.54433,1.1734,1.74932,1.27224,0.02745,0,0.0018416,0.0018416,0.0018416
10,212.915,1.18354,1.5146,1.28798,0.01824,1.5265,0.66955,0.72441,0.73451,0.49113,0.70039,0.72441,0.74412,0.51186,1.16771,1.9613,1.33948,0.0261,0,0.0018218,0.0018218,0.0018218
11,231.675,1.12298,1.42203,1.28519,0.01686,1.44581,0.84103,0.66142,0.78419,0.54959,0.84103,0.66142,0.78037,0.57749,1.07634,1.67811,1.16069,0.02452,0,0.001802,0.001802,0.001802
