epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7997,0.81978,2.1686,5.91724,0.01125,3.30949,0.00331,0.93701,0.4074,0.29035,0.00342,0.9685,0.41652,0.28695,0.78533,2.31624,9.77799,0.01721,0,0.000654545,0.000654545,0.000654545
2,60.304,1.02555,1.59065,4.42855,0.0144,1.87291,0.50627,0.37008,0.39445,0.22618,0.53269,0.40157,0.44103,0.24447,1.10471,2.49525,7.4813,0.02552,0,0.00130813,0.00130813,0.00130813
3,78.4741,1.09543,1.59732,3.15998,0.01643,1.69765,0.82287,0.55906,0.66003,0.4261,0.75619,0.55906,0.63055,0.43272,1.15154,2.5739,4.44955,0.02751,0,0.00194852,0.00194852,0.00194852
4,96.7448,1.12286,1.5135,2.44602,0.01655,1.74232,0.831,0.59843,0.75896,0.45762,0.831,0.59843,0.76178,0.54263,1.29869,2.03887,2.77625,0.03178,0,0.0019406,0.0019406,0.0019406
5,115.08,1.14021,1.56359,1.95058,0.01651,1.55917,0.83971,0.41732,0.55687,0.30869,0.75372,0.40945,0.54668,0.34347,1.30136,2.03125,2.96077,0.03133,0,0.0019208,0.0019208,0.0019208
6,133.345,1.12662,1.48046,1.58796,0.01752,1.43559,0.68261,0.69434,0.73361,0.44701,0.70311,0.68997,0.74006,0.48997,1.3448,2.09904,1.94255,0.03205,0,0.001901,0.001901,0.001901
7,151.472,1.09205,1.46912,1.40093,0.0162,1.45331,0.73519,0.6063,0.72103,0.39788,0.73519,0.6063,0.72641,0.44347,1.38129,1.77459,1.85325,0.03665,0,0.0018812,0.0018812,0.0018812
8,169.694,1.12597,1.48118,1.34182,0.0169,1.42405,0.75551,0.55964,0.65782,0.39896,0.77838,0.58077,0.67175,0.44869,1.30601,1.99611,1.79773,0.03274,0,0.0018614,0.0018614,0.0018614
9,187.925,1.13687,1.49888,1.35093,0.01725,1.55109,0.72632,0.75228,0.78925,0.53926,0.71622,0.77506,0.78318,0.55621,1.12807,1.93871,1.30884,0.02811,0,0.0018416,0.0018416,0.0018416
10,206.03,1.11357,1.50498,1.28466,0.01743,1.52328,0.87336,0.70598,0.78707,0.53472,0.86362,0.6981,0.77225,0.55018,1.15759,1.72506,1.30356,0.02738,0,0.0018218,0.0018218,0.0018218
11,224.333,1.08062,1.49291,1.26622,0.01623,1.46783,0.69959,0.72441,0.73529,0.51556,0.70815,0.73228,0.74435,0.53343,1.18879,1.73183,1.31031,0.02796,0,0.001802,0.001802,0.001802
12,242.479,1.04228,1.44126,1.08617,0.01519,1.26996,0.70213,0.74803,0.75595,0.49684,0.85578,0.60743,0.73642,0.52014,1.21577,1.74528,1.40858,0.02925,0,0.0017822,0.0017822,0.0017822
13,260.684,1.05798,1.26745,1.13392,0.01552,1.28184,0.80001,0.75597,0.837,0.56976,0.80001,0.75597,0.82224,0.59227,1.18897,1.67515,0.99923,0.02665,0,0.0017624,0.0017624,0.0017624
14,278.995,1.04394,1.38481,1.08874,0.01529,1.40699,0.80182,0.70087,0.81698,0.56878,0.79292,0.69345,0.81551,0.59364,1.11196,1.64675,1.02605,0.0262,0,0.0017426,0.0017426,0.0017426
15,297.144,1.05779,1.39473,1.05372,0.01537,1.28955,0.79338,0.72565,0.80923,0.54042,0.79338,0.72565,0.81298,0.56107,1.13159,1.7425,1.16038,0.02732,0,0.0017228,0.0017228,0.0017228
16,315.228,1.03838,1.39274,1.03362,0.016,1.42133,0.85917,0.76862,0.83022,0.57913,0.87661,0.78315,0.84191,0.61353,1.07256,1.47923,0.9591,0.02488,0,0.001703,0.001703,0.001703
