epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,41.829,0.82484,2.11573,5.2755,0.01187,3.00983,0.00342,0.9685,0.46432,0.329,0.00342,0.9685,0.47975,0.3403,0.79379,1.76259,9.58916,0.01682,0,0.000654545,0.000654545,0.000654545
2,64.1934,0.97227,1.56746,3.70233,0.01391,1.85818,0.86585,0.25415,0.57944,0.4034,0.86585,0.25415,0.58001,0.39825,0.95166,2.78734,6.94568,0.02087,0,0.00130813,0.00130813,0.00130813
3,86.7652,1.09715,1.6504,2.82527,0.01577,1.65477,0.70184,0.59843,0.69358,0.41411,0.69345,0.58781,0.68594,0.43869,1.33475,2.92906,4.22524,0.03102,0,0.00194852,0.00194852,0.00194852
4,109.536,1.14244,1.57077,2.18469,0.01698,1.71044,0.64927,0.59843,0.66305,0.38438,0.71626,0.56693,0.67677,0.42961,1.41724,2.18583,2.99857,0.03322,0,0.0019406,0.0019406,0.0019406
5,132.427,1.15597,1.55375,1.86651,0.01666,1.6726,0.62208,0.64806,0.64258,0.38416,0.64454,0.67105,0.68093,0.44803,1.39865,2.13216,2.13491,0.03245,0,0.0019208,0.0019208,0.0019208
6,155.008,1.15927,1.50628,1.58384,0.01752,1.55678,0.70046,0.59055,0.64389,0.4284,0.6909,0.58268,0.63855,0.45146,1.15464,1.89321,1.86723,0.02649,0,0.001901,0.001901,0.001901
7,177.495,1.12449,1.54555,1.43193,0.01654,1.53578,0.83335,0.70866,0.79109,0.54446,0.86637,0.70079,0.82331,0.55089,1.13008,1.77427,1.35358,0.0255,0,0.0018812,0.0018812,0.0018812
8,200.212,1.15636,1.54179,1.32899,0.01654,1.53721,0.80436,0.74016,0.81323,0.52616,0.82612,0.74016,0.83951,0.5866,1.23151,1.65129,1.29438,0.02953,0,0.0018614,0.0018614,0.0018614
9,222.954,1.11927,1.46752,1.28507,0.0165,1.40756,0.77016,0.75591,0.78732,0.52384,0.78868,0.77165,0.79215,0.55584,1.26481,1.78025,1.16369,0.02894,0,0.0018416,0.0018416,0.0018416
10,245.688,1.12961,1.49476,1.16569,0.01665,1.2967,0.72535,0.64567,0.7032,0.38964,0.72535,0.64567,0.70666,0.45575,1.44728,1.82343,1.61337,0.03748,0,0.0018218,0.0018218,0.0018218
11,268.335,1.09758,1.39069,1.13066,0.01599,1.27261,0.82024,0.79045,0.8359,0.57068,0.7998,0.77953,0.83192,0.59113,1.13435,1.61512,1.13366,0.02586,0,0.001802,0.001802,0.001802
12,291.042,1.07878,1.40103,1.09146,0.01616,1.30231,0.83775,0.7725,0.84245,0.54998,0.85583,0.77953,0.84973,0.55467,1.21023,1.8511,1.01449,0.02923,0,0.0017822,0.0017822,0.0017822
13,313.691,1.07303,1.40644,1.09345,0.01564,1.40328,0.67172,0.73228,0.76024,0.4975,0.67804,0.73228,0.76495,0.5096,1.20023,1.81397,1.28562,0.02825,0,0.0017624,0.0017624,0.0017624
14,336.396,1.06295,1.39855,1.10771,0.01547,1.33569,0.82218,0.73228,0.8183,0.57781,0.80046,0.74016,0.82625,0.59024,1.06001,1.77011,1.0229,0.02462,0,0.0017426,0.0017426,0.0017426
15,359.125,1.02233,1.35313,1.03868,0.01521,1.28485,0.8349,0.6769,0.80416,0.54077,0.82519,0.66903,0.78178,0.50561,1.18542,2.27875,1.15056,0.0278,0,0.0017228,0.0017228,0.0017228
16,381.814,1.0792,1.37863,1.04644,0.01573,1.28619,0.81953,0.69291,0.80563,0.55206,0.84775,0.71654,0.84014,0.59104,1.18261,1.80196,0.99606,0.0296,0,0.001703,0.001703,0.001703
17,404.522,1.0088,1.33171,0.99948,0.01493,1.32155,0.78467,0.76378,0.82504,0.56253,0.78008,0.7874,0.83719,0.60883,1.13494,1.51149,0.96618,0.02678,0,0.0016832,0.0016832,0.0016832
18,427.142,1.03202,1.32062,0.96776,0.01501,1.21898,0.82658,0.75064,0.80899,0.55529,0.82658,0.75064,0.81453,0.59598,1.17896,1.57369,1.02595,0.02661,0,0.0016634,0.0016634,0.0016634
19,449.783,1.03238,1.33211,0.96888,0.01492,1.25275,0.7957,0.79528,0.84438,0.61576,0.80624,0.81102,0.86534,0.63354,1.03688,1.56302,0.89819,0.0235,0,0.0016436,0.0016436,0.0016436
20,472.419,1.01003,1.29248,0.94258,0.01442,1.1924,0.79871,0.77953,0.82456,0.5812,0.82559,0.80315,0.84284,0.60218,1.06017,1.55932,0.97387,0.02477,0,0.0016238,0.0016238,0.0016238
21,495.023,1.02077,1.34964,0.98899,0.01451,1.2242,0.75523,0.77744,0.81181,0.55603,0.75112,0.7874,0.81554,0.5931,1.24603,1.61531,0.97843,0.02918,0,0.001604,0.001604,0.001604
22,517.922,1.02157,1.3207,0.90058,0.01424,1.09241,0.88574,0.73248,0.86688,0.61526,0.88574,0.73248,0.868,0.61574,1.06048,1.64464,0.85499,0.02406,0,0.0015842,0.0015842,0.0015842
23,540.728,0.96774,1.29273,0.91913,0.01376,1.14709,0.77954,0.75178,0.81712,0.55169,0.77967,0.74016,0.8198,0.57877,1.13021,1.64528,1.00965,0.02652,0,0.0015644,0.0015644,0.0015644
24,563.272,0.95796,1.26566,0.89968,0.01309,1.15458,0.84629,0.76378,0.84502,0.58579,0.83452,0.80315,0.86263,0.61353,1.15327,1.55436,0.89099,0.02734,0,0.0015446,0.0015446,0.0015446
25,585.913,0.96439,1.25655,0.86797,0.01366,1.15317,0.79185,0.80878,0.85028,0.59225,0.79259,0.84248,0.85462,0.61235,1.11978,1.70444,0.83431,0.02599,0,0.0015248,0.0015248,0.0015248
