epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5042,1.14855,2.40076,2.14066,1.57033,0,0.00111,0.31496,0.00046,0.00012,0.00117,0.33071,0.00047,0.0001,3.76767,nan,155603,800.433,0,0.000654545,0.000654545,0.000654545
2,108.2,1.30234,2.18713,1.74186,1.70543,0,0.00114,0.32283,0.00048,0.00012,0.00119,0.33858,0.00048,0.0001,3.76896,nan,155020,790.189,0,0.00130813,0.00130813,0.00130813
3,171.185,1.3026,2.17922,1.80951,1.70004,0,0.00114,0.32283,0.00048,0.00012,0.00119,0.33858,0.00048,0.0001,3.76896,nan,155020,790.189,0,0.00194852,0.00194852,0.00194852
4,233.766,1.31331,2.19392,1.77625,1.70599,0,0.00114,0.32283,0.00048,0.00012,0.00119,0.33858,0.00048,0.0001,3.76896,nan,155020,790.189,0,0.0019406,0.0019406,0.0019406
5,296.338,1.33064,2.18692,1.79039,1.73266,0,0.00114,0.32283,0.00048,0.00012,0.00119,0.33858,0.00048,0.0001,3.76896,nan,155020,790.189,0,0.0019208,0.0019208,0.0019208
6,328.243,1.6059,2.78714,2.28544,1.8949,0,0.00305,0.40157,0.00155,0.00039,0,0,0,0,nan,nan,nan,nan,0,0.001901,0.001901,0.001901
7,360.262,1.49648,2.50214,1.92282,1.84525,0,0.01871,0.07087,0.00985,0.00225,0.01247,0.04724,0.00275,0.00092,3.04422,73.557,68.1998,6.97309,0,0.0018812,0.0018812,0.0018812
8,392.084,1.35116,2.26615,1.72332,1.70892,0,0.29984,0.35433,0.17147,0.07921,0.25845,0.30709,0.13695,0.04776,2.12388,6.68348,3.99307,2.63371,0,0.0018614,0.0018614,0.0018614
9,423.919,1.28494,2.30925,1.68652,1.66106,0,0.51441,0.48382,0.40469,0.21102,0.52161,0.48938,0.40511,0.19397,1.58672,3.87201,3.36851,2.19245,0,0.0018416,0.0018416,0.0018416
10,455.885,1.27644,2.12006,1.53949,1.66218,0,0.50586,0.59055,0.53292,0.30685,0.50777,0.58483,0.53698,0.29552,1.36659,3.27293,4.62914,1.81545,0,0.0018218,0.0018218,0.0018218
11,487.716,1.18555,1.98656,1.45412,1.57038,0,0.40462,0.48161,0.38901,0.19784,0.44762,0.47244,0.40337,0.17693,1.61224,4.29073,3.5563,2.11469,0,0.001802,0.001802,0.001802
12,519.293,1.12727,1.97249,1.43443,1.51701,0,0.60748,0.64588,0.64022,0.426,0.6297,0.6695,0.65965,0.39985,1.18202,2.4834,1.86151,1.68235,0,0.0017822,0.0017822,0.0017822
13,551.237,1.11309,1.90893,1.39004,1.53121,0,0.51227,0.38044,0.39056,0.23576,0.51966,0.3937,0.38786,0.21921,1.42699,3.11102,2.56421,1.92017,0,0.0017624,0.0017624,0.0017624
14,582.686,1.0954,1.95044,1.37937,1.49416,0,0.65927,0.54331,0.63261,0.39874,0.64573,0.55906,0.63514,0.37193,1.31559,2.42632,1.59611,1.77275,0,0.0017426,0.0017426,0.0017426
15,614.208,1.05205,1.80858,1.32289,1.46623,0,0.65937,0.67066,0.68386,0.41044,0.67707,0.6378,0.67774,0.43466,1.18226,2.18705,1.61576,1.72998,0,0.0017228,0.0017228,0.0017228
16,646.143,1.04707,1.87454,1.2668,1.48619,0,0.67591,0.59118,0.65248,0.46052,0.67591,0.59118,0.64703,0.41528,1.10542,2.37656,1.46494,1.63086,0,0.001703,0.001703,0.001703
17,678.086,1.05206,1.76105,1.29958,1.48862,0,0.72183,0.61298,0.72227,0.46597,0.65912,0.67717,0.7188,0.44706,1.17104,2.14821,1.27862,1.64526,0,0.0016832,0.0016832,0.0016832
18,709.763,0.99723,1.69612,1.23452,1.42568,0,0.76532,0.71898,0.81298,0.55981,0.7737,0.72686,0.81903,0.54697,1.03196,1.89468,1.15988,1.53611,0,0.0016634,0.0016634,0.0016634
19,741.582,1.01287,1.85324,1.24196,1.42153,0,0.66591,0.73767,0.74951,0.48102,0.66047,0.68928,0.73219,0.45904,1.17145,2.34031,1.30479,1.65435,0,0.0016436,0.0016436,0.0016436
20,773.229,1.0036,1.7232,1.20185,1.4204,0,0.8512,0.62205,0.80049,0.54577,0.84043,0.61417,0.78183,0.52967,1.12664,2.10759,1.16729,1.62714,0,0.0016238,0.0016238,0.0016238
21,804.701,1.07042,1.82444,1.27755,1.47997,0,0.73471,0.69782,0.79123,0.54632,0.73715,0.70664,0.78714,0.53254,1.04203,1.9574,1.19648,1.51555,0,0.001604,0.001604,0.001604
22,836.146,0.96078,1.75363,1.17828,1.4059,0,0.75694,0.69291,0.78049,0.53121,0.7499,0.68467,0.76651,0.50118,1.1107,2.15693,1.18883,1.67038,0,0.0015842,0.0015842,0.0015842
23,867.649,0.94174,1.57921,1.12158,1.38602,0,0.81529,0.76461,0.8625,0.60555,0.76211,0.86614,0.87152,0.60192,1.03623,2.01655,1.04161,1.52648,0,0.0015644,0.0015644,0.0015644
24,899.463,0.8907,1.48034,1.06874,1.34496,0,0.74197,0.74803,0.76268,0.51892,0.74545,0.75591,0.7623,0.49626,1.07736,2.09025,1.15371,1.57597,0,0.0015446,0.0015446,0.0015446
25,930.929,0.94167,1.61688,1.11932,1.38876,0,0.73396,0.77953,0.79747,0.54464,0.71866,0.77953,0.81118,0.55013,1.11464,1.77172,1.01736,1.58443,0,0.0015248,0.0015248,0.0015248
26,962.298,0.90435,1.55149,1.0674,1.37016,0,0.87356,0.70724,0.83331,0.5784,0.86384,0.69937,0.8196,0.55451,0.98331,2.02402,1.02546,1.47057,0,0.001505,0.001505,0.001505
27,993.844,0.87311,1.58655,0.99783,1.33212,0,0.85966,0.7874,0.88285,0.62235,0.84957,0.77953,0.87757,0.6155,1.01464,1.84028,0.96718,1.54479,0,0.0014852,0.0014852,0.0014852
28,1025.66,0.91149,1.65063,1.06686,1.38446,0,0.81669,0.76378,0.82675,0.61738,0.82956,0.74803,0.83051,0.59218,0.94674,1.81105,0.96499,1.44978,0,0.0014654,0.0014654,0.0014654
29,1057.02,0.89098,1.53001,1.05041,1.376,0,0.85931,0.7214,0.86121,0.62595,0.84993,0.71353,0.84584,0.60496,0.93545,1.71328,0.91768,1.44342,0,0.0014456,0.0014456,0.0014456
30,1088.42,0.88482,1.50544,0.99963,1.35546,0,0.81156,0.77165,0.86553,0.63995,0.89469,0.75591,0.8758,0.61357,0.89535,1.73685,0.83843,1.40518,0,0.0014258,0.0014258,0.0014258
31,1120.05,0.91316,1.4993,1.01421,1.35639,0,0.81257,0.81928,0.85947,0.63072,0.80438,0.79528,0.84836,0.58613,0.9271,1.89859,0.92406,1.45948,0,0.001406,0.001406,0.001406
32,1151.43,0.8856,1.53757,0.99113,1.34361,0,0.80012,0.81951,0.88259,0.63685,0.78492,0.80459,0.86895,0.62302,0.97426,1.89312,0.9149,1.47111,0,0.0013862,0.0013862,0.0013862
33,1182.88,0.83832,1.49494,0.93624,1.32885,0,0.8222,0.80315,0.85188,0.61622,0.84283,0.80226,0.84768,0.59696,0.92255,1.80039,0.89425,1.46252,0,0.0013664,0.0013664,0.0013664
34,1214.1,0.82628,1.52876,0.93711,1.31598,0,0.79625,0.74803,0.8127,0.60675,0.80489,0.75591,0.81562,0.58615,0.89643,1.7472,0.93422,1.40766,0,0.0013466,0.0013466,0.0013466
35,1245.44,0.82972,1.38459,0.9245,1.33125,0,0.81518,0.74803,0.83965,0.61738,0.77071,0.77165,0.83378,0.58807,0.92975,1.81583,0.92507,1.46833,0,0.0013268,0.0013268,0.0013268
36,1276.95,0.80299,1.38969,0.92313,1.30094,0,0.80882,0.73287,0.80895,0.59966,0.77794,0.76378,0.81779,0.57916,0.93477,1.76571,0.95972,1.40781,0,0.001307,0.001307,0.001307
37,1308.22,0.80555,1.47976,0.93421,1.2798,0,0.78236,0.81102,0.85568,0.60022,0.78423,0.81102,0.84516,0.58166,1.04025,1.99021,0.87744,1.47653,0,0.0012872,0.0012872,0.0012872
38,1339.49,0.79037,1.39175,0.88432,1.27311,0,0.85768,0.75591,0.85422,0.62854,0.84875,0.74803,0.83334,0.58852,0.91248,1.89404,0.94016,1.40083,0,0.0012674,0.0012674,0.0012674
39,1370.88,0.83466,1.39985,0.92035,1.30189,0,0.87766,0.79082,0.88096,0.67556,0.90315,0.8189,0.88961,0.66356,0.86045,1.70538,0.76166,1.37983,0,0.0012476,0.0012476,0.0012476
40,1402.62,0.82825,1.43732,0.94236,1.29638,0,0.79731,0.82677,0.85948,0.632,0.80934,0.7688,0.85293,0.59905,0.92596,1.85153,0.85015,1.45094,0,0.0012278,0.0012278,0.0012278
41,1433.96,0.77757,1.36965,0.84626,1.26153,0,0.80134,0.7874,0.85993,0.62681,0.82343,0.81102,0.85456,0.61176,0.90016,1.69771,0.85639,1.38601,0,0.001208,0.001208,0.001208
42,1465.47,0.82574,1.42316,0.9186,1.29282,0,0.87338,0.8147,0.89008,0.64593,0.8481,0.79134,0.85763,0.61859,0.90628,1.76035,0.7834,1.39142,0,0.0011882,0.0011882,0.0011882
43,1496.83,0.78233,1.35248,0.8555,1.28505,0,0.8495,0.75591,0.86358,0.65098,0.84731,0.7428,0.85162,0.62951,0.88098,1.70435,0.8109,1.41318,0,0.0011684,0.0011684,0.0011684
44,1528.22,0.75246,1.34025,0.83474,1.24555,0,0.84511,0.82677,0.88182,0.66153,0.84511,0.82677,0.87612,0.64629,0.90008,1.71204,0.73955,1.40604,0,0.0011486,0.0011486,0.0011486
45,1559.53,0.79939,1.44065,0.84427,1.29703,0,0.86136,0.75591,0.85851,0.62767,0.87033,0.76378,0.85709,0.62252,0.90239,1.57687,0.81308,1.40562,0,0.0011288,0.0011288,0.0011288
46,1590.91,0.80829,1.43237,0.90988,1.30809,0,0.77681,0.8189,0.85571,0.64264,0.81505,0.79811,0.86177,0.61168,0.90105,1.69786,0.81631,1.42814,0,0.001109,0.001109,0.001109
47,1622.34,0.77353,1.33859,0.82401,1.27947,0,0.85919,0.71654,0.8736,0.68043,0.78411,0.77217,0.85703,0.65549,0.81721,1.54935,0.75505,1.32544,0,0.0010892,0.0010892,0.0010892
48,1653.86,0.72283,1.32778,0.78177,1.22588,0,0.84298,0.80317,0.87078,0.6523,0.84298,0.80317,0.87573,0.63381,0.91773,1.53409,0.76246,1.44039,0,0.0010694,0.0010694,0.0010694
49,1685.39,0.7354,1.29569,0.84334,1.21267,0,0.80398,0.77513,0.8367,0.64604,0.8075,0.7597,0.83133,0.62759,0.86735,1.70737,0.8086,1.38672,0,0.0010496,0.0010496,0.0010496
50,1716.91,0.74427,1.28783,0.81953,1.22152,0,0.84439,0.81184,0.87835,0.649,0.86077,0.82759,0.88198,0.63257,0.876,1.48905,0.7858,1.37401,0,0.0010298,0.0010298,0.0010298
51,1748.33,0.70527,1.19767,0.76208,1.2295,0,0.83012,0.83465,0.8961,0.65695,0.82229,0.82677,0.8858,0.63769,0.92785,1.58519,0.753,1.43728,0,0.00101,0.00101,0.00101
52,1780.02,0.72313,1.28406,0.77491,1.23294,0,0.82764,0.75591,0.84934,0.6359,0.8104,0.74016,0.83538,0.62197,0.8868,1.70403,0.84204,1.41115,0,0.0009902,0.0009902,0.0009902
53,1811.36,0.72145,1.26687,0.78756,1.23177,0,0.78099,0.87047,0.87855,0.65853,0.82117,0.84252,0.87225,0.61854,0.88478,2.00494,0.74856,1.41823,0,0.0009704,0.0009704,0.0009704
54,1842.61,0.76574,1.28721,0.77523,1.26045,0,0.82378,0.84252,0.8415,0.65539,0.82378,0.84252,0.84658,0.62912,0.82677,1.52792,0.80697,1.34493,0,0.0009506,0.0009506,0.0009506
55,1874.01,0.71192,1.26253,0.75047,1.21896,0,0.86392,0.79986,0.87388,0.66596,0.86392,0.79986,0.86773,0.61831,0.8696,1.70298,0.75924,1.38304,0,0.0009308,0.0009308,0.0009308
56,1905.61,0.69342,1.23309,0.7516,1.21296,0,0.88531,0.85098,0.90722,0.70953,0.915,0.84765,0.91438,0.68956,0.81357,1.49955,0.67706,1.34285,0,0.000911,0.000911,0.000911
57,1937.36,0.74591,1.28759,0.77402,1.25376,0,0.83904,0.86194,0.84757,0.64112,0.8467,0.86982,0.86176,0.62247,0.84028,1.71028,0.76803,1.36822,0,0.0008912,0.0008912,0.0008912
58,1968.71,0.71561,1.23985,0.75409,1.22458,0,0.8522,0.8189,0.88315,0.683,0.86214,0.83713,0.89681,0.66372,0.80896,1.55209,0.72419,1.3371,0,0.0008714,0.0008714,0.0008714
59,2000.2,0.71337,1.21189,0.73491,1.22806,0,0.83095,0.85147,0.89336,0.68557,0.83984,0.8671,0.89564,0.67294,0.84425,1.45486,0.65252,1.32967,0,0.0008516,0.0008516,0.0008516
60,2031.82,0.67557,1.21679,0.75728,1.20534,0,0.83708,0.80916,0.86517,0.66078,0.83708,0.80916,0.86279,0.63942,0.83124,1.53651,0.78519,1.32838,0,0.0008318,0.0008318,0.0008318
61,2063.39,0.69593,1.17975,0.70937,1.21139,0,0.84545,0.85827,0.90001,0.69897,0.85469,0.87997,0.90449,0.68293,0.7989,1.49707,0.68935,1.3098,0,0.000812,0.000812,0.000812
62,2094.82,0.68597,1.27508,0.75095,1.20026,0,0.89883,0.76953,0.88005,0.67406,0.91486,0.7874,0.89137,0.65894,0.83523,1.57411,0.80021,1.33122,0,0.0007922,0.0007922,0.0007922
63,2126.35,0.69977,1.25869,0.76515,1.21513,0,0.8914,0.7874,0.90746,0.70749,0.90031,0.79528,0.91435,0.68161,0.75177,1.46061,0.65374,1.26556,0,0.0007724,0.0007724,0.0007724
64,2157.76,0.71976,1.26833,0.73644,1.21936,0,0.81801,0.92019,0.91719,0.70122,0.81118,0.91331,0.91183,0.68987,0.84465,1.45152,0.65505,1.35368,0,0.0007526,0.0007526,0.0007526
65,2189.23,0.6996,1.25845,0.74729,1.19762,0,0.84222,0.84065,0.89205,0.68472,0.84222,0.84065,0.88842,0.65241,0.82563,1.57757,0.67161,1.36906,0,0.0007328,0.0007328,0.0007328
66,2220.72,0.66807,1.17756,0.72091,1.18961,0,0.83926,0.90449,0.90134,0.699,0.85511,0.87402,0.89956,0.66739,0.80702,1.53332,0.63878,1.3232,0,0.000713,0.000713,0.000713
67,2252.18,0.65299,1.18064,0.67385,1.15908,0,0.84445,0.84252,0.88316,0.68159,0.84445,0.84252,0.87753,0.65218,0.83397,1.6058,0.72333,1.35557,0,0.0006932,0.0006932,0.0006932
68,2283.57,0.67177,1.1875,0.70857,1.1981,0,0.84101,0.81102,0.87748,0.70202,0.83284,0.80315,0.87306,0.66731,0.7574,1.57546,0.68771,1.30983,0,0.0006734,0.0006734,0.0006734
69,2314.98,0.66342,1.25858,0.71747,1.18017,0,0.86336,0.86614,0.90752,0.71162,0.86336,0.86614,0.90126,0.69047,0.78309,1.49006,0.62711,1.28399,0,0.0006536,0.0006536,0.0006536
70,2346.83,0.62417,1.17613,0.6515,1.16807,0,0.84954,0.88189,0.91445,0.71543,0.84954,0.88189,0.91617,0.69214,0.7716,1.49534,0.65516,1.31653,0,0.0006338,0.0006338,0.0006338
71,2378.68,0.67143,1.19248,0.68149,1.19368,0,0.8575,0.88189,0.89225,0.7158,0.8575,0.88189,0.8926,0.69466,0.73141,1.40959,0.6387,1.25403,0,0.000614,0.000614,0.000614
72,2410.54,0.66376,1.17793,0.6524,1.16199,0,0.84887,0.88976,0.90059,0.71397,0.84887,0.88976,0.89902,0.6887,0.76331,1.41507,0.65594,1.29592,0,0.0005942,0.0005942,0.0005942
73,2442.08,0.61107,1.09232,0.62836,1.13997,0,0.84257,0.85039,0.88956,0.71441,0.86626,0.87402,0.90284,0.69115,0.75618,1.45428,0.64929,1.3046,0,0.0005744,0.0005744,0.0005744
74,2473.61,0.64897,1.10949,0.62064,1.17132,0,0.86381,0.84252,0.9083,0.71209,0.87995,0.85827,0.9162,0.69348,0.77947,1.43149,0.62647,1.28599,0,0.0005546,0.0005546,0.0005546
75,2505.16,0.62795,1.11128,0.60818,1.15091,0,0.88248,0.8189,0.90392,0.71585,0.87399,0.81102,0.88893,0.6831,0.78766,1.48222,0.61381,1.32508,0,0.0005348,0.0005348,0.0005348
76,2536.65,0.6144,1.08096,0.61044,1.14853,0,0.90456,0.82677,0.92203,0.71564,0.88632,0.85947,0.92793,0.68398,0.80466,1.59592,0.59512,1.31804,0,0.000515,0.000515,0.000515
77,2568,0.65687,1.14673,0.64763,1.17842,0,0.86898,0.88976,0.92331,0.71355,0.87667,0.89764,0.93166,0.69782,0.77166,1.46177,0.62322,1.29253,0,0.0004952,0.0004952,0.0004952
78,2599.61,0.6311,1.14414,0.64042,1.15291,0,0.88144,0.87807,0.91884,0.73918,0.88929,0.88552,0.91021,0.70429,0.72935,1.40377,0.58535,1.28866,0,0.0004754,0.0004754,0.0004754
79,2631.26,0.58441,1.06826,0.57071,1.10244,0,0.86575,0.85827,0.91007,0.7112,0.85781,0.85039,0.90162,0.69886,0.76311,1.41138,0.62892,1.30445,0,0.0004556,0.0004556,0.0004556
80,2662.64,0.59916,1.03179,0.58145,1.11295,0,0.82756,0.85039,0.89241,0.71413,0.84204,0.86614,0.89754,0.69457,0.71379,1.44775,0.62954,1.24466,0,0.0004358,0.0004358,0.0004358
81,2694.02,0.59241,1.06844,0.57556,1.12644,0,0.87068,0.85827,0.89879,0.71165,0.87068,0.85827,0.90194,0.69232,0.78727,1.41558,0.61632,1.31128,0,0.000416,0.000416,0.000416
82,2725.46,0.59266,1.05543,0.58753,1.13739,0,0.91398,0.84252,0.90319,0.72989,0.91398,0.84252,0.90923,0.6977,0.74095,1.5929,0.57209,1.29786,0,0.0003962,0.0003962,0.0003962
83,2756.92,0.60478,1.09693,0.55666,1.13037,0,0.86776,0.85039,0.89996,0.72311,0.90165,0.83465,0.90103,0.69708,0.72977,1.47912,0.60216,1.26598,0,0.0003764,0.0003764,0.0003764
84,2788.46,0.58578,1.0002,0.53852,1.13012,0,0.83473,0.87491,0.90049,0.72237,0.84224,0.88279,0.91303,0.6884,0.71507,1.47593,0.62671,1.22511,0,0.0003566,0.0003566,0.0003566
85,2819.93,0.59691,1.04369,0.57335,1.12532,0,0.89446,0.81102,0.90074,0.70485,0.89683,0.82139,0.89914,0.68227,0.76972,1.55366,0.62964,1.30089,0,0.0003368,0.0003368,0.0003368
