epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7669,1.10779,2.21867,2.15647,1.49827,0,0,0,0,0,0,0,0,0,2.99851,nan,50432.8,28.7053,0,0.000654545,0.000654545,0.000654545
2,66.095,1.35977,2.26178,1.73283,1.67415,0,0,0,0,0,0,0,0,0,0.00751,7693.04,0.00937,0.03094,0,0.00130813,0.00130813,0.00130813
3,91.498,1.34884,2.28336,1.74779,1.63794,0,0.01502,0.27559,0.01058,0.00167,0.00074,0.02362,2e-05,0,nan,nan,nan,nan,0,0.00194852,0.00194852,0.00194852
4,118.572,1.32395,2.22915,1.70903,1.58678,0,0.07356,0.15748,0.03389,0.01142,0.08268,0.17323,0.04306,0.01968,3.38108,7.94336,3.97188,5.6303,0,0.0019406,0.0019406,0.0019406
5,146.203,1.29907,2.09414,1.57839,1.56003,0,0.43074,0.49606,0.43523,0.21528,0.412,0.47449,0.4207,0.19683,1.68241,4.53476,4.3913,2.16906,0,0.0019208,0.0019208,0.0019208
6,172.382,1.21518,2.02252,1.47399,1.51772,0,0.4954,0.6378,0.52124,0.30495,0.49797,0.62484,0.52175,0.28213,1.30901,2.85987,5.58486,1.83294,0,0.001901,0.001901,0.001901
7,198.919,1.14739,1.90478,1.39208,1.43135,0,0.59994,0.67717,0.62361,0.38664,0.59994,0.67717,0.6203,0.36114,1.22701,2.6565,1.83821,1.61422,0,0.0018812,0.0018812,0.0018812
8,225.934,1.08571,1.89744,1.35792,1.40525,0,0.67117,0.62205,0.6462,0.37613,0.67967,0.62992,0.65147,0.35609,1.27896,2.48849,1.78448,1.72501,0,0.0018614,0.0018614,0.0018614
9,252.063,1.15103,1.91227,1.34972,1.47988,0,0.6279,0.6378,0.65281,0.39128,0.59816,0.68504,0.65535,0.37288,1.25903,2.66769,1.82253,1.67873,0,0.0018416,0.0018416,0.0018416
10,278.591,1.12778,1.93999,1.36777,1.46795,0,0.70334,0.72441,0.74521,0.44898,0.70334,0.72441,0.74324,0.4482,1.27198,2.19332,1.41706,1.67121,0,0.0018218,0.0018218,0.0018218
11,305.393,1.08683,1.84133,1.32706,1.4157,0,0.64961,0.48819,0.61104,0.37087,0.67625,0.48819,0.60938,0.32349,1.37297,2.86265,1.67217,1.88059,0,0.001802,0.001802,0.001802
12,331.587,1.01988,1.74133,1.17777,1.37977,0,0.78684,0.66853,0.76622,0.4653,0.7954,0.66142,0.75252,0.47927,1.2895,2.19526,1.46758,1.64296,0,0.0017822,0.0017822,0.0017822
13,358.134,0.9949,1.70945,1.22766,1.36295,0,0.77239,0.70866,0.78593,0.51902,0.76572,0.67717,0.74667,0.48666,1.11735,2.41513,1.23016,1.49624,0,0.0017624,0.0017624,0.0017624
14,384.679,0.98716,1.73443,1.15933,1.35102,0,0.81049,0.66142,0.77868,0.52549,0.76496,0.67717,0.75243,0.50298,1.09278,2.63475,1.32153,1.50434,0,0.0017426,0.0017426,0.0017426
15,411.313,0.96747,1.70574,1.14476,1.32911,0,0.6083,0.70079,0.69929,0.40798,0.61552,0.66142,0.68339,0.39076,1.21452,2.0987,1.85543,1.62405,0,0.0017228,0.0017228,0.0017228
16,437.623,0.98107,1.67554,1.15917,1.37853,0,0.79553,0.74016,0.81252,0.54984,0.78707,0.73228,0.81035,0.53827,1.1622,2.01466,1.05345,1.58754,0,0.001703,0.001703,0.001703
17,464.28,0.96263,1.59355,1.11927,1.33707,0,0.69761,0.72664,0.77036,0.50343,0.68793,0.71654,0.75378,0.51237,1.26761,2.07467,1.14358,1.63847,0,0.0016832,0.0016832,0.0016832
18,490.748,0.95808,1.54942,1.08957,1.30965,0,0.76644,0.69768,0.76283,0.54111,0.76644,0.69768,0.76384,0.50451,1.04863,2.00744,1.18531,1.4554,0,0.0016634,0.0016634,0.0016634
19,517.044,0.95146,1.62267,1.11496,1.30913,0,0.79042,0.70866,0.78675,0.52976,0.79042,0.70866,0.77957,0.50808,1.06964,2.15349,1.26964,1.5045,0,0.0016436,0.0016436,0.0016436
20,543.419,0.96633,1.61436,1.05639,1.3403,0,0.80571,0.76378,0.84805,0.57279,0.83368,0.7499,0.8481,0.58164,1.13401,1.82584,0.98996,1.47994,0,0.0016238,0.0016238,0.0016238
21,570.182,0.97181,1.67958,1.11153,1.35647,0,0.77652,0.72441,0.82187,0.57653,0.74722,0.74803,0.82883,0.57445,1.015,1.76883,1.02079,1.45884,0,0.001604,0.001604,0.001604
