epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5049,1.02554,2.08355,2.17636,1.31794,0,0.32435,0.40157,0.26466,0.13661,0.31575,0.38583,0.22718,0.10637,1.64727,5.6938,2.86131,2.12777,0,0.000654545,0.000654545,0.000654545
2,50.9707,1.21898,2.0309,1.5434,1.45964,0,0.00219,0.28346,0.00101,0.00025,0.00132,0.17323,0.00035,9e-05,3.09478,107.03,212.915,4.23252,0,0.00130813,0.00130813,0.00130813
3,65.0732,1.24478,2.09276,1.55114,1.46327,0,0.00571,0.11024,0.00265,0.00051,0.00016,0.00787,0,0,nan,nan,nan,nan,0,0.00194852,0.00194852,0.00194852
4,79.3068,1.28069,1.96012,1.55524,1.49563,0,0.35679,0.24409,0.20213,0.1148,0.37274,0.20472,0.17957,0.08656,2.43518,6.5267,3.27681,2.74846,0,0.0019406,0.0019406,0.0019406
5,93.4578,1.2045,1.92681,1.44083,1.43239,0,0.424,0.43307,0.34554,0.18349,0.46853,0.41732,0.35558,0.1815,1.86235,6.26874,2.61556,2.15667,0,0.0019208,0.0019208,0.0019208
6,107.758,1.18275,1.81789,1.29603,1.42501,0,0.69173,0.5748,0.63355,0.38933,0.66239,0.58706,0.62776,0.37217,1.26386,3.07338,2.23212,1.65959,0,0.001901,0.001901,0.001901
7,122.185,1.12174,1.81043,1.2465,1.37606,0,0.50591,0.29134,0.3373,0.21924,0.51686,0.30709,0.35268,0.21194,1.63481,3.07161,2.3732,1.97112,0,0.0018812,0.0018812,0.0018812
8,136.379,1.05038,1.78841,1.25359,1.32369,0,0.72141,0.72441,0.76106,0.51028,0.7336,0.74016,0.77256,0.48505,1.11798,2.77367,1.25846,1.47933,0,0.0018614,0.0018614,0.0018614
9,150.725,1.07003,1.83966,1.27153,1.3737,0,0.74368,0.66253,0.74619,0.46575,0.73191,0.68504,0.75059,0.47602,1.21088,2.23852,1.33322,1.53614,0,0.0018416,0.0018416,0.0018416
10,165.041,1.07272,1.84195,1.2244,1.37449,0,0.73174,0.69291,0.76746,0.5261,0.73256,0.71178,0.78407,0.5172,1.12016,1.9157,1.20246,1.45521,0,0.0018218,0.0018218,0.0018218
