epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5465,3.50198,5.7277,8.31604,0.05769,5.19978,0.0015,0.4252,0.00076,0.00022,0.00169,0.48031,0.00103,0.00024,3.19169,5.04111,14.3224,0.07482,0,0.000654545,0.000654545,0.000654545
2,96.5302,2.91558,3.98772,4.50351,0.04924,4.31836,0.00164,0.44094,0.00802,0.00125,0.00181,0.48819,0.00345,0.0006,nan,nan,nan,nan,0,0.00130813,0.00130813,0.00130813
3,136.045,2.62408,3.77568,3.57083,0.0447,4.147,0.01009,0.07874,0.00308,0.00049,0.00706,0.05512,0.00148,0.00032,nan,nan,nan,nan,0,0.00194852,0.00194852,0.00194852
4,175.063,2.58848,3.61432,3.33958,0.04291,4.07356,0.00734,0.44882,0.01323,0.00239,0.00696,0.4252,0.01285,0.00225,nan,nan,nan,nan,0,0.0019406,0.0019406,0.0019406
5,214.862,2.48126,3.53597,3.21153,0.04016,3.91733,0.03616,0.31496,0.03455,0.00848,0.03143,0.29134,0.0252,0.00538,2.57362,4.73859,3.68856,0.06028,0,0.0019208,0.0019208,0.0019208
6,254.778,2.3756,3.50931,3.02484,0.04027,3.81821,0.0755,0.18898,0.03942,0.00921,0.10381,0.25984,0.05431,0.01233,nan,nan,nan,nan,0,0.001901,0.001901,0.001901
7,294.745,2.29995,3.33387,2.96841,0.03809,3.70839,0.03281,0.06299,0.01315,0.00354,0.03281,0.06299,0.01322,0.00385,2.81297,6.05139,4.33818,0.07045,0,0.0018812,0.0018812,0.0018812
8,372.56,2.32588,3.34005,2.92121,0.03892,3.74287,0.03269,0.06299,0.01309,0.00353,0.03269,0.06299,0.01317,0.00384,2.8128,6.05494,4.33884,0.07046,0,0.0018614,0.0018614,0.0018614
9,411.949,2.22098,3.16389,2.80725,0.03577,3.49976,0.05018,0.10236,0.02715,0.00978,0.04758,0.11811,0.02782,0.0125,nan,nan,nan,nan,0,0.0018416,0.0018416,0.0018416
10,451.565,2.19825,3.01544,2.75089,0.03757,3.44073,0.04457,0.00787,0.00622,0.00186,0.03526,0.00787,0.00634,0.00257,nan,nan,nan,nan,0,0.0018218,0.0018218,0.0018218
11,490.883,2.14739,2.96873,2.58737,0.03607,3.33605,0.29079,0.32609,0.22198,0.09288,0.29079,0.32609,0.21898,0.08709,1.99534,3.42582,2.56848,0.04678,0,0.001802,0.001802,0.001802
12,530.546,2.02331,2.84767,2.51818,0.03238,3.11979,0.27323,0.40157,0.24489,0.10021,0.28612,0.41732,0.26814,0.12103,1.88943,3.22488,2.76376,0.04372,0,0.0017822,0.0017822,0.0017822
13,569.694,1.94565,2.64497,2.45081,0.03077,2.88009,0.41161,0.37795,0.30176,0.14803,0.44917,0.40157,0.35127,0.17904,1.73959,2.87005,2.89455,0.04067,0,0.0017624,0.0017624,0.0017624
14,608.689,1.99467,2.63549,2.27369,0.03137,2.71755,0.28497,0.4252,0.31204,0.1384,0.30688,0.40945,0.32187,0.16261,1.91246,2.93074,2.56447,0.04523,0,0.0017426,0.0017426,0.0017426
15,647.427,1.93046,2.53721,2.21532,0.02989,2.67664,0.52313,0.52756,0.47086,0.20276,0.53921,0.52756,0.49828,0.2528,1.90664,2.69676,2.05966,0.04531,0,0.0017228,0.0017228,0.0017228
16,686.267,1.82972,2.47916,2.17115,0.02834,2.66669,0.42313,0.45669,0.40444,0.17676,0.46342,0.51181,0.43221,0.21755,1.91545,2.57717,2.27311,0.0456,0,0.001703,0.001703,0.001703
17,724.735,1.91647,2.45632,2.09597,0.03195,2.69306,0.45336,0.54331,0.45693,0.18777,0.45993,0.55118,0.45245,0.21441,1.79968,2.78973,2.22864,0.04308,0,0.0016832,0.0016832,0.0016832
18,762.971,1.80271,2.37165,2.14541,0.02684,2.59007,0.56793,0.48031,0.46539,0.23535,0.54975,0.52879,0.47571,0.27708,1.7474,2.35817,1.89258,0.04151,0,0.0016634,0.0016634,0.0016634
19,801.646,1.84351,2.36156,2.12709,0.02873,2.41258,0.60172,0.47244,0.50624,0.20983,0.65527,0.44901,0.5276,0.27659,1.85728,2.44207,1.9833,0.0457,0,0.0016436,0.0016436,0.0016436
20,839.894,1.79935,2.31401,1.98811,0.0279,2.33374,0.55753,0.46457,0.54407,0.28011,0.53903,0.51969,0.56618,0.31689,1.66471,2.3913,1.97776,0.03914,0,0.0016238,0.0016238,0.0016238
21,878.44,1.82022,2.36506,1.98799,0.02986,2.56355,0.59415,0.47262,0.52841,0.26869,0.65439,0.52182,0.55076,0.32347,1.74193,2.48017,1.85572,0.0407,0,0.001604,0.001604,0.001604
22,916.357,1.70838,2.23809,1.92977,0.02855,2.51001,0.5149,0.61013,0.53107,0.27679,0.52802,0.6063,0.5338,0.31893,1.7682,2.44028,1.64459,0.04271,0,0.0015842,0.0015842,0.0015842
23,954.261,1.78363,2.24052,1.90236,0.02768,2.3779,0.58208,0.51181,0.51273,0.28186,0.59104,0.51969,0.52012,0.32298,1.67191,2.31274,1.67092,0.03946,0,0.0015644,0.0015644,0.0015644
24,992.596,1.68546,2.10361,1.8243,0.02678,2.16506,0.67284,0.48819,0.58443,0.29484,0.69236,0.50394,0.6115,0.3533,1.69806,2.18505,1.73456,0.04045,0,0.0015446,0.0015446,0.0015446
25,1030.89,1.69293,2.25149,1.87399,0.02674,2.332,0.53051,0.6063,0.52738,0.25158,0.59984,0.59016,0.53822,0.28533,1.65618,2.39486,1.74116,0.04083,0,0.0015248,0.0015248,0.0015248
26,1068.98,1.69623,2.1612,1.86175,0.02798,2.21137,0.64356,0.56693,0.61008,0.32263,0.63622,0.6063,0.61784,0.35286,1.56107,2.56586,1.80802,0.03796,0,0.001505,0.001505,0.001505
27,1107.93,1.70763,2.11042,1.81598,0.02888,2.19269,0.595,0.57841,0.62303,0.32754,0.595,0.57841,0.62713,0.36315,1.66299,2.2887,1.52466,0.03891,0,0.0014852,0.0014852,0.0014852
28,1146.9,1.72269,2.10317,1.864,0.02787,2.31685,0.49892,0.59843,0.54685,0.29883,0.52849,0.6378,0.58458,0.32344,1.60536,2.28421,1.67814,0.03778,0,0.0014654,0.0014654,0.0014654
29,1185.18,1.64517,2.08537,1.74034,0.02554,2.11902,0.59402,0.5748,0.57512,0.30424,0.67832,0.59843,0.61925,0.34841,1.58068,2.22604,1.67703,0.03702,0,0.0014456,0.0014456,0.0014456
30,1223.71,1.67291,2.08254,1.8267,0.02644,2.23824,0.5855,0.62992,0.59244,0.33234,0.59315,0.66929,0.60861,0.35785,1.53147,2.33335,1.61424,0.03627,0,0.0014258,0.0014258,0.0014258
31,1262.69,1.67586,2.05626,1.78503,0.02672,2.25823,0.64078,0.61802,0.60683,0.33833,0.64119,0.61914,0.61262,0.39055,1.62223,2.14298,1.6817,0.03761,0,0.001406,0.001406,0.001406
32,1302.1,1.57975,2.06645,1.75243,0.02399,2.17829,0.57806,0.58268,0.58451,0.32759,0.5867,0.59843,0.60998,0.36975,1.6011,2.10968,1.48426,0.03826,0,0.0013862,0.0013862,0.0013862
