epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2771,3.49281,5.3073,10.0929,0.05749,5.63788,0.00128,0.3622,0.00048,0.00012,0,0,0,0,3.31787,5.18095,17.6706,0.07597,0,0.000654545,0.000654545,0.000654545
2,62.2098,3.11881,3.93975,7.07112,0.05305,4.81349,0.00242,0.68504,0.00652,0.00144,0.00211,0.59843,0.00682,0.0016,2.68111,4.53658,10.1018,0.06799,0,0.00130813,0.00130813,0.00130813
3,81.1814,2.67127,3.68803,4.81563,0.04637,4.33332,0.00247,0.70079,0.0326,0.00835,0.00217,0.61417,0.02007,0.00351,2.48129,7.02922,6.30818,0.061,0,0.00194852,0.00194852,0.00194852
4,100.082,2.54837,3.48349,3.99177,0.04229,4.0092,0.00235,0.61417,0.01224,0.00388,0.00235,0.61417,0.01446,0.00395,2.70934,5.70801,4.61173,0.06623,0,0.0019406,0.0019406,0.0019406
5,118.974,2.34719,3.43169,3.53077,0.03759,3.8185,0.03733,0.55118,0.06187,0.01782,0.0336,0.49606,0.06499,0.01863,2.31432,4.42308,4.41607,0.05499,0,0.0019208,0.0019208,0.0019208
6,137.826,2.30675,3.39418,3.26769,0.03873,3.70804,0.15557,0.27559,0.11753,0.03523,0.18883,0.30709,0.1588,0.05597,2.36492,3.77348,3.46578,0.05643,0,0.001901,0.001901,0.001901
7,156.728,2.22674,3.20356,2.98958,0.03659,3.50488,0.35929,0.26936,0.23898,0.08317,0.35243,0.24409,0.24138,0.07625,2.09622,3.69112,2.89129,0.04946,0,0.0018812,0.0018812,0.0018812
8,175.574,2.1327,3.08832,2.83043,0.03454,3.32214,0.27609,0.27559,0.23334,0.09334,0.31373,0.31318,0.25866,0.10018,1.91255,3.22217,2.82482,0.04549,0,0.0018614,0.0018614,0.0018614
9,194.473,2.13864,2.97053,2.75216,0.03581,3.29247,0.33972,0.38583,0.27181,0.10041,0.35905,0.40157,0.29573,0.11089,2.00739,3.21918,2.79817,0.04854,0,0.0018416,0.0018416,0.0018416
10,213.244,2.11803,2.87885,2.6652,0.03577,3.15466,0.34614,0.33071,0.30328,0.11927,0.36263,0.34646,0.31609,0.13767,1.99676,2.89547,2.44647,0.04706,0,0.0018218,0.0018218,0.0018218
11,231.774,2.08015,2.71776,2.53869,0.03436,2.97166,0.4374,0.40945,0.35113,0.15111,0.47671,0.43307,0.37781,0.17409,1.86447,2.90878,2.47999,0.04381,0,0.001802,0.001802,0.001802
12,250.558,1.96669,2.58549,2.37451,0.03176,2.80611,0.44113,0.37795,0.37118,0.16627,0.43509,0.3622,0.35753,0.18211,1.78144,2.69601,2.32969,0.04213,0,0.0017822,0.0017822,0.0017822
13,269.266,1.91589,2.40862,2.35783,0.03114,2.6108,0.39295,0.37008,0.35401,0.14313,0.42091,0.3937,0.37954,0.16555,1.78211,2.69027,2.49555,0.04362,0,0.0017624,0.0017624,0.0017624
14,287.981,1.89717,2.45225,2.24878,0.02988,2.58433,0.63397,0.41732,0.50323,0.22023,0.57241,0.40945,0.47609,0.27477,1.76863,2.45788,2.08784,0.04258,0,0.0017426,0.0017426,0.0017426
15,306.802,1.85082,2.39797,2.16043,0.02891,2.46637,0.5571,0.50513,0.4912,0.24427,0.54462,0.48971,0.49118,0.26984,1.6929,2.49579,1.98207,0.0409,0,0.0017228,0.0017228,0.0017228
16,325.717,1.91324,2.32404,2.08968,0.03179,2.57747,0.4635,0.40157,0.40848,0.19047,0.50673,0.44094,0.44992,0.23116,1.76732,2.62218,2.17105,0.04076,0,0.001703,0.001703,0.001703
17,344.255,1.79131,2.25898,2.05766,0.02879,2.46099,0.54692,0.50375,0.54023,0.27349,0.55964,0.51036,0.55966,0.31209,1.66085,2.49265,2.00537,0.03955,0,0.0016832,0.0016832,0.0016832
18,363.065,1.80635,2.2126,2.05526,0.02782,2.38542,0.48418,0.53543,0.51447,0.28633,0.4913,0.56693,0.53488,0.30943,1.59262,2.55724,2.30404,0.03694,0,0.0016634,0.0016634,0.0016634
19,382.01,1.76436,2.14086,1.98208,0.02762,2.33491,0.4382,0.5748,0.4626,0.23914,0.44408,0.59843,0.4866,0.28043,1.74793,2.21031,1.82324,0.04246,0,0.0016436,0.0016436,0.0016436
20,400.913,1.82541,2.20617,1.98807,0.02847,2.32205,0.5678,0.53792,0.55535,0.29752,0.57788,0.5748,0.59961,0.34495,1.64009,2.15126,1.63921,0.03944,0,0.0016238,0.0016238,0.0016238
21,419.863,1.86142,2.24928,1.99135,0.0303,2.2963,0.56995,0.62992,0.6033,0.29518,0.57707,0.6378,0.59274,0.35816,1.6625,2.18809,1.70691,0.04038,0,0.001604,0.001604,0.001604
22,438.79,1.71219,2.08697,1.93524,0.02781,2.28821,0.5771,0.55906,0.5863,0.31505,0.59004,0.56663,0.60017,0.37121,1.59983,2.2816,1.68662,0.03811,0,0.0015842,0.0015842,0.0015842
23,457.687,1.74225,1.95277,1.85199,0.02786,2.23464,0.63286,0.55651,0.62418,0.32218,0.63527,0.52118,0.6259,0.38386,1.75009,2.09626,1.50384,0.04185,0,0.0015644,0.0015644,0.0015644
24,476.597,1.69711,1.98956,1.742,0.02818,2.09329,0.57547,0.56693,0.61578,0.32521,0.58023,0.58268,0.61802,0.36606,1.55044,2.17016,1.62093,0.03647,0,0.0015446,0.0015446,0.0015446
25,495.487,1.72057,2.02527,1.78942,0.02781,2.09648,0.602,0.56693,0.58983,0.34093,0.61872,0.58268,0.62038,0.38383,1.52014,2.15567,1.70543,0.03596,0,0.0015248,0.0015248,0.0015248
26,514.545,1.71965,2.05497,1.71768,0.02751,2.27401,0.56051,0.58268,0.58042,0.32561,0.58428,0.59843,0.59234,0.36161,1.5724,2.17595,1.55026,0.03787,0,0.001505,0.001505,0.001505
27,533.475,1.65564,2.01208,1.77619,0.02719,2.06833,0.67552,0.59014,0.62531,0.33807,0.65815,0.59122,0.61546,0.37093,1.57668,2.18023,1.56028,0.03828,0,0.0014852,0.0014852,0.0014852
28,552.405,1.69861,1.9975,1.77992,0.02749,2.14385,0.58623,0.63588,0.65887,0.37357,0.62266,0.64567,0.6829,0.41682,1.54807,2.09854,1.43885,0.03631,0,0.0014654,0.0014654,0.0014654
29,571.344,1.66396,1.99899,1.77828,0.0254,2.05309,0.57794,0.59055,0.5981,0.35945,0.58487,0.59905,0.61819,0.40227,1.51817,1.99027,1.43696,0.03706,0,0.0014456,0.0014456,0.0014456
30,590.341,1.67286,1.93881,1.6721,0.0251,2.0752,0.56314,0.5748,0.57101,0.31972,0.59627,0.6378,0.61449,0.37196,1.66928,2.18147,1.52165,0.0393,0,0.0014258,0.0014258,0.0014258
31,609.228,1.66584,1.90356,1.70332,0.02634,2.02607,0.643,0.58268,0.60007,0.36574,0.65169,0.59055,0.61208,0.38993,1.55083,2.13033,1.38685,0.03715,0,0.001406,0.001406,0.001406
32,628.056,1.64066,2.00688,1.68368,0.02606,2.10028,0.59382,0.66142,0.65179,0.3682,0.60089,0.66929,0.66033,0.40312,1.50996,2.08499,1.38067,0.03659,0,0.0013862,0.0013862,0.0013862
