epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5376,3.38642,5.27628,8.76032,0.05622,5.2884,0.00117,0.33071,0.00058,0.00017,0.00136,0.38583,0.00083,0.0002,3.38152,4.59971,17.5167,0.0764,0,0.000654545,0.000654545,0.000654545
2,69.6183,2.84652,3.81806,5.33507,0.04765,4.3911,0.002,0.56693,0.00401,0.00087,0.00117,0.33071,0.00254,0.00052,2.80787,5.75144,7.61242,0.06871,0,0.00130813,0.00130813,0.00130813
3,92.7518,2.52927,3.59986,3.8477,0.04324,4.06213,0.00163,0.43307,0.00635,0.00135,0.00488,0.3937,0.00964,0.00183,3.39014,5.79627,5.23337,0.07899,0,0.00194852,0.00194852,0.00194852
4,115.949,2.47522,3.47004,3.4161,0.04128,3.88291,0.00352,0.55118,0.00627,0.00151,0.00347,0.54331,0.00651,0.00146,2.82463,74.0155,4.47902,0.07235,0,0.0019406,0.0019406,0.0019406
5,138.963,2.42833,3.42498,3.22326,0.03911,3.74016,0.10095,0.29134,0.06824,0.01897,0.11186,0.32283,0.0814,0.02048,2.00109,4.13233,3.92251,0.04716,0,0.0019208,0.0019208,0.0019208
6,161.852,2.31575,3.33024,3.07131,0.03919,3.63502,0.1601,0.40157,0.14495,0.04836,0.1706,0.34646,0.14093,0.05081,2.09392,3.55094,3.5378,0.04987,0,0.001901,0.001901,0.001901
7,184.783,2.23558,3.07377,2.88484,0.03638,3.37933,0.30955,0.23301,0.2391,0.08895,0.39766,0.25197,0.27442,0.10311,1.92993,3.25461,2.76203,0.04584,0,0.0018812,0.0018812,0.0018812
8,208.056,2.15993,2.97,2.7168,0.03498,3.15167,0.22573,0.26772,0.20084,0.07652,0.28694,0.3042,0.20247,0.08284,2.01357,3.51406,2.69305,0.04835,0,0.0018614,0.0018614,0.0018614
9,231.293,2.1257,2.82234,2.63329,0.03533,3.15031,0.27074,0.34646,0.24984,0.10297,0.28597,0.35433,0.23926,0.10537,2.11964,3.55958,2.45581,0.0517,0,0.0018416,0.0018416,0.0018416
10,254.931,2.0537,2.73014,2.4511,0.03419,3.05555,0.32538,0.42157,0.30436,0.13195,0.33146,0.42944,0.31992,0.16081,1.84496,2.73636,2.38343,0.04454,0,0.0018218,0.0018218,0.0018218
11,278.599,1.99851,2.60247,2.3033,0.03305,2.84781,0.49167,0.37795,0.39746,0.18716,0.5123,0.40945,0.42172,0.21564,1.9269,2.88989,2.07206,0.04556,0,0.001802,0.001802,0.001802
12,301.978,1.93545,2.51671,2.22755,0.03107,2.70626,0.38266,0.38583,0.32663,0.13371,0.35489,0.43307,0.32825,0.16878,1.95296,2.75305,2.50546,0.04715,0,0.0017822,0.0017822,0.0017822
13,324.911,1.96885,2.35981,2.23821,0.03166,2.60101,0.4728,0.45669,0.44152,0.18234,0.49725,0.48031,0.45248,0.23041,1.71904,2.40416,2.09954,0.04126,0,0.0017624,0.0017624,0.0017624
14,348.073,1.87123,2.35637,2.12994,0.02946,2.57532,0.52161,0.4252,0.42565,0.21619,0.56858,0.46457,0.46594,0.25225,1.6988,2.47686,2.0581,0.0409,0,0.0017426,0.0017426,0.0017426
15,371.335,1.86081,2.3234,2.03982,0.02914,2.38681,0.60757,0.47244,0.50163,0.24522,0.66692,0.50394,0.55829,0.26509,1.77929,2.7948,1.97973,0.04204,0,0.0017228,0.0017228,0.0017228
