epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3896,3.328,4.97579,7.45899,0.05527,5.11261,0.00158,0.44882,0.00105,0.00027,0,0,0,0,2.73578,7.82346,11.2616,0.06943,0,0.000654545,0.000654545,0.000654545
2,150.771,2.92063,3.93175,4.07813,0.04922,4.33953,0.00027,0.06299,7e-05,2e-05,0.0001,0.02362,1e-05,0,3.98087,71.1961,6.38986,0.1167,0,0.00130813,0.00130813,0.00130813
3,288.026,2.7281,3.83307,3.59603,0.0462,4.0853,0.00027,0.06299,7e-05,2e-05,0.0001,0.02362,1e-05,0,3.98034,71.2799,6.38925,0.11667,0,0.00194852,0.00194852,0.00194852
4,424.909,2.80997,3.86819,3.61803,0.04914,4.09056,0.00027,0.06299,7e-05,2e-05,0.0001,0.02362,1e-05,0,3.98034,71.2799,6.38925,0.11667,0,0.0019406,0.0019406,0.0019406
5,561.729,2.75223,3.79892,3.58395,0.047,4.05826,0.00027,0.06299,7e-05,2e-05,0.0001,0.02362,1e-05,0,3.98034,71.2799,6.38925,0.11667,0,0.0019208,0.0019208,0.0019208
6,630.934,2.66941,3.75718,3.5486,0.04518,4.09624,0.00483,0.22835,0.0015,0.00036,0.00499,0.23622,0.00164,0.00026,3.18913,14.9431,4.31725,0.08344,0,0.001901,0.001901,0.001901
7,768.633,2.70295,3.68923,3.48621,0.04649,4.11012,0.00483,0.22835,0.00149,0.00036,0.005,0.23622,0.00166,0.00027,3.20569,14.8818,4.27619,0.08372,0,0.0018812,0.0018812,0.0018812
8,906.065,2.69783,3.79011,3.5588,0.04737,4.15279,0.00483,0.22835,0.00149,0.00036,0.005,0.23622,0.00166,0.00027,3.20569,14.8818,4.27619,0.08372,0,0.0018614,0.0018614,0.0018614
9,1044.08,2.63715,3.80208,3.53552,0.04436,4.0684,0.00483,0.22835,0.00149,0.00036,0.005,0.23622,0.00166,0.00027,3.20569,14.8818,4.27619,0.08372,0,0.0018416,0.0018416,0.0018416
10,1113.61,2.58713,3.71224,3.3696,0.04475,4.10473,0.0035,0.02362,0.00111,0.00011,0.00234,0.01575,0.00106,0.00011,nan,nan,nan,nan,0,0.0018218,0.0018218,0.0018218
