epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6459,3.44469,5.70995,8.56963,0.05717,5.09694,0.00153,0.43307,0.00417,0.00111,0.00131,0.37008,0.00307,0.00064,3.2884,4.56071,14.9296,0.09097,0,0.000654545,0.000654545,0.000654545
2,84.4897,3.01132,3.90424,4.62614,0.05152,4.32785,0.00173,0.48819,0.00432,0.001,0.00126,0.35433,0.00179,0.00036,2.62141,7.48524,5.34115,0.06786,0,0.00130813,0.00130813,0.00130813
3,152.872,2.81819,3.77654,3.86174,0.04761,4.20505,0.00173,0.48819,0.00431,0.001,0.00126,0.35433,0.0018,0.00036,2.62104,7.47531,5.34104,0.06784,0,0.00194852,0.00194852,0.00194852
4,186.515,2.67083,3.74371,3.58746,0.04469,4.10687,0.00321,0.1811,0.00314,0.00071,0.00307,0.17323,0.00415,0.00085,nan,nan,nan,nan,0,0.0019406,0.0019406,0.0019406
5,220.507,2.5739,3.93593,3.31313,0.04373,4.02088,0.00313,0.38583,0.00335,0.00085,0.00332,0.40945,0.00209,0.00043,3.00324,6.12463,4.35058,0.06979,0,0.0019208,0.0019208,0.0019208
6,254.486,2.46473,3.47681,3.13091,0.04161,3.84447,0.06581,0.07087,0.04031,0.00894,0.08707,0.07874,0.03933,0.00877,2.60892,4.77162,3.60496,0.06089,0,0.001901,0.001901,0.001901
7,288.678,2.35432,3.37574,3.04132,0.03791,3.82611,0.13865,0.12598,0.05877,0.02005,0.15599,0.14173,0.07594,0.02358,2.48873,3.69367,3.48915,0.0575,0,0.0018812,0.0018812,0.0018812
8,323.147,2.36089,3.39362,3.0066,0.03933,3.85161,0.24086,0.27559,0.12352,0.03965,0.20632,0.25984,0.13006,0.04393,2.45581,3.66234,2.85928,0.05765,0,0.0018614,0.0018614,0.0018614
9,357.381,2.27864,3.27245,2.86789,0.03757,3.69604,0.24096,0.24409,0.14173,0.0468,0.26331,0.25984,0.16264,0.04558,2.12461,3.4624,2.90532,0.05001,0,0.0018416,0.0018416,0.0018416
10,391.727,2.16022,3.08859,2.78058,0.03653,3.53324,0.22078,0.30709,0.15337,0.0476,0.25901,0.29921,0.1692,0.04917,2.10633,3.73108,2.76786,0.05055,0,0.0018218,0.0018218,0.0018218
11,426.268,2.10528,3.06545,2.67107,0.03482,3.48269,0.29136,0.25197,0.20531,0.07395,0.27486,0.23622,0.19343,0.08167,1.9823,3.39387,2.74861,0.04736,0,0.001802,0.001802,0.001802
12,460.639,2.0605,3.00121,2.58236,0.03297,3.32882,0.45438,0.29921,0.29845,0.1191,0.41788,0.35433,0.33112,0.13111,1.79057,3.28853,2.77264,0.04225,0,0.0017822,0.0017822,0.0017822
13,494.97,1.99482,2.8035,2.52462,0.03168,3.11622,0.34146,0.41732,0.3424,0.14201,0.39528,0.41732,0.35743,0.1563,1.83674,2.93448,2.52127,0.04289,0,0.0017624,0.0017624,0.0017624
14,529.378,1.99585,2.72014,2.33104,0.03156,2.94662,0.42627,0.4252,0.37247,0.1595,0.45444,0.44094,0.37804,0.19443,1.81084,2.90249,2.26855,0.04274,0,0.0017426,0.0017426,0.0017426
15,563.901,1.93195,2.64651,2.26689,0.02995,2.89425,0.38858,0.50394,0.36759,0.16827,0.41769,0.54331,0.39165,0.1955,1.7956,2.78346,2.16192,0.04229,0,0.0017228,0.0017228,0.0017228
16,598.216,1.91453,2.56326,2.19903,0.03002,2.8518,0.34846,0.51969,0.36155,0.15319,0.36396,0.53543,0.3883,0.17979,1.92011,2.83816,2.01036,0.04615,0,0.001703,0.001703,0.001703
17,632.213,1.92344,2.47107,2.1802,0.03149,2.85293,0.36106,0.55174,0.42245,0.20393,0.37369,0.55118,0.42967,0.23248,1.71524,2.78974,2.37348,0.04053,0,0.0016832,0.0016832,0.0016832
18,666.731,1.82879,2.44063,2.169,0.02734,2.71315,0.44366,0.58268,0.43629,0.17392,0.46832,0.59843,0.4513,0.21777,1.71443,2.6964,2.13547,0.04031,0,0.0016634,0.0016634,0.0016634
19,700.826,1.87079,2.43072,2.13342,0.02944,2.5725,0.463,0.52756,0.44817,0.21919,0.45611,0.53486,0.43922,0.25609,1.71103,2.4846,1.87832,0.04128,0,0.0016436,0.0016436,0.0016436
20,735.218,1.82371,2.37253,1.97891,0.02805,2.43383,0.56355,0.51969,0.51083,0.25659,0.60625,0.55906,0.53215,0.28726,1.61988,2.48293,1.94959,0.03813,0,0.0016238,0.0016238,0.0016238
21,769.743,1.82665,2.32737,2.0369,0.02983,2.6664,0.6156,0.4252,0.51325,0.23996,0.57287,0.47524,0.53039,0.30294,1.80088,2.45586,1.8632,0.04306,0,0.001604,0.001604,0.001604
22,803.899,1.76139,2.26718,1.96067,0.02979,2.63432,0.56214,0.52756,0.56463,0.28066,0.57535,0.53543,0.57065,0.31168,1.70626,2.2557,1.62641,0.0418,0,0.0015842,0.0015842,0.0015842
23,838.309,1.8114,2.19776,1.90838,0.02841,2.41563,0.63424,0.49606,0.56418,0.28665,0.57211,0.52641,0.57017,0.33334,1.66233,2.3273,1.72202,0.04003,0,0.0015644,0.0015644,0.0015644
24,872.787,1.65879,2.0719,1.83972,0.0263,2.21139,0.54724,0.48031,0.4798,0.24181,0.49651,0.53578,0.51003,0.27123,1.56296,2.46346,1.9293,0.03596,0,0.0015446,0.0015446,0.0015446
25,906.794,1.69582,2.16952,1.9197,0.02667,2.40306,0.57074,0.55118,0.5709,0.25999,0.54873,0.53543,0.55498,0.31306,1.74356,2.31721,1.67163,0.04156,0,0.0015248,0.0015248,0.0015248
26,941.008,1.69229,2.1142,1.8368,0.02764,2.24787,0.49684,0.59869,0.58534,0.32818,0.51742,0.59843,0.6027,0.37426,1.58025,2.16294,1.57759,0.03753,0,0.001505,0.001505,0.001505
27,975.639,1.7284,2.08082,1.82259,0.02921,2.23789,0.4851,0.58268,0.54032,0.28747,0.53523,0.5748,0.55521,0.33004,1.65326,2.3964,1.63542,0.03973,0,0.0014852,0.0014852,0.0014852
28,1009.83,1.7752,2.11615,1.83247,0.02893,2.36697,0.59501,0.53543,0.57743,0.33856,0.69796,0.54589,0.61555,0.36748,1.46629,2.14563,1.54878,0.03503,0,0.0014654,0.0014654,0.0014654
29,1044.23,1.62255,2.01195,1.72036,0.02517,2.11107,0.53334,0.5748,0.57061,0.29837,0.54795,0.59055,0.59186,0.35487,1.63145,2.23932,1.6575,0.03825,0,0.0014456,0.0014456,0.0014456
30,1078.63,1.66927,2.03042,1.77301,0.02625,2.21431,0.55247,0.65354,0.61961,0.33793,0.5574,0.65449,0.63604,0.37729,1.59007,2.17781,1.53642,0.03668,0,0.0014258,0.0014258,0.0014258
31,1113.19,1.69956,2.03738,1.80129,0.02719,2.2888,0.63736,0.58268,0.66179,0.36615,0.64249,0.59055,0.67236,0.42193,1.5961,2.08273,1.47301,0.03789,0,0.001406,0.001406,0.001406
32,1148.01,1.57363,1.99476,1.7327,0.02413,2.15737,0.57897,0.59843,0.56438,0.33643,0.59621,0.6063,0.58027,0.35693,1.44026,2.11293,1.48424,0.03421,0,0.0013862,0.0013862,0.0013862
33,1182.28,1.60752,2.00752,1.72177,0.02582,2.16266,0.67401,0.68379,0.67279,0.3615,0.68872,0.69291,0.6873,0.41876,1.64003,2.0451,1.34456,0.03976,0,0.0013664,0.0013664,0.0013664
34,1216.46,1.6005,1.9298,1.63461,0.02496,2.08763,0.61546,0.59843,0.64635,0.3934,0.64662,0.62992,0.68075,0.41395,1.51447,2.28327,1.45671,0.03565,0,0.0013466,0.0013466,0.0013466
35,1251.16,1.60931,1.91554,1.64456,0.02506,2.10451,0.59628,0.62205,0.62116,0.35074,0.61904,0.66142,0.64645,0.38413,1.56809,2.19992,1.50336,0.03691,0,0.0013268,0.0013268,0.0013268
36,1285.37,1.53756,1.82987,1.59977,0.02581,2.00327,0.67847,0.61477,0.65658,0.37527,0.69843,0.62992,0.66699,0.41344,1.48437,1.93654,1.43318,0.0355,0,0.001307,0.001307,0.001307
37,1319.54,1.50714,1.88609,1.51973,0.02372,1.95653,0.61528,0.62205,0.62789,0.38292,0.61528,0.62992,0.64406,0.41424,1.41372,1.95552,1.44596,0.0336,0,0.0012872,0.0012872,0.0012872
38,1353.95,1.53446,1.82713,1.54831,0.02364,1.92751,0.68938,0.59419,0.66438,0.41559,0.63942,0.62205,0.68256,0.44542,1.44712,2.06251,1.30173,0.03528,0,0.0012674,0.0012674,0.0012674
39,1388.6,1.5306,1.86297,1.52795,0.02425,2.08502,0.61925,0.59055,0.63781,0.38184,0.63148,0.63416,0.65408,0.41857,1.56888,2.05472,1.25628,0.03849,0,0.0012476,0.0012476,0.0012476
40,1422.71,1.51352,1.87002,1.55823,0.02396,1.94124,0.60594,0.62205,0.64911,0.39547,0.60642,0.62992,0.66256,0.42653,1.46629,1.95873,1.34492,0.03464,0,0.0012278,0.0012278,0.0012278
41,1456.95,1.5124,1.84608,1.54534,0.02427,1.9902,0.6441,0.64129,0.71831,0.42012,0.65231,0.64567,0.71031,0.45034,1.41488,1.94923,1.30011,0.03368,0,0.001208,0.001208,0.001208
42,1491.56,1.51647,1.84871,1.56909,0.02163,1.84506,0.63351,0.65333,0.68793,0.40791,0.62588,0.64545,0.69153,0.44003,1.47203,2.03138,1.40625,0.03531,0,0.0011882,0.0011882,0.0011882
43,1525.88,1.5024,1.83793,1.47764,0.02404,1.83473,0.69188,0.59843,0.66224,0.39358,0.71508,0.62205,0.68308,0.43116,1.44158,1.85251,1.39237,0.03505,0,0.0011684,0.0011684,0.0011684
44,1560.25,1.44239,1.74506,1.43013,0.02177,1.8425,0.63932,0.69787,0.70591,0.42594,0.66793,0.66142,0.71464,0.46334,1.47446,1.97315,1.15729,0.03515,0,0.0011486,0.0011486,0.0011486
45,1594.73,1.51171,1.84418,1.51309,0.02351,1.94745,0.62282,0.5981,0.67613,0.41613,0.65946,0.64567,0.70023,0.45975,1.45819,2.12993,1.30121,0.03514,0,0.0011288,0.0011288,0.0011288
46,1628.91,1.45299,1.84296,1.51021,0.02164,1.90239,0.6594,0.70079,0.68851,0.41511,0.69183,0.71654,0.6938,0.45391,1.41063,1.84333,1.20953,0.03392,0,0.001109,0.001109,0.001109
47,1663.24,1.43785,1.78264,1.43397,0.02229,1.85312,0.56146,0.73228,0.6921,0.44948,0.59011,0.76378,0.71624,0.48276,1.35106,1.82573,1.18295,0.03276,0,0.0010892,0.0010892,0.0010892
48,1697.72,1.45763,1.71321,1.36657,0.02311,1.6644,0.60458,0.74644,0.70948,0.44429,0.62296,0.76758,0.73999,0.48242,1.43936,1.90236,1.10992,0.03436,0,0.0010694,0.0010694,0.0010694
49,1731.97,1.44782,1.8124,1.40313,0.02305,1.81885,0.58813,0.7421,0.68725,0.44445,0.62245,0.701,0.71146,0.48286,1.39343,1.86661,1.21615,0.03315,0,0.0010496,0.0010496,0.0010496
50,1766.31,1.48122,1.78192,1.39266,0.02288,1.79754,0.67076,0.62992,0.70902,0.44458,0.70544,0.66142,0.73366,0.48369,1.38508,1.94587,1.21388,0.0333,0,0.0010298,0.0010298,0.0010298
51,1800.58,1.40751,1.66828,1.37438,0.02185,1.75118,0.65291,0.69618,0.70649,0.45422,0.60638,0.73993,0.70998,0.47458,1.39125,1.89862,1.11789,0.03341,0,0.00101,0.00101,0.00101
52,1834.93,1.39353,1.69442,1.37419,0.02179,1.66785,0.66159,0.64654,0.68333,0.43239,0.69042,0.62205,0.69664,0.46012,1.44572,1.95837,1.18991,0.03546,0,0.0009902,0.0009902,0.0009902
53,1869.23,1.42813,1.70064,1.34247,0.02241,1.70511,0.65327,0.66142,0.67587,0.4173,0.63748,0.73228,0.702,0.4585,1.43104,1.88919,1.21191,0.03488,0,0.0009704,0.0009704,0.0009704
54,1903.37,1.41346,1.67852,1.36339,0.02183,1.68687,0.67035,0.69291,0.74757,0.45152,0.67688,0.67717,0.75205,0.50151,1.47833,1.96425,1.12591,0.03609,0,0.0009506,0.0009506,0.0009506
55,1937.87,1.40713,1.63007,1.29267,0.02131,1.66089,0.7895,0.61417,0.72654,0.4625,0.80882,0.63296,0.74961,0.49579,1.35962,1.87608,1.15936,0.03214,0,0.0009308,0.0009308,0.0009308
56,1972.37,1.38193,1.64036,1.32325,0.02257,1.64179,0.71388,0.76619,0.7786,0.49792,0.73488,0.71654,0.7959,0.54321,1.35263,1.79316,1.04803,0.0322,0,0.000911,0.000911,0.000911
57,2006.8,1.37231,1.67787,1.34379,0.02229,1.72962,0.74981,0.61417,0.72255,0.44671,0.74981,0.61417,0.72298,0.48877,1.40996,1.84687,1.2596,0.03444,0,0.0008912,0.0008912,0.0008912
58,2040.8,1.40184,1.6503,1.36837,0.02276,1.81948,0.68831,0.71295,0.76421,0.49138,0.69592,0.72082,0.77097,0.51452,1.35606,1.98365,1.13175,0.03281,0,0.0008714,0.0008714,0.0008714
59,2074.86,1.36859,1.62437,1.34493,0.02215,1.72757,0.73352,0.58268,0.72376,0.47995,0.74724,0.59055,0.72941,0.50371,1.33239,1.88757,1.15214,0.03207,0,0.0008516,0.0008516,0.0008516
60,2109.16,1.32102,1.55713,1.24712,0.02111,1.59147,0.72451,0.69291,0.77078,0.48675,0.77169,0.66536,0.77672,0.5186,1.3693,1.87297,1.07849,0.03341,0,0.0008318,0.0008318,0.0008318
61,2143.25,1.278,1.64056,1.24908,0.01985,1.54044,0.73983,0.72441,0.76011,0.48757,0.74894,0.73228,0.76526,0.51501,1.33452,1.90292,1.10488,0.03249,0,0.000812,0.000812,0.000812
62,2177.41,1.30907,1.64885,1.28998,0.01987,1.6144,0.68051,0.72441,0.75439,0.50905,0.68152,0.72454,0.76792,0.52656,1.29523,1.73074,1.10211,0.03038,0,0.0007922,0.0007922,0.0007922
63,2211.73,1.30806,1.67443,1.31157,0.0204,1.64347,0.707,0.72201,0.7823,0.5154,0.707,0.72201,0.78619,0.55307,1.32081,1.77057,1.02315,0.03161,0,0.0007724,0.0007724,0.0007724
64,2246.34,1.36479,1.67591,1.34222,0.02124,1.6377,0.6907,0.74016,0.7543,0.4952,0.72278,0.66929,0.7588,0.52876,1.26468,1.73854,1.06883,0.03043,0,0.0007526,0.0007526,0.0007526
65,2280.39,1.35163,1.72524,1.32935,0.02113,1.71026,0.70061,0.64567,0.74023,0.48172,0.83314,0.58975,0.7545,0.50689,1.27841,1.7229,1.15677,0.0311,0,0.0007328,0.0007328,0.0007328
66,2314.58,1.34572,1.57099,1.26201,0.02156,1.58223,0.68039,0.70404,0.73513,0.48238,0.68587,0.70866,0.74923,0.51403,1.30552,1.76717,1.09137,0.0317,0,0.000713,0.000713,0.000713
67,2348.47,1.33274,1.54641,1.1866,0.02066,1.47207,0.72543,0.76378,0.79164,0.50731,0.81964,0.67717,0.79849,0.54341,1.27693,1.79803,1.05893,0.03005,0,0.0006932,0.0006932,0.0006932
68,2382.57,1.34677,1.60141,1.25432,0.02138,1.60977,0.72282,0.71869,0.72368,0.48161,0.76234,0.72441,0.74328,0.50552,1.32677,1.7759,1.05136,0.03198,0,0.0006734,0.0006734,0.0006734
69,2416.68,1.27893,1.53909,1.2474,0.01946,1.63679,0.74548,0.70866,0.77391,0.51996,0.74421,0.70866,0.78382,0.54285,1.2443,1.7484,1.11503,0.02917,0,0.0006536,0.0006536,0.0006536
