epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2107,0.86036,2.21322,5.58692,0.01187,3.59279,0.00314,0.88976,0.38699,0.26346,0.00333,0.94488,0.38367,0.263,0.84713,2.46895,9.5068,0.01805,0,0.000654545,0.000654545,0.000654545
2,60.8702,1.03042,1.6334,4.14775,0.01463,1.90755,0.68396,0.55906,0.69179,0.47509,0.68154,0.62205,0.69944,0.49806,1.01188,1.88866,6.50772,0.02318,0,0.00130813,0.00130813,0.00130813
3,78.6914,1.06285,1.55009,2.97309,0.01607,1.74503,0.71984,0.58672,0.68586,0.40071,0.65863,0.6378,0.68107,0.46055,1.22717,2.42819,4.19346,0.02749,0,0.00194852,0.00194852,0.00194852
4,96.4217,1.12562,1.5445,2.35237,0.01652,1.73804,0.81876,0.59843,0.73071,0.44316,0.84605,0.61417,0.73749,0.49813,1.3545,2.32304,2.77573,0.03087,0,0.0019406,0.0019406,0.0019406
5,113.882,1.1765,1.57292,1.92933,0.01677,1.64507,0.72765,0.64567,0.71813,0.45767,0.73588,0.68012,0.75429,0.49774,1.26206,2.2781,2.11206,0.02829,0,0.0019208,0.0019208,0.0019208
6,131.596,1.10266,1.46612,1.6213,0.01705,1.5473,0.72055,0.59843,0.69787,0.47724,0.72055,0.59843,0.70083,0.49131,1.14864,1.91913,1.89061,0.02652,0,0.001901,0.001901,0.001901
7,149.399,1.09821,1.50201,1.40489,0.01606,1.43976,0.8422,0.68504,0.79469,0.52199,0.84353,0.70866,0.80809,0.55871,1.28359,1.79182,1.43149,0.02969,0,0.0018812,0.0018812,0.0018812
8,167.311,1.14662,1.50078,1.33634,0.01685,1.46219,0.83219,0.58575,0.70383,0.40312,0.84338,0.59362,0.71854,0.4729,1.34452,1.68504,1.7649,0.03448,0,0.0018614,0.0018614,0.0018614
9,185.183,1.17091,1.54525,1.31617,0.01826,1.61635,0.72467,0.75591,0.77452,0.48648,0.77793,0.74803,0.77973,0.54269,1.37422,1.90166,1.22258,0.03236,0,0.0018416,0.0018416,0.0018416
10,202.747,1.17257,1.569,1.27123,0.01833,1.5487,0.76051,0.76378,0.81279,0.53471,0.74443,0.74803,0.79658,0.54977,1.18057,1.68486,1.20065,0.02816,0,0.0018218,0.0018218,0.0018218
11,220.932,1.13067,1.48929,1.26049,0.01743,1.48151,0.84255,0.71654,0.82231,0.57918,0.85181,0.72441,0.83656,0.58373,1.06238,1.68559,1.09133,0.02523,0,0.001802,0.001802,0.001802
12,240.319,1.03077,1.41312,1.09398,0.01505,1.24383,0.73119,0.81388,0.81486,0.58923,0.73727,0.81754,0.82013,0.60182,1.09032,1.66678,1.03514,0.02585,0,0.0017822,0.0017822,0.0017822
13,260.72,1.0097,1.30476,1.05131,0.01474,1.22464,0.78648,0.66709,0.76942,0.53241,0.74011,0.71757,0.77648,0.54076,1.13768,2.08214,1.14751,0.02882,0,0.0017624,0.0017624,0.0017624
14,281.132,1.02293,1.38967,1.05617,0.01473,1.31569,0.7679,0.72441,0.81212,0.59488,0.74721,0.7874,0.83762,0.61572,1.08945,1.44952,0.98389,0.02525,0,0.0017426,0.0017426,0.0017426
15,301.461,1.04294,1.38628,1.0449,0.01516,1.26585,0.82799,0.76378,0.82848,0.56247,0.82799,0.76378,0.84381,0.59369,1.2246,1.71586,0.96257,0.02802,0,0.0017228,0.0017228,0.0017228
16,320.55,1.03963,1.35469,1.03499,0.01605,1.40396,0.83496,0.75591,0.82964,0.55175,0.83562,0.76378,0.83421,0.59334,1.20435,1.58993,1.00913,0.02907,0,0.001703,0.001703,0.001703
17,339.148,1.02032,1.29381,0.94885,0.01498,1.1996,0.82129,0.81102,0.88007,0.63572,0.81285,0.80315,0.86158,0.62697,1.00483,1.50128,0.78342,0.02353,0,0.0016832,0.0016832,0.0016832
18,357.768,1.00103,1.3131,0.98564,0.01392,1.20983,0.78374,0.79901,0.85576,0.58735,0.75217,0.83465,0.85175,0.61317,1.16973,1.57241,0.90948,0.02747,0,0.0016634,0.0016634,0.0016634
19,376.558,1.01102,1.31243,0.96218,0.01443,1.29028,0.79907,0.83465,0.83778,0.57792,0.80661,0.84252,0.85305,0.61704,1.16149,1.50695,0.87204,0.02754,0,0.0016436,0.0016436,0.0016436
20,395.321,1.00076,1.28601,0.95727,0.01406,1.16909,0.8543,0.78487,0.84631,0.61439,0.85661,0.79965,0.84667,0.63794,1.06788,1.43406,0.90628,0.02547,0,0.0016238,0.0016238,0.0016238
21,413.832,1.02595,1.36128,0.9829,0.01477,1.34134,0.83819,0.76378,0.84784,0.59975,0.83819,0.76378,0.85084,0.61579,1.02292,1.50494,0.89706,0.02405,0,0.001604,0.001604,0.001604
22,432.769,0.97667,1.29427,0.90012,0.01438,1.27258,0.87672,0.76378,0.84835,0.58317,0.88576,0.77165,0.84865,0.61035,1.17048,1.6301,0.89083,0.02724,0,0.0015842,0.0015842,0.0015842
23,451.624,0.95593,1.23555,0.9648,0.01364,1.20024,0.85109,0.77953,0.85514,0.62165,0.85109,0.77953,0.86179,0.62147,1.04909,1.5073,0.90009,0.02339,0,0.0015644,0.0015644,0.0015644
24,470.691,0.93761,1.23433,0.8584,0.01416,0.98633,0.85411,0.82977,0.87996,0.62259,0.87061,0.80315,0.87895,0.63637,1.03098,1.52524,0.99178,0.02705,0,0.0015446,0.0015446,0.0015446
25,489.866,0.97047,1.22488,0.87871,0.01406,1.04651,0.83901,0.75591,0.85523,0.63455,0.80107,0.81102,0.86929,0.6594,1.03626,1.46273,0.77671,0.02436,0,0.0015248,0.0015248,0.0015248
26,508.99,0.94812,1.25547,0.90409,0.01395,1.17423,0.88001,0.70079,0.836,0.60951,0.77555,0.77953,0.84113,0.62209,1.02444,1.54119,0.8733,0.02356,0,0.001505,0.001505,0.001505
27,527.872,0.93088,1.26596,0.85388,0.01412,1.09108,0.79457,0.85039,0.85926,0.62875,0.80193,0.85827,0.86306,0.64278,1.04786,1.65156,0.79356,0.0244,0,0.0014852,0.0014852,0.0014852
28,546.962,0.96137,1.2911,0.94962,0.01426,1.24255,0.90301,0.71654,0.85502,0.63355,0.88759,0.7461,0.86258,0.64356,0.96987,1.51275,0.80852,0.02312,0,0.0014654,0.0014654,0.0014654
29,566.026,0.95367,1.2422,0.85094,0.01316,1.00732,0.81145,0.82677,0.85314,0.62031,0.8271,0.84252,0.86888,0.64232,1.02911,1.58008,0.84823,0.02466,0,0.0014456,0.0014456,0.0014456
30,585.003,0.94399,1.19827,0.82303,0.01305,1.1085,0.90072,0.72441,0.88227,0.66451,0.82589,0.82173,0.89051,0.67155,0.92265,1.37949,0.77036,0.02088,0,0.0014258,0.0014258,0.0014258
31,604.362,0.9572,1.21101,0.81915,0.01338,1.08262,0.86204,0.80315,0.88313,0.6626,0.86887,0.78259,0.87928,0.6719,0.96742,1.48116,0.71221,0.02293,0,0.001406,0.001406,0.001406
32,623.513,0.97502,1.31642,0.84799,0.01387,1.19386,0.86124,0.81102,0.87984,0.63514,0.85288,0.80315,0.87282,0.6421,0.99133,1.57591,0.80741,0.02237,0,0.0013862,0.0013862,0.0013862
33,642.532,0.86362,1.26381,0.73046,0.01241,0.96051,0.85549,0.80315,0.87526,0.65187,0.85995,0.8189,0.88115,0.65348,0.96007,1.52001,0.72651,0.0222,0,0.0013664,0.0013664,0.0013664
34,661.696,0.91757,1.22972,0.78238,0.01401,0.96809,0.84274,0.85827,0.88723,0.64187,0.82985,0.85039,0.8808,0.6708,1.01961,1.42992,0.70716,0.02386,0,0.0013466,0.0013466,0.0013466
35,680.524,0.91956,1.18798,0.85997,0.01313,1.10864,0.80122,0.80315,0.85221,0.63668,0.76565,0.86614,0.85845,0.6463,0.94449,1.39364,0.74185,0.02174,0,0.0013268,0.0013268,0.0013268
36,699.623,0.87944,1.16126,0.75687,0.01279,0.98746,0.89926,0.77953,0.87885,0.63687,0.90364,0.7874,0.88171,0.657,1.09608,1.45035,0.72563,0.02683,0,0.001307,0.001307,0.001307
37,718.581,0.84126,1.1412,0.693,0.01177,0.92659,0.85245,0.7874,0.8585,0.62886,0.86356,0.79741,0.85754,0.63957,0.96433,1.31531,0.87039,0.02302,0,0.0012872,0.0012872,0.0012872
38,737.48,0.8473,1.11101,0.65878,0.01204,0.86558,0.75894,0.84252,0.86863,0.65599,0.76068,0.84252,0.86163,0.65373,0.9354,1.39482,0.71997,0.02187,0,0.0012674,0.0012674,0.0012674
39,756.514,0.91846,1.18218,0.78065,0.01312,0.99609,0.77804,0.85563,0.8486,0.6311,0.8353,0.77953,0.84604,0.63441,0.92917,1.41971,0.77525,0.02152,0,0.0012476,0.0012476,0.0012476
40,775.736,0.84881,1.19014,0.80539,0.01249,1.09866,0.80009,0.81935,0.86304,0.64445,0.82027,0.80315,0.86467,0.65375,0.9447,1.52705,0.81694,0.02189,0,0.0012278,0.0012278,0.0012278
41,794.832,0.92468,1.17275,0.79664,0.01338,0.91919,0.87136,0.83465,0.88706,0.64376,0.87136,0.83465,0.88734,0.65819,0.99971,1.52767,0.78094,0.02348,0,0.001208,0.001208,0.001208
42,813.82,0.89007,1.23467,0.75718,0.0122,0.89197,0.81722,0.84494,0.89376,0.6385,0.80961,0.83707,0.88377,0.66476,0.99448,1.48114,0.76441,0.02439,0,0.0011882,0.0011882,0.0011882
43,832.691,0.86815,1.1747,0.66852,0.01325,0.88868,0.85746,0.79528,0.87367,0.6527,0.82854,0.84252,0.87834,0.67459,0.97187,1.39373,0.68441,0.02275,0,0.0011684,0.0011684,0.0011684
44,853.261,0.85842,1.10454,0.69621,0.0117,0.89473,0.84831,0.85827,0.89367,0.68123,0.85657,0.86614,0.8933,0.67882,0.88252,1.30646,0.68221,0.01985,0,0.0011486,0.0011486,0.0011486
45,873.27,0.84624,1.2081,0.71595,0.01142,0.87407,0.92029,0.81821,0.88597,0.65657,0.90262,0.80285,0.87718,0.67131,0.94251,1.43751,0.66524,0.02251,0,0.0011288,0.0011288,0.0011288
