epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9682,1.05599,2.09262,3.61147,0.01511,3.94565,0.33411,0.07874,0.11901,0.05045,0.36752,0.08661,0.11765,0.0531,1.77324,3.90182,3.78365,0.04371,0,0.000654545,0.000654545,0.000654545
2,191.232,1.20944,1.91456,2.07361,0.01928,2.20325,0.33507,0.07874,0.12134,0.05187,0.36858,0.08661,0.1197,0.05456,1.7668,3.97076,3.77938,0.04346,0,0.00130813,0.00130813,0.00130813
3,251.979,1.70271,2.25349,2.03204,0.02779,2.45455,0.02016,0.0315,0.00291,0.00077,0,0,0,0,3.4415,227.626,4.78995,0.08829,0,0.00194852,0.00194852,0.00194852
4,370.619,1.80727,2.0741,1.95393,0.03046,2.3014,0.02091,0.0315,0.00283,0.00076,0,0,0,0,3.44615,227.452,4.79194,0.08824,0,0.0019406,0.0019406,0.0019406
5,430.502,1.70554,2.00732,1.77392,0.0271,2.17967,0.06005,0.06299,0.01848,0.00466,0.1086,0.00787,0.00386,0.00164,2.96557,20.2948,5.65853,0.06982,0,0.0019208,0.0019208,0.0019208
6,490.642,1.73494,1.85601,1.62924,0.02736,2.01543,0.48031,0.37795,0.40056,0.14426,0.5086,0.3937,0.41902,0.17468,2.30038,4.9137,2.29138,0.05579,0,0.001901,0.001901,0.001901
7,551.638,1.64475,1.90066,1.60281,0.02648,1.99136,0.4752,0.49197,0.45347,0.22802,0.54186,0.47244,0.47933,0.26323,1.86622,2.81122,2.13412,0.04423,0,0.0018812,0.0018812,0.0018812
8,612.549,1.60118,1.82312,1.56964,0.02578,1.94425,0.60733,0.62205,0.60479,0.34774,0.62772,0.62992,0.6191,0.40776,1.6279,2.16735,1.52799,0.04016,0,0.0018614,0.0018614,0.0018614
9,672.96,1.53237,1.76182,1.41186,0.02509,1.85957,0.60279,0.66142,0.65342,0.38467,0.58699,0.64567,0.64063,0.41231,1.46256,2.65057,1.73136,0.03395,0,0.0018416,0.0018416,0.0018416
10,733.692,1.46763,1.75121,1.2857,0.02374,1.87405,0.55717,0.54331,0.51953,0.30555,0.57423,0.55906,0.54561,0.30275,1.56741,2.62046,1.80162,0.03718,0,0.0018218,0.0018218,0.0018218
11,793.446,1.48887,1.73655,1.41586,0.02442,1.91265,0.80604,0.62992,0.75098,0.46481,0.8243,0.62803,0.74825,0.50397,1.35787,1.9465,1.24308,0.03243,0,0.001802,0.001802,0.001802
12,854.365,1.35898,1.64899,1.27259,0.02102,1.70121,0.75261,0.71654,0.79474,0.50138,0.78481,0.71654,0.80705,0.52628,1.27838,2.15512,1.14594,0.02962,0,0.0017822,0.0017822,0.0017822
