epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9166,0.83936,2.26956,5.59641,0.01151,3.19856,0.00319,0.90551,0.32219,0.19436,0.00331,0.93701,0.31766,0.21375,0.99,2.437,9.89174,0.02102,0,0.000654545,0.000654545,0.000654545
2,61.9634,1.04496,1.59754,4.21753,0.01509,1.83445,0.60299,0.44094,0.5346,0.32705,0.60299,0.44094,0.53737,0.37889,1.09361,1.99859,7.03116,0.02436,0,0.00130813,0.00130813,0.00130813
3,80.7741,1.10542,1.59277,3.00794,0.01676,1.79243,0.68802,0.55906,0.58757,0.3624,0.67741,0.55118,0.56594,0.3753,1.22655,3.80999,4.52229,0.02713,0,0.00194852,0.00194852,0.00194852
4,99.499,1.20013,1.59195,2.37788,0.01779,1.7888,0.69652,0.67717,0.73611,0.41805,0.67919,0.66142,0.69181,0.43636,1.3646,3.37067,2.71563,0.03154,0,0.0019406,0.0019406,0.0019406
5,118.333,1.19164,1.57508,1.89189,0.01686,1.62531,0.74279,0.72766,0.72187,0.43832,0.75053,0.7874,0.76184,0.50084,1.39028,2.0329,2.30621,0.03226,0,0.0019208,0.0019208,0.0019208
6,137.061,1.11284,1.46282,1.65936,0.01724,1.51152,0.74911,0.5748,0.66007,0.38764,0.77027,0.59055,0.68946,0.43589,1.4957,2.12757,1.88545,0.03502,0,0.001901,0.001901,0.001901
7,155.667,1.10985,1.4324,1.35174,0.01649,1.33132,0.73579,0.64567,0.74623,0.48653,0.70015,0.71706,0.76699,0.5275,1.29565,1.99768,1.52763,0.0302,0,0.0018812,0.0018812,0.0018812
8,174.204,1.17394,1.53684,1.32984,0.01721,1.4557,0.78242,0.71654,0.7818,0.46657,0.78242,0.71654,0.77319,0.53486,1.44782,1.77255,1.50679,0.03357,0,0.0018614,0.0018614,0.0018614
9,192.469,1.20772,1.56143,1.36726,0.01838,1.54845,0.76266,0.72441,0.77637,0.51409,0.77845,0.73228,0.79122,0.53969,1.22584,1.80509,1.26895,0.0285,0,0.0018416,0.0018416,0.0018416
10,210.717,1.1378,1.48639,1.264,0.01752,1.52585,0.77,0.75591,0.80214,0.5145,0.77,0.75591,0.80041,0.54201,1.15419,1.82915,1.2827,0.02679,0,0.0018218,0.0018218,0.0018218
11,229.091,1.0814,1.46428,1.26422,0.0162,1.49103,0.80084,0.77165,0.84371,0.55691,0.79895,0.77165,0.84972,0.60602,1.18743,1.65421,1.1348,0.02892,0,0.001802,0.001802,0.001802
12,247.469,1.0461,1.41085,1.0421,0.01537,1.22385,0.82933,0.72699,0.81125,0.55107,0.83831,0.73486,0.82274,0.57962,1.2058,1.76864,1.09474,0.02835,0,0.0017822,0.0017822,0.0017822
13,265.74,1.10473,1.3259,1.10552,0.01625,1.28621,0.73399,0.70866,0.76851,0.52968,0.73399,0.70866,0.77215,0.55086,1.21594,1.88438,1.23999,0.02821,0,0.0017624,0.0017624,0.0017624
14,283.891,1.06826,1.3743,1.11773,0.01574,1.29184,0.72125,0.76378,0.79199,0.54471,0.75548,0.7874,0.83599,0.57357,1.24433,1.62089,1.0549,0.02965,0,0.0017426,0.0017426,0.0017426
15,302.099,1.05219,1.37722,1.08151,0.01508,1.2255,0.80751,0.70866,0.81465,0.50268,0.81785,0.71654,0.81684,0.56425,1.42825,1.72712,1.10041,0.03448,0,0.0017228,0.0017228,0.0017228
16,320.53,1.0413,1.36972,1.00823,0.0161,1.36706,0.84533,0.7316,0.8305,0.54895,0.84533,0.7316,0.82916,0.59266,1.25202,1.70086,0.998,0.02923,0,0.001703,0.001703,0.001703
17,338.962,1.00886,1.27015,0.9982,0.01426,1.21959,0.77372,0.79528,0.84662,0.62254,0.77372,0.79528,0.85168,0.62025,1.04946,1.53849,0.93299,0.02466,0,0.0016832,0.0016832,0.0016832
18,357.219,1.03264,1.32888,0.97756,0.01399,1.20781,0.78879,0.8234,0.85982,0.59088,0.79924,0.85039,0.86921,0.62107,1.14911,1.54784,0.89553,0.02691,0,0.0016634,0.0016634,0.0016634
19,375.359,1.0176,1.30318,1.04938,0.01436,1.29659,0.86194,0.74803,0.85624,0.59791,0.8383,0.76378,0.85157,0.61753,1.14338,1.58506,0.96451,0.02812,0,0.0016436,0.0016436,0.0016436
20,393.662,1.03461,1.32229,0.97237,0.01446,1.14831,0.91059,0.74016,0.85909,0.63246,0.90408,0.74016,0.86236,0.64151,0.98831,1.40666,0.8601,0.02335,0,0.0016238,0.0016238,0.0016238
21,411.731,1.05435,1.34879,0.9778,0.01539,1.24825,0.84283,0.76008,0.82538,0.56857,0.86018,0.77507,0.8411,0.59618,1.11033,1.61144,0.97628,0.0267,0,0.001604,0.001604,0.001604
22,429.84,0.99074,1.28096,0.98644,0.01471,1.26491,0.84,0.74803,0.82194,0.55042,0.8455,0.75591,0.82679,0.57717,1.22507,1.76004,0.91767,0.02984,0,0.0015842,0.0015842,0.0015842
23,447.829,0.97771,1.22299,0.95735,0.014,1.208,0.85162,0.7874,0.86526,0.62315,0.84311,0.77953,0.85672,0.62067,1.05221,1.64197,0.84489,0.02401,0,0.0015644,0.0015644,0.0015644
24,465.857,0.99301,1.26587,0.88839,0.01502,1.00998,0.8391,0.80315,0.86576,0.58246,0.8391,0.80315,0.86343,0.63064,1.20695,1.59417,0.88615,0.02854,0,0.0015446,0.0015446,0.0015446
25,483.946,0.98143,1.24662,0.94402,0.01437,1.13092,0.88989,0.69998,0.83942,0.61055,0.90991,0.71573,0.86108,0.62102,0.98531,1.61676,0.90515,0.02324,0,0.0015248,0.0015248,0.0015248
26,502.062,0.94345,1.28039,0.87686,0.01385,1.14291,0.83588,0.75591,0.85115,0.61901,0.82897,0.77953,0.85559,0.63255,1.02915,1.65162,0.90233,0.02448,0,0.001505,0.001505,0.001505
27,520.23,0.91807,1.23943,0.90364,0.01379,1.11182,0.80764,0.82652,0.85089,0.61022,0.80764,0.82652,0.85089,0.62783,1.04814,1.49576,0.87107,0.02405,0,0.0014852,0.0014852,0.0014852
28,538.399,0.94464,1.2467,0.91706,0.01357,1.25078,0.83977,0.8254,0.8761,0.63434,0.847,0.82824,0.88119,0.63237,1.02814,1.66761,0.82431,0.02346,0,0.0014654,0.0014654,0.0014654
29,556.606,0.98744,1.26426,0.91306,0.01364,1.02753,0.82529,0.79528,0.85462,0.634,0.83485,0.80315,0.86349,0.64221,0.97656,1.46788,0.81385,0.02175,0,0.0014456,0.0014456,0.0014456
