epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,132.49,1.27435,1.89722,2.39776,0.01842,2.52013,0.72251,0.55118,0.59387,0.36557,0.70356,0.55118,0.59397,0.39171,1.47251,3.08032,2.1462,0.03607,0,0.000198462,0.000198462,0.0803523
2,264.531,1.21671,1.62123,1.46701,0.0179,2.05599,0.74099,0.63074,0.69203,0.44733,0.74238,0.63535,0.70337,0.47238,1.16736,1.93249,1.76902,0.02782,0,0.000394517,0.000394517,0.0605484
3,397.114,1.22631,1.63669,1.27721,0.01897,1.8873,0.67161,0.61194,0.64754,0.40851,0.65343,0.59384,0.64618,0.45064,1.14199,1.55553,1.63508,0.02537,0,0.000586612,0.000586612,0.0407405
4,529.374,1.19889,1.57571,1.26512,0.01824,1.71974,0.68204,0.70866,0.73157,0.44884,0.67446,0.70079,0.7236,0.48088,1.30209,1.95076,1.194,0.03136,0,0.000774747,0.000774747,0.0209286
5,661.736,1.21302,1.51164,1.19929,0.01818,1.7519,0.70788,0.706,0.75402,0.52417,0.73466,0.70866,0.76015,0.56208,1.11378,1.55869,1.06962,0.02691,0,0.000958922,0.000958922,0.00111277
6,794.148,1.1878,1.49638,1.19531,0.01814,1.74459,0.76502,0.7178,0.78286,0.51832,0.74233,0.72591,0.78515,0.5393,1.19334,1.83056,1.09204,0.02911,0,0.0009505,0.0009505,0.0009505
7,926.337,1.20152,1.50903,1.1998,0.01777,1.64689,0.78461,0.77444,0.81093,0.55713,0.77974,0.79528,0.82891,0.57603,1.19948,1.54611,1.03429,0.02849,0,0.0009406,0.0009406,0.0009406
8,1058.74,1.17318,1.4157,1.10072,0.01749,1.54142,0.7683,0.76378,0.79236,0.53569,0.78556,0.73228,0.7951,0.58203,1.1634,1.52769,1.28569,0.02808,0,0.0009307,0.0009307,0.0009307
9,1191.07,1.20581,1.5051,1.13766,0.01882,1.57369,0.72583,0.73228,0.74133,0.52031,0.72583,0.73228,0.74535,0.54524,1.05416,1.39916,1.19087,0.02488,0,0.0009208,0.0009208,0.0009208
10,1323.31,1.11212,1.4391,1.12926,0.0169,1.62999,0.80908,0.77953,0.84788,0.58962,0.80908,0.77953,0.8499,0.6006,1.00384,1.53982,0.91643,0.02385,0,0.0009109,0.0009109,0.0009109
11,1455.68,1.12425,1.40506,1.07835,0.01662,1.54064,0.7642,0.79528,0.83329,0.61411,0.8008,0.79137,0.84973,0.62804,0.99307,1.55208,0.94223,0.02444,0,0.000901,0.000901,0.000901
12,1588.3,1.12642,1.47155,1.01802,0.01709,1.54456,0.79534,0.73439,0.82228,0.57501,0.79737,0.77462,0.82865,0.59523,1.12112,1.47724,0.91764,0.02636,0,0.0008911,0.0008911,0.0008911
13,1720.79,1.16413,1.4526,1.12273,0.01743,1.61107,0.81191,0.69291,0.77171,0.50797,0.80938,0.7021,0.78222,0.55622,1.10943,1.4268,1.12491,0.02745,0,0.0008812,0.0008812,0.0008812
14,1853.04,1.1005,1.43028,1.02436,0.01629,1.54509,0.83835,0.77592,0.836,0.60214,0.82984,0.76805,0.82857,0.62125,1.00131,1.46506,0.81701,0.02443,0,0.0008713,0.0008713,0.0008713
15,1985.58,1.07508,1.3565,0.95949,0.01633,1.39678,0.8249,0.7874,0.83275,0.58992,0.8249,0.7874,0.82915,0.60587,1.04022,1.61029,0.86677,0.0251,0,0.0008614,0.0008614,0.0008614
16,2118.07,1.0583,1.31703,0.94017,0.01586,1.33061,0.83137,0.74803,0.81082,0.59026,0.83137,0.74803,0.80968,0.61055,0.99228,1.46051,0.88202,0.02432,0,0.0008515,0.0008515,0.0008515
17,2251.09,1.06503,1.32757,0.95328,0.01583,1.26129,0.88036,0.71654,0.80996,0.60014,0.87201,0.75108,0.82918,0.60608,0.98151,1.44185,0.84988,0.02367,0,0.0008416,0.0008416,0.0008416
18,2384.34,1.04658,1.34291,0.92203,0.01594,1.3927,0.82738,0.75481,0.84371,0.59938,0.81012,0.73906,0.82478,0.61783,0.95178,1.36248,0.88859,0.02263,0,0.0008317,0.0008317,0.0008317
19,2517.48,1.07767,1.32526,0.95776,0.01623,1.29653,0.87079,0.74016,0.83826,0.57068,0.88052,0.74803,0.83573,0.58845,1.04727,1.47603,0.89914,0.02527,0,0.0008218,0.0008218,0.0008218
20,2650.54,1.05171,1.35372,0.96093,0.01601,1.33575,0.86797,0.77165,0.84455,0.59351,0.8772,0.77953,0.84065,0.60654,1.02761,1.64497,0.87343,0.02466,0,0.0008119,0.0008119,0.0008119
21,2782.84,1.01826,1.29512,0.92105,0.01551,1.29267,0.85049,0.76148,0.84005,0.58428,0.86808,0.77723,0.85687,0.61013,0.97866,1.44548,0.8778,0.02262,0,0.000802,0.000802,0.000802
22,2914.84,1.03344,1.3077,0.86819,0.01524,1.16943,0.76745,0.81102,0.84167,0.61414,0.7826,0.82677,0.85037,0.62921,0.9954,1.31482,0.7387,0.0238,0,0.0007921,0.0007921,0.0007921
23,3046.94,1.01432,1.27826,0.8589,0.01488,1.28468,0.85758,0.79528,0.86456,0.60622,0.85616,0.79528,0.85867,0.60555,0.9643,1.62432,0.7652,0.02341,0,0.0007822,0.0007822,0.0007822
