epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,133.141,1.1615,1.85221,2.10991,0.01715,2.65033,0.63516,0.31496,0.43494,0.24194,0.3865,0.17323,0.14747,0.03719,1.52286,12.2403,2.60811,0.03629,0,0.000198462,0.000198462,0.0803523
2,264.553,1.17946,1.70986,1.59191,0.0172,2.0553,0.5528,0.51181,0.5186,0.30749,0.53709,0.51181,0.50479,0.30645,1.25328,2.33056,3.82983,0.02809,0,0.000394517,0.000394517,0.0605484
3,395.944,1.23634,1.65388,1.3928,0.01897,1.90615,0.72827,0.6378,0.71488,0.48075,0.74575,0.66142,0.74632,0.514,1.09601,1.74374,1.30104,0.0274,0,0.000586612,0.000586612,0.0407405
4,527.412,1.24985,1.58904,1.36542,0.01894,1.803,0.76762,0.70228,0.75938,0.50716,0.76802,0.70079,0.75559,0.51081,1.18244,2.00274,1.16397,0.02936,0,0.000774747,0.000774747,0.0209286
5,658.803,1.2456,1.5952,1.34588,0.01859,1.82727,0.76157,0.66929,0.73886,0.49598,0.78424,0.65829,0.72012,0.4904,1.06137,2.17801,1.26186,0.0262,0,0.000958922,0.000958922,0.00111277
6,789.989,1.3089,1.53969,1.34913,0.02013,1.6709,0.81877,0.6378,0.74141,0.4971,0.80508,0.65048,0.74212,0.51515,1.154,1.85597,1.36809,0.02652,0,0.0009505,0.0009505,0.0009505
7,921.291,1.19308,1.43267,1.20455,0.01794,1.62303,0.72469,0.66142,0.73498,0.47181,0.72469,0.66142,0.73602,0.5153,1.07459,1.47407,1.34312,0.02614,0,0.0009406,0.0009406,0.0009406
8,1052.45,1.18518,1.47007,1.15336,0.01801,1.60949,0.73483,0.72008,0.77055,0.49542,0.73483,0.72008,0.76976,0.53577,1.26656,1.61856,1.16238,0.03167,0,0.0009307,0.0009307,0.0009307
9,1183.67,1.12403,1.41233,1.15355,0.01655,1.64688,0.74909,0.77165,0.81227,0.59229,0.77729,0.7874,0.82602,0.60725,0.93639,1.47401,0.86024,0.02228,0,0.0009208,0.0009208,0.0009208
10,1314.86,1.10378,1.45732,1.15644,0.01649,1.54919,0.8241,0.69291,0.76792,0.51183,0.83346,0.70079,0.78819,0.54224,1.11274,1.62512,1.08613,0.02747,0,0.0009109,0.0009109,0.0009109
11,1446.02,1.09362,1.45094,1.13894,0.01591,1.64935,0.74055,0.74169,0.80232,0.57152,0.74842,0.74957,0.8068,0.58105,0.98847,1.39017,1.0527,0.02391,0,0.000901,0.000901,0.000901
12,1577.2,1.04027,1.38333,1.11962,0.0158,1.5145,0.77584,0.75591,0.82634,0.56034,0.77713,0.74803,0.82265,0.58858,1.02872,1.4897,0.97143,0.02405,0,0.0008911,0.0008911,0.0008911
13,1708.33,1.07029,1.43,1.10764,0.01573,1.53003,0.74558,0.7384,0.80265,0.53093,0.74558,0.7384,0.78661,0.56021,1.12329,1.64361,0.98575,0.02742,0,0.0008812,0.0008812,0.0008812
14,1839.47,1.09205,1.42631,1.09455,0.0162,1.50634,0.80238,0.67717,0.77724,0.51671,0.84117,0.70866,0.78751,0.54949,1.09939,1.78619,1.07085,0.02669,0,0.0008713,0.0008713,0.0008713
15,1970.57,1.0772,1.37204,1.05706,0.01635,1.35924,0.83021,0.77002,0.8383,0.6024,0.82564,0.79528,0.85848,0.61103,0.98685,1.58246,1.01405,0.02379,0,0.0008614,0.0008614,0.0008614
16,2101.94,1.09501,1.41579,1.09977,0.01638,1.54269,0.84298,0.71867,0.81136,0.58231,0.84298,0.71867,0.80004,0.58224,0.95564,1.46053,0.99295,0.02283,0,0.0008515,0.0008515,0.0008515
17,2233.16,1.02049,1.28833,0.98152,0.0157,1.34902,0.81379,0.79528,0.82978,0.58695,0.84345,0.80604,0.84183,0.60002,0.95714,1.47763,0.89244,0.02279,0,0.0008416,0.0008416,0.0008416
18,2364.5,1.01625,1.30758,0.96154,0.01475,1.4222,0.89008,0.77165,0.86853,0.61687,0.87921,0.80243,0.87778,0.62994,1.00493,1.40622,0.8249,0.02359,0,0.0008317,0.0008317,0.0008317
19,2495.91,1.05365,1.37638,0.97726,0.0157,1.38687,0.81443,0.7874,0.84691,0.59535,0.8346,0.80315,0.8566,0.6167,1.01292,1.52075,0.86837,0.02447,0,0.0008218,0.0008218,0.0008218
20,2627.01,1.00585,1.3083,0.91539,0.01489,1.32861,0.8187,0.79528,0.82033,0.5726,0.82681,0.80315,0.8291,0.59122,0.99131,1.62838,0.92713,0.02324,0,0.0008119,0.0008119,0.0008119
21,2758.28,1.01157,1.26955,0.9213,0.01503,1.2526,0.7212,0.76378,0.80192,0.59125,0.72938,0.77165,0.80913,0.58858,1.04354,1.83997,0.9061,0.02614,0,0.000802,0.000802,0.000802
22,2889.77,0.99575,1.32059,0.96325,0.0147,1.29798,0.84225,0.75675,0.84468,0.59632,0.83247,0.76378,0.83923,0.62546,0.97932,1.32732,0.84964,0.02326,0,0.0007921,0.0007921,0.0007921
23,3021.12,1.01781,1.30157,0.95039,0.01498,1.29234,0.7987,0.81229,0.83133,0.5896,0.7987,0.81229,0.83394,0.60814,1.0113,1.49868,0.96022,0.02463,0,0.0007822,0.0007822,0.0007822
24,3152.38,0.97884,1.24077,0.89876,0.01431,1.3086,0.83464,0.79486,0.85308,0.58418,0.84291,0.80273,0.8581,0.61671,1.02697,1.4192,0.81545,0.02508,0,0.0007723,0.0007723,0.0007723
25,3283.49,0.97423,1.24152,0.8697,0.01423,1.1681,0.79761,0.77165,0.80262,0.5585,0.80947,0.77953,0.82514,0.56042,1.00659,1.61632,0.80117,0.02428,0,0.0007624,0.0007624,0.0007624
26,3414.45,0.98486,1.29246,0.92853,0.01432,1.22182,0.80835,0.80315,0.86145,0.63828,0.81673,0.81102,0.87202,0.64393,0.88962,1.30685,0.72626,0.02092,0,0.0007525,0.0007525,0.0007525
27,3545.5,0.97684,1.25495,0.83727,0.01431,1.13918,0.83425,0.76378,0.8314,0.59276,0.82299,0.80315,0.84797,0.60357,1.00547,1.4406,0.93598,0.02396,0,0.0007426,0.0007426,0.0007426
