epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,161.096,1.27795,1.99158,2.42232,0.01804,2.64082,0.65812,0.24409,0.33848,0.17166,0.61566,0.22835,0.30791,0.15011,1.67066,5.83478,2.7332,0.04037,0,0.000198462,0.000198462,0.0803523
2,319.213,1.21426,1.73083,1.53857,0.01786,2.11955,0.68873,0.6063,0.68957,0.43578,0.66632,0.59843,0.6524,0.39009,1.23219,2.20603,1.90038,0.03079,0,0.000394517,0.000394517,0.0605484
3,477.362,1.22007,1.69712,1.39767,0.01886,2.01005,0.7424,0.55906,0.66169,0.4158,0.74114,0.5748,0.67089,0.45546,1.32077,1.82122,1.57566,0.03334,0,0.000586612,0.000586612,0.0407405
4,635.461,1.25506,1.76617,1.37818,0.0193,1.94556,0.7252,0.64567,0.73266,0.47635,0.70298,0.62205,0.69701,0.45503,1.16395,2.33649,1.20882,0.02894,0,0.000774747,0.000774747,0.0209286
5,793.353,1.2491,1.62103,1.34331,0.01841,1.83873,0.6954,0.71906,0.73539,0.48681,0.71002,0.73264,0.76815,0.51124,1.19346,1.62344,1.56217,0.02942,0,0.000958922,0.000958922,0.00111277
6,951.679,1.22776,1.54625,1.27521,0.01878,1.77179,0.7398,0.69403,0.77186,0.48992,0.75414,0.75591,0.80352,0.5411,1.21916,1.50098,1.1205,0.03028,0,0.0009505,0.0009505,0.0009505
7,1109.41,1.19689,1.46024,1.1985,0.01773,1.61176,0.74262,0.70866,0.77881,0.51903,0.73186,0.70922,0.76721,0.54204,1.17927,1.99729,1.07361,0.02951,0,0.0009406,0.0009406,0.0009406
8,1267.2,1.1669,1.47404,1.16044,0.01809,1.7246,0.76389,0.67717,0.77489,0.50046,0.76247,0.67717,0.76939,0.53808,1.23704,1.62294,0.9771,0.03074,0,0.0009307,0.0009307,0.0009307
9,1425.1,1.21886,1.56176,1.21679,0.01861,1.67048,0.68341,0.7819,0.7643,0.46998,0.69718,0.79765,0.7885,0.49959,1.23677,1.69756,1.20449,0.02992,0,0.0009208,0.0009208,0.0009208
10,1582.71,1.16446,1.4074,1.18067,0.0179,1.68291,0.81362,0.74803,0.82294,0.58003,0.82219,0.75591,0.83022,0.6008,1.04454,1.51985,0.89482,0.02577,0,0.0009109,0.0009109,0.0009109
11,1740.59,1.08799,1.42261,1.10909,0.01672,1.43334,0.87932,0.66929,0.80341,0.54194,0.84791,0.74803,0.83808,0.56971,1.06893,1.37816,0.98449,0.02559,0,0.000901,0.000901,0.000901
12,1898.01,1.11103,1.43236,1.11285,0.01728,1.58463,0.7285,0.71836,0.75509,0.50578,0.73649,0.72624,0.76742,0.52618,1.11614,1.51386,1.03509,0.02719,0,0.0008911,0.0008911,0.0008911
13,2055.58,1.05965,1.38973,1.11187,0.0162,1.52705,0.74636,0.67717,0.75768,0.51904,0.73554,0.70079,0.76279,0.52641,1.09915,1.41408,1.13205,0.02598,0,0.0008812,0.0008812,0.0008812
14,2213.22,1.06407,1.34806,1.04434,0.01542,1.51664,0.80041,0.70866,0.78305,0.55117,0.84485,0.70866,0.79669,0.57915,1.02972,1.47863,1.0361,0.02502,0,0.0008713,0.0008713,0.0008713
15,2370.77,1.04097,1.37039,1.00297,0.01585,1.40133,0.8155,0.76378,0.8505,0.60773,0.83444,0.77953,0.87256,0.61719,0.99683,1.51875,0.85471,0.02393,0,0.0008614,0.0008614,0.0008614
16,2528.53,1.07016,1.40688,1.01697,0.01599,1.49673,0.79317,0.70079,0.81104,0.57762,0.81017,0.70079,0.82327,0.57744,1.06881,1.63911,0.95427,0.0268,0,0.0008515,0.0008515,0.0008515
17,2686.21,1.05507,1.3925,0.99535,0.01609,1.45823,0.7972,0.68504,0.77197,0.54097,0.83954,0.65917,0.78323,0.56532,1.00899,1.47653,1.06399,0.02343,0,0.0008416,0.0008416,0.0008416
18,2844.15,1.08076,1.38301,1.00679,0.01655,1.35262,0.81432,0.75972,0.82288,0.55734,0.81432,0.75972,0.82188,0.58708,1.10732,1.63531,0.89169,0.02675,0,0.0008317,0.0008317,0.0008317
19,3002.21,1.07137,1.34531,1.04176,0.01636,1.39877,0.78778,0.72441,0.81108,0.57285,0.80491,0.74016,0.82758,0.59934,1.00682,1.43755,0.84296,0.0246,0,0.0008218,0.0008218,0.0008218
20,3160,1.00308,1.31418,0.95422,0.01466,1.33451,0.82193,0.76322,0.8252,0.58937,0.83026,0.77031,0.8406,0.61501,0.99083,1.35695,0.8842,0.02378,0,0.0008119,0.0008119,0.0008119
21,3317.83,1.06563,1.32315,0.96486,0.01582,1.28743,0.78334,0.79716,0.82595,0.55624,0.79502,0.79406,0.83576,0.58479,1.08439,1.48267,0.9177,0.02659,0,0.000802,0.000802,0.000802
22,3475.7,1.00134,1.24384,0.93129,0.01526,1.31275,0.88665,0.74803,0.85702,0.62558,0.89598,0.75591,0.8649,0.63079,0.9297,1.43685,0.79039,0.02235,0,0.0007921,0.0007921,0.0007921
23,3633.79,0.98401,1.31257,0.92267,0.01415,1.24683,0.79512,0.79452,0.84429,0.62636,0.84478,0.77136,0.86133,0.64435,0.94951,1.4236,0.82604,0.02256,0,0.0007822,0.0007822,0.0007822
24,3791.75,0.98671,1.29089,0.91582,0.01454,1.31768,0.80867,0.7874,0.82514,0.59031,0.80011,0.77953,0.8177,0.58323,1.02647,1.69738,1.00587,0.02457,0,0.0007723,0.0007723,0.0007723
25,3949.93,1.00028,1.31373,0.97373,0.01481,1.35703,0.75658,0.70079,0.77308,0.58276,0.77358,0.71654,0.79025,0.59328,0.9125,1.40057,0.91376,0.02122,0,0.0007624,0.0007624,0.0007624
26,4107.83,0.93759,1.24582,0.91791,0.01392,1.24504,0.84928,0.77953,0.8521,0.61858,0.8581,0.7874,0.86121,0.6234,0.91818,1.41984,0.7992,0.02281,0,0.0007525,0.0007525,0.0007525
27,4265.67,0.94626,1.24302,0.89115,0.01387,1.24295,0.90437,0.76378,0.87228,0.63444,0.90485,0.7874,0.88606,0.66083,0.93328,1.27843,0.74718,0.02151,0,0.0007426,0.0007426,0.0007426
28,4423.71,0.96396,1.20976,0.87312,0.01386,1.16006,0.86567,0.75591,0.83343,0.58292,0.80974,0.81102,0.84324,0.60318,1.00892,1.48521,0.83888,0.02397,0,0.0007327,0.0007327,0.0007327
29,4581.28,0.99595,1.31006,0.93623,0.01453,1.24832,0.85918,0.74803,0.84744,0.60569,0.87797,0.76378,0.86104,0.63561,0.98901,1.38722,0.81763,0.02341,0,0.0007228,0.0007228,0.0007228
