epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,169.18,1.24054,1.88621,1.8657,0.01757,2.44574,0.72754,0.18924,0.33551,0.15674,0.47203,0.09449,0.09161,0.0338,2.23809,21.1459,2.70501,0.05833,0,0.000198462,0.000198462,0.0803523
2,337.326,1.18393,1.65598,1.27478,0.01758,2.04089,0.77712,0.67717,0.77699,0.5106,0.77712,0.67717,0.77429,0.49918,1.18449,2.05039,1.35912,0.0285,0,0.000394517,0.000394517,0.0605484
3,505.137,1.14841,1.61783,1.19701,0.01744,1.9441,0.73694,0.69291,0.75474,0.50257,0.72856,0.68504,0.74903,0.53087,1.18259,1.81886,1.07274,0.0288,0,0.000586612,0.000586612,0.0407405
4,672.772,1.16696,1.66182,1.22378,0.01748,1.92594,0.77572,0.66142,0.7713,0.51855,0.76868,0.68033,0.76231,0.53588,1.0711,2.20245,1.05315,0.02567,0,0.000774747,0.000774747,0.0209286
5,840.553,1.18104,1.6087,1.17538,0.01744,1.82257,0.71807,0.78217,0.83292,0.53563,0.9108,0.69291,0.85919,0.57041,1.22712,1.58447,0.98096,0.02989,0,0.000958922,0.000958922,0.00111277
6,1007.96,1.1614,1.52714,1.13055,0.01774,1.70714,0.82346,0.70866,0.79413,0.51978,0.81533,0.70079,0.78933,0.56071,1.20504,1.51278,1.12846,0.02946,0,0.0009505,0.0009505,0.0009505
7,1175.37,1.16296,1.46724,1.0702,0.01708,1.61892,0.78583,0.75118,0.82788,0.57506,0.75618,0.79528,0.8429,0.58969,1.10366,1.63724,0.88231,0.02672,0,0.0009406,0.0009406,0.0009406
8,1342.82,1.10961,1.43346,0.99916,0.01725,1.68487,0.86933,0.71654,0.82712,0.53694,0.86356,0.70866,0.82314,0.56346,1.16809,1.70933,0.9981,0.02882,0,0.0009307,0.0009307,0.0009307
9,1510.04,1.15641,1.4985,1.0542,0.0175,1.62252,0.85391,0.72441,0.82014,0.58141,0.85391,0.72441,0.81699,0.59421,1.01528,1.51482,0.90831,0.02396,0,0.0009208,0.0009208,0.0009208
10,1677.25,1.07436,1.34353,0.99539,0.01623,1.52594,0.89066,0.76973,0.86481,0.61583,0.89795,0.80315,0.87266,0.64355,1.03285,1.4447,0.76061,0.02524,0,0.0009109,0.0009109,0.0009109
11,1844.72,1.05611,1.39208,0.92294,0.01621,1.39699,0.84414,0.76765,0.87485,0.60512,0.86998,0.7903,0.88752,0.61973,1.01143,1.40529,0.77348,0.02416,0,0.000901,0.000901,0.000901
12,2011.99,1.09527,1.37849,0.97616,0.01673,1.57483,0.7873,0.8161,0.83337,0.59161,0.7949,0.82397,0.85578,0.6,1.03609,1.38702,0.80507,0.02544,0,0.0008911,0.0008911,0.0008911
13,2179.26,1.05184,1.37495,0.97083,0.0156,1.52938,0.86015,0.77486,0.83964,0.57051,0.84013,0.82755,0.85784,0.59068,1.06675,1.53296,0.7591,0.02514,0,0.0008812,0.0008812,0.0008812
14,2346.58,1.0487,1.3374,0.9598,0.01511,1.39776,0.88018,0.63629,0.79917,0.55293,0.73998,0.74803,0.80127,0.56399,0.99448,1.54423,1.10684,0.0238,0,0.0008713,0.0008713,0.0008713
15,2513.72,1.067,1.42919,0.9447,0.01642,1.60287,0.84851,0.7874,0.8641,0.61986,0.8658,0.80315,0.87574,0.6456,0.94155,1.47836,0.82502,0.02226,0,0.0008614,0.0008614,0.0008614
16,2680.94,1.0481,1.34466,0.91151,0.01561,1.46946,0.91041,0.68504,0.82854,0.563,0.90876,0.70582,0.84291,0.59061,1.1039,1.60247,1.01032,0.02586,0,0.0008515,0.0008515,0.0008515
17,2848.36,1.01739,1.32374,0.86543,0.01531,1.34575,0.81885,0.78307,0.84575,0.58966,0.82709,0.79095,0.8655,0.62423,1.06138,1.37188,0.79706,0.02476,0,0.0008416,0.0008416,0.0008416
18,3015.66,1.04319,1.32543,0.8954,0.01582,1.34994,0.83074,0.77293,0.86005,0.61225,0.74972,0.86614,0.87511,0.61271,0.99256,1.58277,0.75616,0.0239,0,0.0008317,0.0008317,0.0008317
19,3182.86,1.06008,1.3155,0.93576,0.01608,1.3984,0.84471,0.81381,0.8897,0.62928,0.87819,0.7874,0.90299,0.64952,1.0147,1.34608,0.7198,0.02522,0,0.0008218,0.0008218,0.0008218
20,3350.24,0.98513,1.30697,0.88575,0.01429,1.2677,0.88344,0.77953,0.86576,0.62005,0.89237,0.7874,0.87577,0.63164,1.00974,1.50114,0.77958,0.0237,0,0.0008119,0.0008119,0.0008119
21,3517.4,1.0603,1.30115,0.88477,0.01563,1.26601,0.83315,0.74016,0.82207,0.57074,0.83354,0.70973,0.82608,0.58431,1.09159,1.53556,0.88883,0.02673,0,0.000802,0.000802,0.000802
22,3684.63,0.98051,1.24232,0.81619,0.0148,1.25881,0.80847,0.7977,0.86261,0.62287,0.81674,0.79528,0.86036,0.62552,0.96303,1.37509,0.75633,0.02249,0,0.0007921,0.0007921,0.0007921
23,3852.02,1.01411,1.31939,0.90579,0.01454,1.3434,0.83722,0.68846,0.805,0.57739,0.77241,0.7874,0.82646,0.58955,1.03364,1.47864,0.92048,0.02492,0,0.0007822,0.0007822,0.0007822
24,4019.27,0.98958,1.28416,0.88798,0.01445,1.31393,0.83229,0.75591,0.83436,0.60904,0.83229,0.75591,0.83149,0.62985,0.9081,1.3489,0.89016,0.0214,0,0.0007723,0.0007723,0.0007723
25,4186.67,1.00814,1.30472,0.91061,0.01499,1.31873,0.82363,0.76378,0.83622,0.59381,0.83212,0.77165,0.84229,0.6173,1.0501,1.46054,0.86067,0.02497,0,0.0007624,0.0007624,0.0007624
