epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6954,1.17094,1.83178,2.18797,0.01684,2.42748,0.70448,0.43174,0.46823,0.27183,0.52791,0.30709,0.25854,0.11052,1.41616,7.47736,2.39787,0.03344,0,0.000198462,0.000198462,0.0803523
2,169.557,1.15278,1.64371,1.50853,0.01726,2.07032,0.58133,0.34989,0.41518,0.2834,0.58133,0.34989,0.41659,0.30437,1.07096,1.92107,2.3456,0.02474,0,0.000394517,0.000394517,0.0605484
3,256.285,1.20102,1.63533,1.42326,0.01832,1.93821,0.44997,0.46457,0.41306,0.20394,0.40944,0.41732,0.37271,0.17502,1.4987,3.25207,3.89486,0.0373,0,0.000586612,0.000586612,0.0407405
4,342.781,1.2179,1.61185,1.34528,0.01887,1.91714,0.8233,0.66142,0.75836,0.52469,0.84264,0.66929,0.7655,0.53502,1.12469,2.32601,1.14749,0.02746,0,0.000774747,0.000774747,0.0209286
5,429.178,1.22013,1.55813,1.25445,0.01891,1.78428,0.78686,0.69765,0.78649,0.53455,0.78686,0.69765,0.78759,0.55269,1.1122,1.47028,1.06661,0.02583,0,0.000958922,0.000958922,0.00111277
6,515.572,1.17819,1.53878,1.22666,0.01775,1.78594,0.66425,0.62313,0.70142,0.44163,0.66425,0.62313,0.70453,0.48127,1.31453,1.47452,1.17645,0.03562,0,0.0009505,0.0009505,0.0009505
7,601.8,1.17051,1.54641,1.17057,0.0178,1.60873,0.77746,0.71524,0.73971,0.48512,0.77168,0.71857,0.72801,0.50193,1.14001,1.72848,1.24464,0.0273,0,0.0009406,0.0009406,0.0009406
8,688.228,1.13356,1.49106,1.11097,0.01752,1.62699,0.87842,0.74016,0.84258,0.57676,0.87736,0.77165,0.87561,0.60625,0.98816,1.43786,0.96527,0.02275,0,0.0009307,0.0009307,0.0009307
9,774.656,1.09099,1.46709,1.09916,0.01682,1.69119,0.80203,0.77165,0.82177,0.54843,0.76919,0.78722,0.8253,0.58717,1.13515,1.58461,0.85617,0.02812,0,0.0009208,0.0009208,0.0009208
10,860.886,1.08661,1.4306,1.09041,0.01613,1.50038,0.71132,0.79528,0.80804,0.55808,0.71931,0.80315,0.81867,0.57342,1.07348,1.56853,0.9632,0.02609,0,0.0009109,0.0009109,0.0009109
