epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4434,1.32409,1.97388,2.39104,0.01537,2.34405,0.08,0.0458,0.0077,0.0013,0,0,0,0,2.88494,45.791,5.00454,0.05682,0,0.000193548,0.000193548,0.0808387
2,78.4379,1.2363,1.66331,1.48619,0.01413,1.50618,0.72303,0.43843,0.52394,0.30923,0.57336,0.34882,0.34438,0.16187,1.52579,14.5852,2.04261,0.0291,0,0.000389652,0.000389652,0.0610348
3,118.136,1.15313,1.50171,1.19621,0.01281,1.32422,0.82403,0.72519,0.82133,0.54633,0.82123,0.72519,0.8042,0.56272,1.22345,2.26189,1.21348,0.02226,0,0.000581796,0.000581796,0.041227
4,156.617,1.17402,1.47634,1.16131,0.01292,1.211,0.68604,0.77863,0.80988,0.56522,0.71386,0.80916,0.83953,0.61579,1.15949,1.46749,1.33928,0.01999,0,0.00076998,0.00076998,0.0214151
5,195.747,1.13543,1.35466,1.01858,0.01345,1.06108,0.75488,0.80153,0.80404,0.55953,0.74733,0.79389,0.80513,0.58274,1.17174,1.46869,0.95507,0.02273,0,0.000954204,0.000954204,0.00159937
6,234.516,1.19074,1.3878,1.0446,0.01339,1.0475,0.83041,0.74809,0.83404,0.54245,0.82193,0.74046,0.82668,0.61231,1.28591,1.42486,1.02449,0.02375,0,0.0009505,0.0009505,0.0009505
7,273.252,1.16721,1.39135,1.03539,0.01316,1.02263,0.74274,0.57301,0.71914,0.48384,0.60587,0.70992,0.72641,0.52799,1.27652,1.65166,1.36588,0.02361,0,0.0009406,0.0009406,0.0009406
8,312.008,1.16373,1.42121,0.96266,0.0141,0.94449,0.85504,0.81047,0.89672,0.64367,0.87406,0.84766,0.91991,0.68284,1.08375,1.48313,0.74332,0.01955,0,0.0009307,0.0009307,0.0009307
9,350.825,1.11728,1.36803,0.94029,0.01295,1.01508,0.83686,0.76336,0.85818,0.59748,0.89046,0.74467,0.87215,0.61918,1.11674,1.6879,0.88836,0.02036,0,0.0009208,0.0009208,0.0009208
10,389.63,1.11059,1.25303,0.90383,0.01312,0.9479,0.91059,0.80916,0.90278,0.65442,0.88246,0.80237,0.90734,0.69479,1.01948,1.34557,0.82588,0.01729,0,0.0009109,0.0009109,0.0009109
