epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9535,1.3453,2.36259,3.33369,0.01572,2.59079,0.18694,0.0458,0.04247,0.01361,0.00172,0.28244,0.0011,0.0002,2.1647,33.8522,4.13486,0.04212,0,0.000193548,0.000193548,0.0808387
2,75.5429,1.2792,1.71572,1.54548,0.01465,1.56503,0.72598,0.49618,0.57915,0.39063,0.73905,0.50382,0.59669,0.37293,1.24072,3.14441,1.69685,0.0219,0,0.000389652,0.000389652,0.0610348
3,113.078,1.21842,1.54646,1.32225,0.01387,1.41919,0.65708,0.58779,0.6087,0.37291,0.64002,0.57252,0.59539,0.37566,1.42618,2.35395,1.6638,0.02669,0,0.000581796,0.000581796,0.041227
4,151.052,1.23619,1.49171,1.14951,0.01329,1.19179,0.77613,0.80916,0.85448,0.55507,0.86165,0.76069,0.85995,0.56664,1.19645,2.17048,1.00804,0.02054,0,0.00076998,0.00076998,0.0214151
5,188.738,1.21523,1.44088,1.07515,0.01414,1.14184,0.86263,0.86285,0.90256,0.61768,0.91814,0.85616,0.92924,0.65305,1.175,1.54464,0.68249,0.02009,0,0.000954204,0.000954204,0.00159937
6,226.628,1.18439,1.43145,1.00806,0.01321,1.12353,0.8348,0.78626,0.83688,0.54512,0.84784,0.77863,0.85422,0.60262,1.3269,1.94707,0.9351,0.02326,0,0.0009505,0.0009505,0.0009505
7,264.195,1.23744,1.43061,1.00268,0.014,1.04774,0.91596,0.832,0.89676,0.56219,0.94115,0.85449,0.9348,0.66009,1.25531,1.49124,0.80532,0.02293,0,0.0009406,0.0009406,0.0009406
8,301.815,1.22378,1.46615,0.88139,0.01465,0.9864,0.84877,0.78626,0.85347,0.56368,0.89415,0.83827,0.91908,0.67602,1.21711,1.65766,0.88312,0.02222,0,0.0009307,0.0009307,0.0009307
9,339.602,1.22828,1.39542,0.89415,0.01452,1.04792,0.76881,0.8626,0.89308,0.63351,0.81305,0.8855,0.92651,0.67064,1.04905,1.31279,0.72457,0.01863,0,0.0009208,0.0009208,0.0009208
10,377.49,1.13176,1.27891,0.85032,0.01315,0.91002,0.86382,0.9313,0.93304,0.63512,0.86382,0.9313,0.93828,0.68862,1.12387,1.44456,0.69242,0.02077,0,0.0009109,0.0009109,0.0009109
