epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,103.471,1.14025,1.76822,2.57528,0.01668,2.39442,0.54195,0.13979,0.18327,0.09583,0.54195,0.13979,0.17018,0.07748,1.63038,5.15733,3.437,0.03946,0,0.000196364,0.000196364,0.08056
2,206.627,1.04571,1.55407,1.5081,0.01471,1.69691,0.63617,0.55073,0.60215,0.37532,0.63617,0.55073,0.59427,0.40275,1.32392,3.28163,1.72869,0.03124,0,0.00039244,0.00039244,0.0607561
3,311.335,1.11995,1.4956,1.38204,0.01613,1.57062,0.73171,0.73014,0.75674,0.49449,0.7225,0.71753,0.75293,0.50933,1.20892,1.77459,1.45358,0.02785,0,0.000584556,0.000584556,0.0409482
4,416.051,1.11643,1.49548,1.29784,0.01662,1.56268,0.48895,0.45202,0.4809,0.26915,0.58035,0.51969,0.54814,0.32827,1.53929,2.40876,2.04189,0.03831,0,0.000772712,0.000772712,0.0211363
5,520.649,1.12001,1.50171,1.32211,0.01663,1.506,0.68861,0.6791,0.72587,0.46733,0.73281,0.70866,0.78702,0.51633,1.3193,2.07035,1.21266,0.03247,0,0.000956908,0.000956908,0.00132054
6,625.162,1.13531,1.46327,1.28419,0.0173,1.45298,0.6543,0.70866,0.68738,0.44214,0.76197,0.6378,0.70145,0.45871,1.30134,2.46527,1.32451,0.03029,0,0.0009505,0.0009505,0.0009505
7,729.738,1.08035,1.44665,1.21478,0.01651,1.45908,0.69364,0.77953,0.76914,0.53968,0.70766,0.79528,0.78533,0.55429,1.03685,1.64045,1.0991,0.02431,0,0.0009406,0.0009406,0.0009406
8,834.429,1.11343,1.41886,1.18612,0.01623,1.48595,0.69936,0.69607,0.74344,0.49074,0.66761,0.75912,0.75882,0.51673,1.23657,1.9078,1.08046,0.03088,0,0.0009307,0.0009307,0.0009307
9,939.061,1.09592,1.41643,1.15258,0.01667,1.37823,0.75994,0.74779,0.80039,0.55324,0.75994,0.74779,0.79565,0.56951,1.14104,1.58455,0.98916,0.02707,0,0.0009208,0.0009208,0.0009208
10,1043.74,1.07841,1.37742,1.04092,0.01628,1.22499,0.85842,0.72441,0.8249,0.55002,0.79754,0.75591,0.81169,0.56655,1.17591,1.70122,1.06093,0.02755,0,0.0009109,0.0009109,0.0009109
11,1148.35,1.05361,1.37375,1.11744,0.01535,1.30593,0.76002,0.72441,0.81462,0.56983,0.77629,0.76504,0.83728,0.59296,1.07463,1.50077,0.9801,0.02443,0,0.000901,0.000901,0.000901
12,1253.06,1.09463,1.37812,1.0261,0.01614,1.28423,0.79563,0.76637,0.83476,0.58707,0.81995,0.78892,0.86201,0.59296,1.07158,1.69187,0.87268,0.02396,0,0.0008911,0.0008911,0.0008911
13,1357.73,1.04875,1.30661,1.00645,0.01526,1.26666,0.7134,0.76378,0.81292,0.58059,0.72442,0.78657,0.81768,0.59562,1.04596,1.76452,0.94691,0.02341,0,0.0008812,0.0008812,0.0008812
14,1462.23,1.02014,1.2704,0.9981,0.01492,1.14865,0.74211,0.77953,0.80741,0.55975,0.7496,0.7874,0.8289,0.58109,1.07316,1.57153,0.974,0.0253,0,0.0008713,0.0008713,0.0008713
15,1566.72,1.01028,1.28586,0.95229,0.0149,1.2449,0.77343,0.62992,0.73043,0.43236,0.75277,0.61417,0.70806,0.43038,1.26625,1.99662,1.28229,0.02975,0,0.0008614,0.0008614,0.0008614
16,1671.19,1.03341,1.27773,0.97841,0.01506,1.23405,0.7881,0.73228,0.81509,0.56677,0.7881,0.73228,0.82173,0.5804,1.1301,1.78304,0.90589,0.02588,0,0.0008515,0.0008515,0.0008515
17,1775.62,0.97999,1.23684,0.93632,0.01463,1.20023,0.84404,0.76378,0.84191,0.5916,0.82663,0.74803,0.83561,0.59707,1.10197,1.66758,0.88736,0.02499,0,0.0008416,0.0008416,0.0008416
18,1880.16,0.97046,1.25613,0.87202,0.01399,1.14754,0.84942,0.81102,0.84674,0.61226,0.85844,0.8189,0.86125,0.61611,1.0455,1.47719,0.87725,0.02374,0,0.0008317,0.0008317,0.0008317
19,1984.67,0.96366,1.26396,0.90997,0.01419,1.18041,0.82018,0.82603,0.84742,0.60059,0.8279,0.83334,0.84811,0.62121,1.10822,1.87043,0.86802,0.02539,0,0.0008218,0.0008218,0.0008218
20,2089.13,0.9516,1.20653,0.89417,0.01369,1.11904,0.80684,0.77165,0.80935,0.5802,0.81804,0.77953,0.82307,0.57973,1.08864,1.93225,0.90962,0.02485,0,0.0008119,0.0008119,0.0008119
21,2193.65,0.98096,1.30968,0.91196,0.01408,1.12924,0.87095,0.74397,0.83623,0.58115,0.87095,0.74397,0.83768,0.61246,1.10379,1.63868,0.93668,0.02677,0,0.000802,0.000802,0.000802
22,2298.24,0.97922,1.26361,0.90857,0.01366,1.0812,0.82599,0.8189,0.84808,0.63274,0.8101,0.80315,0.8331,0.6255,0.94009,1.60217,0.81515,0.02202,0,0.0007921,0.0007921,0.0007921
23,2402.75,0.94568,1.22576,0.83682,0.01341,1.0388,0.86139,0.74016,0.82376,0.60865,0.87055,0.74803,0.83278,0.60561,1.01012,1.55019,0.85659,0.0226,0,0.0007822,0.0007822,0.0007822
24,2507.36,0.92161,1.22073,0.81988,0.01291,1.00029,0.78803,0.84252,0.82089,0.59127,0.7954,0.85039,0.83895,0.61383,1.03016,1.66868,0.85703,0.02269,0,0.0007723,0.0007723,0.0007723
25,2611.85,0.93497,1.19032,0.84316,0.01356,1.04608,0.85244,0.72781,0.83798,0.61869,0.79473,0.7874,0.84967,0.62126,1.02844,1.62495,0.84187,0.02361,0,0.0007624,0.0007624,0.0007624
26,2716.3,0.91102,1.19378,0.82147,0.01299,0.99981,0.81975,0.73228,0.7752,0.57147,0.84145,0.75223,0.80302,0.58082,1.08121,1.78668,0.89917,0.02558,0,0.0007525,0.0007525,0.0007525
27,2820.65,0.89167,1.1876,0.8633,0.01247,0.98562,0.83488,0.74803,0.81478,0.57114,0.85246,0.76378,0.84498,0.59501,1.08128,1.44919,0.90907,0.02539,0,0.0007426,0.0007426,0.0007426
28,2925.11,0.89227,1.18548,0.83291,0.01252,0.99617,0.87832,0.68209,0.78632,0.59263,0.87832,0.68209,0.79144,0.59658,0.93212,1.49394,0.92765,0.0216,0,0.0007327,0.0007327,0.0007327
29,3029.6,0.85428,1.13733,0.73917,0.01213,0.9688,0.86248,0.79014,0.88588,0.66493,0.85392,0.7825,0.88772,0.67481,0.95654,1.51526,0.69441,0.02153,0,0.0007228,0.0007228,0.0007228
30,3134.09,0.90311,1.20004,0.78956,0.01303,1.01606,0.77121,0.66142,0.76321,0.57374,0.7859,0.66142,0.77357,0.5794,0.93928,1.70187,1.09398,0.02099,0,0.0007129,0.0007129,0.0007129
31,3238.58,0.87874,1.13732,0.7743,0.0126,1.00457,0.79112,0.77953,0.82276,0.62484,0.79911,0.7874,0.83751,0.63479,0.91128,1.46937,0.93299,0.02081,0,0.000703,0.000703,0.000703
32,3342.93,0.84867,1.13627,0.76821,0.0121,0.93048,0.80444,0.77953,0.83371,0.60646,0.7913,0.80612,0.83874,0.62414,1.01495,1.52258,0.90841,0.02374,0,0.0006931,0.0006931,0.0006931
33,3447.31,0.87655,1.10998,0.74972,0.01238,0.89871,0.84438,0.76906,0.83465,0.65228,0.86758,0.77384,0.8548,0.65522,0.90985,1.53404,0.79944,0.02094,0,0.0006832,0.0006832,0.0006832
34,3551.65,0.84638,1.12209,0.7446,0.01223,0.89141,0.82667,0.78862,0.87527,0.67105,0.81852,0.78132,0.86993,0.66119,0.87042,1.34869,0.71902,0.01956,0,0.0006733,0.0006733,0.0006733
35,3656.01,0.87326,1.10537,0.74655,0.01272,0.92078,0.83093,0.84252,0.87166,0.64622,0.83869,0.85039,0.88478,0.64236,0.99723,1.57885,0.735,0.02188,0,0.0006634,0.0006634,0.0006634
36,3760.42,0.83868,1.13825,0.76446,0.01112,0.94104,0.85196,0.83465,0.86106,0.66262,0.86,0.84252,0.88683,0.66471,0.93475,1.46191,0.72644,0.02077,0,0.0006535,0.0006535,0.0006535
37,3864.75,0.84948,1.12541,0.75392,0.01189,0.9641,0.84566,0.7766,0.84147,0.64323,0.84566,0.7766,0.84312,0.64162,0.91057,1.42713,0.86212,0.02047,0,0.0006436,0.0006436,0.0006436
38,3969.3,0.84739,1.10184,0.7157,0.01131,0.87009,0.91717,0.78472,0.87686,0.66827,0.91717,0.78472,0.88511,0.66833,0.9116,1.55035,0.7441,0.02051,0,0.0006337,0.0006337,0.0006337
39,4073.86,0.82043,1.1224,0.73824,0.01153,0.85677,0.85791,0.85578,0.89332,0.6939,0.88771,0.85039,0.90033,0.68795,0.89574,1.46554,0.64174,0.02044,0,0.0006238,0.0006238,0.0006238
