epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,146.88,2.81685,4.25498,4.04212,0.04883,4.11407,0.00272,0.49606,0.01527,0.00424,0.00173,0.31496,0.01045,0.00272,2.54031,5.90333,3.96818,0.06,0,0.000198182,0.000198182,0.08038
2,287.738,2.29043,3.30903,3.13941,0.03749,3.36822,0.04418,0.00787,0.00811,0.00186,0.04517,0.00787,0.00667,0.002,2.4741,4.72086,4.18249,0.06006,0,0.00039424,0.00039424,0.0605761
3,428.365,2.15286,2.79709,2.65183,0.03478,2.96295,0.39039,0.16535,0.20591,0.06551,0.40412,0.16535,0.19061,0.08086,2.15673,3.57603,2.8719,0.0508,0,0.000586338,0.000586338,0.0407682
4,569.332,2.02119,2.38057,2.30319,0.03343,2.65402,0.24747,0.3937,0.22624,0.0737,0.25737,0.40945,0.24201,0.10688,2.11327,3.16585,2.49915,0.04938,0,0.000774476,0.000774476,0.0209563
5,710.083,1.91917,2.25542,2.19822,0.03154,2.36089,0.48173,0.46111,0.46191,0.21517,0.51082,0.51801,0.50104,0.27269,1.78537,2.28576,1.92473,0.0413,0,0.000958654,0.000958654,0.00114047
6,850.96,1.86573,2.10446,2.02277,0.02978,2.17272,0.50381,0.49606,0.4542,0.18582,0.54638,0.51216,0.49928,0.25029,1.94929,2.43488,1.94312,0.04738,0,0.0009505,0.0009505,0.0009505
7,991.974,1.85434,1.96243,1.9929,0.02965,2.09497,0.50459,0.49606,0.50129,0.15899,0.52345,0.48031,0.52052,0.32836,2.21679,2.28426,1.96444,0.05697,0,0.0009406,0.0009406,0.0009406
8,1132.71,1.78544,1.9014,1.89981,0.02779,1.97567,0.53371,0.52756,0.51046,0.26648,0.47633,0.59055,0.52255,0.32951,1.61811,2.1661,1.88238,0.03727,0,0.0009307,0.0009307,0.0009307
9,1273.6,1.74012,1.87427,1.82631,0.02808,2.03562,0.56825,0.51969,0.58403,0.33999,0.57097,0.56587,0.60183,0.4099,1.56134,1.91042,1.47864,0.03594,0,0.0009208,0.0009208,0.0009208
10,1414.6,1.65516,1.78085,1.67131,0.02639,1.82887,0.58441,0.58268,0.59992,0.28082,0.64472,0.6063,0.62607,0.34873,1.84012,2.15932,1.67216,0.04359,0,0.0009109,0.0009109,0.0009109
11,1555.24,1.61969,1.71852,1.57954,0.0253,1.78845,0.52398,0.53543,0.52125,0.30245,0.54322,0.59055,0.53483,0.34753,1.65372,2.04482,1.65278,0.03947,0,0.000901,0.000901,0.000901
12,1695.86,1.62605,1.71972,1.55901,0.02652,1.77322,0.63042,0.59843,0.6376,0.35841,0.63871,0.6063,0.66121,0.41924,1.54767,1.97846,1.4496,0.03568,0,0.0008911,0.0008911,0.0008911
13,1836.79,1.64636,1.64147,1.52945,0.02552,1.67115,0.57846,0.64567,0.65358,0.33967,0.62501,0.62205,0.65244,0.41875,1.79719,1.93337,1.35177,0.04258,0,0.0008812,0.0008812,0.0008812
14,1977.45,1.60268,1.7048,1.5261,0.02529,1.72868,0.593,0.56693,0.62978,0.34562,0.63509,0.61417,0.67969,0.41789,1.5105,1.85483,1.46286,0.03561,0,0.0008713,0.0008713,0.0008713
15,2118.13,1.57025,1.65383,1.47653,0.02434,1.68512,0.75613,0.59843,0.71401,0.43905,0.75613,0.59843,0.71373,0.48059,1.47574,1.9461,1.20999,0.03397,0,0.0008614,0.0008614,0.0008614
16,2258.58,1.56695,1.69268,1.45563,0.02388,1.59064,0.64402,0.67717,0.67114,0.39811,0.62155,0.65354,0.67364,0.46039,1.59598,1.91861,1.26287,0.03767,0,0.0008515,0.0008515,0.0008515
17,2398.9,1.49707,1.6169,1.42925,0.02326,1.68279,0.66068,0.6378,0.70449,0.39789,0.68613,0.67132,0.73095,0.45799,1.61582,1.8695,1.25123,0.03821,0,0.0008416,0.0008416,0.0008416
18,2539.48,1.49334,1.62284,1.3811,0.02376,1.62714,0.71069,0.61899,0.72626,0.43373,0.69261,0.60324,0.69974,0.4619,1.42806,1.9035,1.26167,0.03384,0,0.0008317,0.0008317,0.0008317
19,2680.22,1.48537,1.57889,1.33673,0.02249,1.56357,0.69156,0.68504,0.75583,0.47187,0.70296,0.70811,0.76457,0.51137,1.38566,1.73031,1.13512,0.03228,0,0.0008218,0.0008218,0.0008218
20,2821.1,1.41355,1.58235,1.32895,0.02204,1.51837,0.63819,0.71654,0.71154,0.40874,0.64337,0.70866,0.70396,0.43517,1.49801,2.21938,1.23473,0.03671,0,0.0008119,0.0008119,0.0008119
21,2961.78,1.4208,1.49843,1.24844,0.02225,1.46575,0.75338,0.61417,0.75606,0.46464,0.75795,0.64108,0.75699,0.493,1.39277,1.84035,1.12246,0.03203,0,0.000802,0.000802,0.000802
