epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5202,1.14823,1.77666,2.29438,0.017,2.95092,0.38493,0.12598,0.11739,0.05795,0.08005,0.0315,0.01331,0.00812,2.45721,21.2455,3.41394,0.05978,0,0.000196364,0.000196364,0.08056
2,149.044,1.1505,1.58153,1.45397,0.01663,1.74021,0.46142,0.44094,0.39565,0.24831,0.47698,0.44882,0.40208,0.24006,1.49354,3.03747,2.13186,0.036,0,0.00039244,0.00039244,0.0607561
3,224.633,1.10791,1.52948,1.29274,0.01598,1.46687,0.65102,0.70079,0.70881,0.47136,0.66902,0.70866,0.72227,0.50993,1.25449,1.86314,1.32204,0.03035,0,0.000584556,0.000584556,0.0409482
4,300.07,1.09753,1.48607,1.24122,0.01629,1.57543,0.61709,0.54331,0.57716,0.32429,0.62258,0.55906,0.59186,0.37358,1.49942,2.82118,1.78532,0.03568,0,0.000772712,0.000772712,0.0211363
5,375.055,1.10038,1.49747,1.25347,0.01655,1.56155,0.75614,0.65923,0.7366,0.50954,0.75614,0.65923,0.7627,0.51867,1.1596,1.77227,1.18029,0.02633,0,0.000956908,0.000956908,0.00132054
6,450.457,1.09955,1.4207,1.1725,0.01685,1.48121,0.68549,0.81102,0.80444,0.5202,0.69416,0.82211,0.80732,0.5396,1.18443,1.77501,1.33776,0.02897,0,0.0009505,0.0009505,0.0009505
7,525.636,1.09519,1.45231,1.15931,0.01671,1.40961,0.72397,0.70866,0.74677,0.46589,0.76687,0.72524,0.78262,0.51166,1.30681,1.94119,1.18908,0.03099,0,0.0009406,0.0009406,0.0009406
8,600.891,1.13188,1.39257,1.11626,0.01633,1.44696,0.73164,0.7874,0.78944,0.43203,0.73933,0.79528,0.81269,0.48422,1.47192,2.21895,1.32032,0.03678,0,0.0009307,0.0009307,0.0009307
9,676.052,1.13867,1.42656,1.10716,0.01747,1.41438,0.73261,0.68504,0.74544,0.48539,0.75438,0.67715,0.75166,0.5261,1.23656,1.56271,1.23364,0.02981,0,0.0009208,0.0009208,0.0009208
10,751.018,1.09676,1.38139,1.05812,0.01661,1.26927,0.82238,0.70866,0.81701,0.54772,0.82899,0.72522,0.83193,0.56506,1.16615,1.662,1.04981,0.02769,0,0.0009109,0.0009109,0.0009109
11,826.168,1.05009,1.35192,1.00971,0.01573,1.24792,0.85929,0.76378,0.85858,0.60038,0.86834,0.77165,0.86765,0.60843,1.10874,1.84843,0.83465,0.02604,0,0.000901,0.000901,0.000901
12,901.401,1.08001,1.3648,0.95731,0.01627,1.23329,0.84979,0.73228,0.85141,0.58552,0.8527,0.74016,0.85166,0.59746,1.1726,1.93406,0.79678,0.02683,0,0.0008911,0.0008911,0.0008911
13,976.401,1.06514,1.33489,0.98817,0.01558,1.29464,0.85211,0.77126,0.88521,0.62275,0.86057,0.77758,0.89167,0.64885,1.14292,1.53636,0.88105,0.0252,0,0.0008812,0.0008812,0.0008812
14,1051.37,1.01057,1.30128,0.92937,0.01475,1.17527,0.67963,0.77953,0.74658,0.53261,0.73419,0.73228,0.74994,0.556,1.16958,1.69826,1.03356,0.02824,0,0.0008713,0.0008713,0.0008713
15,1126.32,0.99402,1.27875,0.9163,0.01461,1.26255,0.78435,0.77953,0.80833,0.57805,0.78435,0.77953,0.79861,0.55434,1.07733,2.13686,0.97219,0.02486,0,0.0008614,0.0008614,0.0008614
