epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6108,1.26015,2.18378,1.85807,0.01826,2.5516,0.74336,0.45616,0.57989,0.33149,0.31433,0.18898,0.13247,0.0455,1.64757,12.8886,2.02465,0.03663,0,0.000196364,0.000196364,0.08056
2,150.52,1.1321,1.61208,1.18481,0.01648,1.72722,0.7937,0.62992,0.74771,0.51986,0.81573,0.59055,0.70654,0.47876,1.19533,2.63617,1.17933,0.02726,0,0.00039244,0.00039244,0.0607561
3,225.937,1.1781,1.56489,1.07327,0.01752,1.56159,0.71666,0.80315,0.78165,0.48511,0.72471,0.81102,0.79549,0.51772,1.25359,2.31561,1.16721,0.02924,0,0.000584556,0.000584556,0.0409482
4,301.353,1.11516,1.5616,1.03457,0.01604,1.51989,0.85567,0.64567,0.77446,0.52232,0.83363,0.63128,0.76593,0.51633,1.18562,2.18344,1.08435,0.02713,0,0.000772712,0.000772712,0.0211363
5,376.563,1.1775,1.5312,1.01468,0.01747,1.44498,0.79007,0.71121,0.80408,0.5218,0.79881,0.71908,0.82956,0.56749,1.25211,2.03383,0.98596,0.02961,0,0.000956908,0.000956908,0.00132054
6,451.801,1.18285,1.50217,0.99476,0.01748,1.49328,0.78583,0.72441,0.8141,0.51948,0.78583,0.72441,0.81436,0.54841,1.35289,1.91755,1.02375,0.03381,0,0.0009505,0.0009505,0.0009505
7,526.738,1.18292,1.5005,0.98834,0.01728,1.40885,0.8676,0.70866,0.83276,0.57634,0.86959,0.70866,0.82259,0.59705,1.17415,1.86251,0.93806,0.02666,0,0.0009406,0.0009406,0.0009406
8,601.93,1.11769,1.46993,0.9544,0.01673,1.37503,0.82231,0.76522,0.80935,0.53919,0.83,0.79528,0.82967,0.57961,1.27885,1.74173,0.85534,0.03028,0,0.0009307,0.0009307,0.0009307
9,677.049,1.11181,1.43178,0.96543,0.01621,1.3877,0.83762,0.81237,0.86715,0.60852,0.85461,0.82677,0.88526,0.64001,1.08258,1.57068,0.85929,0.02481,0,0.0009208,0.0009208,0.0009208
10,752.242,1.07139,1.43707,0.89281,0.01533,1.34281,0.78444,0.71635,0.78848,0.53924,0.80074,0.75945,0.82116,0.55977,1.26769,1.75852,0.93809,0.03067,0,0.0009109,0.0009109,0.0009109
11,827.109,1.0418,1.38843,0.87158,0.01477,1.34114,0.82686,0.75591,0.85887,0.619,0.83548,0.76378,0.87184,0.62346,1.10644,1.61616,0.78087,0.02531,0,0.000901,0.000901,0.000901
12,902.083,1.09474,1.41979,0.89054,0.01649,1.38132,0.75476,0.74016,0.79751,0.52207,0.77815,0.74803,0.80311,0.56483,1.34667,1.8039,1.00177,0.03241,0,0.0008911,0.0008911,0.0008911
13,977.111,1.09996,1.41502,0.87968,0.01566,1.21447,0.6328,0.55636,0.62569,0.4044,0.62829,0.54331,0.59867,0.38259,1.28707,1.96384,1.64219,0.03009,0,0.0008812,0.0008812,0.0008812
14,1052.16,1.02328,1.34753,0.82617,0.01496,1.2495,0.86614,0.76421,0.85754,0.60754,0.87546,0.77165,0.85761,0.60447,1.11374,2.00469,0.86237,0.02542,0,0.0008713,0.0008713,0.0008713
15,1127.3,0.99992,1.28922,0.78396,0.01435,1.15529,0.84975,0.77165,0.87284,0.63873,0.86086,0.77953,0.88675,0.64055,1.01211,1.58883,0.74224,0.02316,0,0.0008614,0.0008614,0.0008614
16,1202.75,1.01465,1.3256,0.80951,0.01448,1.23309,0.81872,0.83465,0.87858,0.59831,0.82561,0.82011,0.87543,0.64011,1.18376,1.47486,0.85807,0.02672,0,0.0008515,0.0008515,0.0008515
17,1278.19,0.99036,1.26889,0.82209,0.01443,1.2099,0.86611,0.81498,0.88808,0.6413,0.87448,0.82286,0.89464,0.64815,1.08849,1.49121,0.68265,0.02517,0,0.0008416,0.0008416,0.0008416
18,1353.58,1.016,1.33176,0.85078,0.01478,1.25435,0.82312,0.86614,0.86162,0.58105,0.88195,0.85039,0.88649,0.62488,1.20083,1.63525,0.71984,0.02846,0,0.0008317,0.0008317,0.0008317
19,1428.91,0.99985,1.27267,0.78056,0.01527,1.10033,0.77253,0.74875,0.78217,0.53586,0.78801,0.74016,0.7792,0.53244,1.13519,1.82896,1.13225,0.02716,0,0.0008218,0.0008218,0.0008218
20,1504.12,0.99339,1.27701,0.81512,0.01466,1.18496,0.8481,0.85039,0.8884,0.65932,0.87675,0.84252,0.89333,0.65771,0.99932,1.49799,0.70762,0.02324,0,0.0008119,0.0008119,0.0008119
21,1579.48,0.96832,1.28259,0.81138,0.014,1.15346,0.7539,0.81102,0.85204,0.55932,0.78542,0.77165,0.82925,0.58529,1.21393,1.98056,0.84847,0.02829,0,0.000802,0.000802,0.000802
22,1654.68,0.9805,1.24405,0.75159,0.01367,1.04328,0.82658,0.82565,0.85523,0.61954,0.83446,0.83352,0.86713,0.6196,1.04952,1.49289,0.82362,0.02385,0,0.0007921,0.0007921,0.0007921
23,1729.72,0.95605,1.2188,0.74093,0.01403,0.98781,0.86331,0.7874,0.85048,0.60543,0.89698,0.79528,0.86897,0.6143,1.04183,1.84439,0.82026,0.02364,0,0.0007822,0.0007822,0.0007822
24,1804.7,0.92514,1.21681,0.74459,0.01302,1.08515,0.76639,0.71654,0.80075,0.58945,0.76639,0.71654,0.79952,0.59567,1.02881,1.37636,0.92293,0.02318,0,0.0007723,0.0007723,0.0007723
