epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,66.2786,1.21892,2.02229,2.58167,0.01838,2.50644,0.5097,0.28346,0.31551,0.12073,0.45791,0.25984,0.26405,0.0756,1.97186,5.80743,3.38955,0.04685,0,0.000196364,0.000196364,0.08056
2,129.371,1.12537,1.56717,1.32645,0.01631,1.7592,0.68246,0.55906,0.59539,0.34915,0.60699,0.48645,0.4487,0.25148,1.43159,6.20118,1.60995,0.03368,0,0.00039244,0.00039244,0.0607561
3,193.812,1.12109,1.54221,1.18,0.0164,1.55097,0.816,0.70079,0.79619,0.51316,0.8278,0.68135,0.77294,0.52525,1.28297,2.56318,1.27379,0.02901,0,0.000584556,0.000584556,0.0409482
4,258.993,1.12183,1.50041,1.17657,0.0163,1.57318,0.72182,0.53543,0.64439,0.37395,0.71115,0.51969,0.61159,0.37273,1.47231,2.7084,1.65647,0.03353,0,0.000772712,0.000772712,0.0211363
5,324.231,1.1457,1.49658,1.15743,0.01702,1.49304,0.83529,0.59898,0.74163,0.44321,0.70585,0.72441,0.77313,0.48589,1.38594,1.97882,1.19962,0.03331,0,0.000956908,0.000956908,0.00132054
6,389.622,1.19372,1.45899,1.16163,0.0186,1.54537,0.66989,0.74016,0.7152,0.48051,0.66496,0.74016,0.71251,0.46772,1.27686,2.4611,1.48475,0.03022,0,0.0009505,0.0009505,0.0009505
7,455.123,1.12068,1.4752,1.08771,0.01697,1.46703,0.82688,0.63936,0.75031,0.50854,0.85526,0.65141,0.76814,0.53923,1.24323,2.00328,1.24478,0.02911,0,0.0009406,0.0009406,0.0009406
8,520.936,1.11333,1.42137,1.11149,0.01589,1.47036,0.73643,0.74801,0.74483,0.46424,0.72093,0.73227,0.73065,0.48139,1.30965,2.08351,1.23153,0.03127,0,0.0009307,0.0009307,0.0009307
9,586.634,1.06166,1.41592,1.07474,0.01608,1.38191,0.67801,0.66142,0.70804,0.46327,0.68562,0.70408,0.70848,0.49097,1.29241,1.97441,1.37761,0.03128,0,0.0009208,0.0009208,0.0009208
10,652.399,1.10655,1.38401,1.02311,0.01668,1.2707,0.84047,0.74674,0.84698,0.55208,0.81881,0.77953,0.85061,0.56234,1.24771,1.7395,0.93015,0.03113,0,0.0009109,0.0009109,0.0009109
11,718.228,1.0992,1.38119,0.99189,0.01642,1.27002,0.84018,0.74512,0.83929,0.55159,0.89276,0.73228,0.85492,0.60141,1.2773,1.85619,0.9112,0.03192,0,0.000901,0.000901,0.000901
12,784.12,1.10069,1.38752,0.99898,0.01655,1.27991,0.86164,0.7874,0.8642,0.58045,0.87086,0.79528,0.88518,0.61401,1.19422,1.62534,0.85276,0.02718,0,0.0008911,0.0008911,0.0008911
13,849.97,1.03472,1.33473,0.92775,0.01493,1.26433,0.88034,0.69516,0.8459,0.56687,0.79767,0.74803,0.83527,0.58349,1.19088,1.68497,0.877,0.02811,0,0.0008812,0.0008812,0.0008812
14,915.751,1.0448,1.29363,0.92597,0.01541,1.179,0.82643,0.76378,0.81977,0.54356,0.8161,0.76378,0.83001,0.58061,1.21323,1.54827,0.96113,0.02839,0,0.0008713,0.0008713,0.0008713
15,981.381,1.00818,1.24273,0.91256,0.01481,1.21428,0.77928,0.69502,0.7696,0.51212,0.78382,0.74803,0.76719,0.54141,1.10772,1.89031,1.11005,0.02698,0,0.0008614,0.0008614,0.0008614
16,1047.07,1.0209,1.30829,0.91518,0.01506,1.25076,0.80619,0.67717,0.81088,0.53635,0.85573,0.65386,0.8242,0.57055,1.24176,1.87131,1.04859,0.02983,0,0.0008515,0.0008515,0.0008515
17,1112.76,0.98922,1.26881,0.91766,0.01455,1.27915,0.79728,0.81102,0.86704,0.61219,0.78287,0.79528,0.86283,0.63201,1.10382,1.67342,0.85934,0.02464,0,0.0008416,0.0008416,0.0008416
