epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,65.949,1.148,2.00985,2.5059,0.01717,2.55838,0.48482,0.05941,0.13043,0.04851,0.35603,0.04366,0.08962,0.03071,2.0099,5.82063,3.73046,0.05469,0,0.000196364,0.000196364,0.08056
2,132.942,1.09619,1.54785,1.34052,0.01576,1.81284,0.6066,0.44882,0.45667,0.30363,0.61965,0.42333,0.41953,0.27175,1.45652,4.20177,1.95605,0.03494,0,0.00039244,0.00039244,0.0607561
3,199.87,1.17856,1.5518,1.21314,0.0171,1.51654,0.80966,0.5748,0.71719,0.43749,0.7904,0.56693,0.68341,0.45887,1.26519,2.35664,1.51878,0.02868,0,0.000584556,0.000584556,0.0409482
4,266.756,1.18367,1.52665,1.2009,0.01752,1.65425,0.75338,0.61417,0.69513,0.45832,0.76304,0.62205,0.71965,0.4732,1.36687,2.00187,1.41878,0.03188,0,0.000772712,0.000772712,0.0211363
5,333.777,1.11852,1.55113,1.19946,0.01643,1.51163,0.67825,0.72441,0.76073,0.49709,0.64543,0.76378,0.72715,0.48326,1.18702,2.29282,1.14627,0.02766,0,0.000956908,0.000956908,0.00132054
6,401.053,1.09414,1.48202,1.13715,0.01659,1.4994,0.67216,0.70079,0.73046,0.49129,0.6786,0.70866,0.73572,0.49975,1.11616,1.90324,1.34872,0.02546,0,0.0009505,0.0009505,0.0009505
7,468.213,1.08126,1.47905,1.09931,0.01643,1.47328,0.83028,0.69335,0.82161,0.56022,0.74765,0.79319,0.83384,0.57947,1.14716,1.81758,0.96358,0.02677,0,0.0009406,0.0009406,0.0009406
8,535.431,1.08104,1.41339,1.07453,0.01582,1.45126,0.83129,0.73228,0.81463,0.56437,0.84335,0.74803,0.83281,0.58147,1.11237,1.69752,1.02371,0.02622,0,0.0009307,0.0009307,0.0009307
9,602.609,1.11375,1.41877,1.05893,0.01683,1.36855,0.60785,0.5748,0.57048,0.35385,0.61597,0.58097,0.59976,0.37991,1.29872,1.84186,1.70353,0.03048,0,0.0009208,0.0009208,0.0009208
10,669.195,1.09997,1.42708,1.01342,0.01652,1.28706,0.45807,0.30617,0.32111,0.19626,0.46562,0.28346,0.28721,0.18303,1.58109,3.84625,2.65983,0.0408,0,0.0009109,0.0009109,0.0009109
11,735.913,1.08729,1.39769,1.03155,0.01635,1.28419,0.80779,0.70866,0.80904,0.48961,0.79825,0.70079,0.80047,0.54237,1.37788,1.89541,1.05172,0.03368,0,0.000901,0.000901,0.000901
12,802.552,1.06881,1.36657,1.00715,0.01608,1.28944,0.80707,0.79528,0.84524,0.59937,0.81506,0.80315,0.86751,0.61792,1.12029,1.66185,0.84541,0.02611,0,0.0008911,0.0008911,0.0008911
13,869.348,1.0357,1.32324,0.91194,0.015,1.27163,0.74129,0.79528,0.81843,0.58169,0.7371,0.82677,0.8325,0.59732,1.09186,1.56751,0.96322,0.02567,0,0.0008812,0.0008812,0.0008812
14,936.088,0.99194,1.28026,0.95231,0.01418,1.21202,0.85262,0.77439,0.87848,0.62269,0.86086,0.77949,0.87167,0.64328,1.06576,1.52835,0.76685,0.02543,0,0.0008713,0.0008713,0.0008713
15,1003.11,0.96102,1.25822,0.89879,0.01392,1.22257,0.78238,0.76434,0.79155,0.58814,0.79044,0.77221,0.80114,0.59987,0.99794,1.58416,0.92578,0.02273,0,0.0008614,0.0008614,0.0008614
16,1070.08,0.99059,1.2826,0.9167,0.01458,1.22546,0.81767,0.77953,0.846,0.58779,0.83451,0.7874,0.851,0.61095,1.1811,1.59841,0.89156,0.0276,0,0.0008515,0.0008515,0.0008515
17,1137.05,0.97161,1.26424,0.86904,0.0144,1.22429,0.82131,0.86614,0.90143,0.64498,0.80256,0.87402,0.90694,0.63793,1.09502,1.6969,0.72034,0.02511,0,0.0008416,0.0008416,0.0008416
18,1203.74,0.97882,1.28075,0.87303,0.01414,1.19245,0.81791,0.8135,0.86847,0.63413,0.82583,0.82137,0.87925,0.632,1.03631,1.53302,0.80101,0.02374,0,0.0008317,0.0008317,0.0008317
19,1270.41,0.99451,1.28611,0.89231,0.01428,1.18681,0.8657,0.8189,0.84709,0.57374,0.87402,0.82677,0.85389,0.61128,1.16373,1.70669,0.81861,0.02709,0,0.0008218,0.0008218,0.0008218
20,1337.36,0.97827,1.25445,0.87358,0.01435,1.21706,0.83995,0.82647,0.88255,0.64144,0.85717,0.85061,0.89332,0.65185,1.05404,1.56264,0.65724,0.02525,0,0.0008119,0.0008119,0.0008119
21,1404.37,0.982,1.31556,0.88783,0.01405,1.1197,0.8402,0.78662,0.83006,0.6042,0.84852,0.79394,0.83745,0.58773,0.98757,1.68086,0.84969,0.0227,0,0.000802,0.000802,0.000802
22,1471.38,0.9847,1.30637,0.86928,0.01379,1.12311,0.81794,0.81367,0.88796,0.66397,0.80976,0.83465,0.8986,0.67121,0.96305,1.5457,0.70363,0.02216,0,0.0007921,0.0007921,0.0007921
23,1538.19,0.94141,1.22689,0.84172,0.01357,1.0482,0.85665,0.73228,0.84816,0.61673,0.86625,0.74016,0.86161,0.63174,1.02257,1.44939,0.89475,0.02387,0,0.0007822,0.0007822,0.0007822
24,1605.36,0.93727,1.23513,0.78677,0.01292,1.04852,0.87549,0.79528,0.88094,0.60843,0.90422,0.79528,0.89212,0.62497,1.10645,1.59414,0.85191,0.02562,0,0.0007723,0.0007723,0.0007723
25,1672.74,0.94409,1.23368,0.80511,0.01333,1.10414,0.79144,0.83666,0.85241,0.61027,0.79889,0.84453,0.85634,0.62843,1.02304,1.65117,0.82881,0.0233,0,0.0007624,0.0007624,0.0007624
26,1739.62,0.88632,1.20368,0.79303,0.01261,1.03463,0.81221,0.82677,0.82957,0.61893,0.81994,0.83465,0.8475,0.63378,0.98887,1.5723,0.85831,0.02271,0,0.0007525,0.0007525,0.0007525
