epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5052,1.50867,2.88867,4.94216,0.0153,3.4844,0.00565,0.28947,0.02462,0.00744,0,0,0,0,2.58168,7.90461,6.09481,0.03942,0,0.000189474,0.000189474,0.0812421
2,50.2853,1.38253,1.99077,1.99428,0.01515,2.63325,0.77509,0.13158,0.22129,0.13797,0.69055,0.11842,0.16787,0.07322,1.45414,6.74834,3.86418,0.01981,0,0.000385618,0.000385618,0.0614382
3,74.7718,1.33279,1.76196,1.59013,0.01354,1.8544,0.76677,0.39474,0.52823,0.3121,0.15955,0.15242,0.09181,0.03543,1.5763,7.97655,2.17728,0.02142,0,0.000577802,0.000577802,0.0416304
4,100.233,1.3752,1.79343,1.60752,0.01387,2.02736,0.71707,0.57895,0.64733,0.40829,0.73337,0.59211,0.66983,0.43615,1.55227,2.10043,1.79415,0.02141,0,0.000766026,0.000766026,0.0218187
5,126.906,1.37317,1.66486,1.44692,0.01504,1.85105,0.6427,0.66273,0.64346,0.39135,0.66822,0.68905,0.73494,0.43151,1.43335,2.32177,1.56917,0.02056,0,0.000950291,0.000950291,0.00200292
6,155.435,1.38924,1.52715,1.42859,0.01473,1.71389,0.73834,0.57895,0.66862,0.33677,0.70406,0.55263,0.63039,0.38507,1.49751,2.30926,2.25484,0.0193,0,0.0009505,0.0009505,0.0009505
7,182.749,1.36073,1.64599,1.48235,0.01446,1.65638,0.68235,0.6784,0.73205,0.38399,0.6747,0.6823,0.71625,0.41096,1.61371,2.65325,1.65363,0.02346,0,0.0009406,0.0009406,0.0009406
8,209.453,1.29215,1.58452,1.28182,0.01369,1.62849,0.75059,0.47519,0.57802,0.3164,0.77172,0.48935,0.58361,0.33427,1.66117,2.06445,1.90541,0.0226,0,0.0009307,0.0009307,0.0009307
9,237.161,1.27185,1.56207,1.18859,0.01316,1.34586,0.76882,0.59211,0.6835,0.44296,0.76882,0.59211,0.68225,0.4663,1.37234,2.1558,1.56316,0.01792,0,0.0009208,0.0009208,0.0009208
10,264.848,1.33277,1.50457,1.21659,0.01397,1.4926,0.7614,0.75584,0.81741,0.49309,0.75937,0.78947,0.83026,0.49828,1.46046,1.83854,1.01089,0.01836,0,0.0009109,0.0009109,0.0009109
