epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4414,1.47181,2.17008,2.88495,0.0147,3.21343,0.0003,0.02632,1e-05,0,0.00015,0.01316,0,0,3.17294,15.3594,4.81869,0.05106,0,0.000189474,0.000189474,0.0812421
2,49.3966,1.26733,1.8516,1.83494,0.01335,2.4297,0.01898,0.28947,0.08856,0.05903,0.01553,0.23684,0.08185,0.04232,1.69821,4.74937,4.37139,0.0255,0,0.000385618,0.000385618,0.0614382
3,75.2415,1.3054,1.72215,1.5405,0.01315,1.81407,0.70424,0.28947,0.39092,0.26614,0.70424,0.28947,0.38032,0.24474,1.41224,5.16079,2.55692,0.01762,0,0.000577802,0.000577802,0.0416304
4,103.051,1.33008,1.78007,1.47412,0.014,1.95214,0.69003,0.55263,0.59452,0.36298,0.63282,0.52632,0.5727,0.3522,1.59585,3.76784,1.88572,0.02512,0,0.000766026,0.000766026,0.0218187
5,129.12,1.30158,1.66755,1.35342,0.01437,1.82244,0.66752,0.61842,0.66784,0.38017,0.68172,0.63158,0.68761,0.43987,1.5307,2.63912,1.44897,0.01983,0,0.000950291,0.000950291,0.00200292
6,155.071,1.30211,1.54833,1.173,0.01331,1.61758,0.66798,0.82068,0.75825,0.49271,0.6785,0.83309,0.78889,0.52334,1.28394,1.82765,1.12298,0.01605,0,0.0009505,0.0009505,0.0009505
7,182.053,1.3193,1.5657,1.12437,0.01406,1.47977,0.70622,0.56938,0.64596,0.40868,0.73865,0.59504,0.68718,0.43791,1.36048,2.07306,1.46785,0.01927,0,0.0009406,0.0009406,0.0009406
8,208.273,1.23062,1.56674,1.1357,0.01324,1.6329,0.48446,0.59211,0.49348,0.327,0.47608,0.57895,0.48292,0.33296,1.35416,2.64002,2.43207,0.018,0,0.0009307,0.0009307,0.0009307
9,234.508,1.22829,1.47107,1.08169,0.0126,1.33084,0.94817,0.72211,0.86591,0.54686,0.96538,0.73384,0.88205,0.59075,1.43805,1.80642,0.82629,0.01925,0,0.0009208,0.0009208,0.0009208
10,261.229,1.21815,1.45306,1.05657,0.01212,1.43243,0.88644,0.71904,0.81011,0.55045,0.9188,0.74447,0.84973,0.56354,1.33499,1.81546,0.91428,0.01773,0,0.0009109,0.0009109,0.0009109
11,287.383,1.31279,1.55371,1.12314,0.01354,1.61768,0.83241,0.52632,0.64777,0.45528,0.80941,0.51316,0.63442,0.45529,1.32428,1.8239,1.4313,0.0175,0,0.000901,0.000901,0.000901
12,313.671,1.23812,1.43927,0.98746,0.0138,1.33772,0.85687,0.70898,0.82857,0.55361,0.85687,0.70898,0.8414,0.59468,1.28502,1.57674,1.03937,0.01727,0,0.0008911,0.0008911,0.0008911
13,340.346,1.18444,1.31629,0.96218,0.01257,1.14586,0.89852,0.81555,0.90229,0.61228,0.89852,0.81555,0.90572,0.61959,1.14291,1.56303,0.70084,0.01496,0,0.0008812,0.0008812,0.0008812
