epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8533,3.39704,5.9866,6.56293,0.03101,4.93978,0.00067,0.19048,0.00016,3e-05,0.00092,0.2619,0.00032,4e-05,3.26932,7.182,5.10922,0.03839,0,0.00018,0.00018,0.08218
2,26.1859,3.19933,5.31878,4.56918,0.03112,4.29417,0,0,0,0,0,0,0,0,3.22344,5.45683,4.7953,0.03743,0,0.000376238,0.000376238,0.0623762
3,36.6043,3.06925,5.01242,4.56026,0.0294,4.3052,0,0,0,0,0,0,0,0,3.09717,4.90666,4.72254,0.03625,0,0.000568516,0.000568516,0.0425685
4,46.99,3.03517,5.49776,4.56614,0.02965,4.25511,0,0,0,0,0,0,0,0,3.02692,4.78051,4.68913,0.03538,0,0.000756834,0.000756834,0.0227568
5,57.4111,3.07934,4.4184,4.57378,0.03058,4.28799,0,0,0,0,0,0,0,0,2.99214,4.7773,4.68798,0.03473,0,0.000941192,0.000941192,0.00294119
6,67.8764,3.13838,4.59686,4.52252,0.02971,4.2241,0,0,0,0,0,0,0,0,2.9724,4.72886,4.68075,0.03447,0,0.0009505,0.0009505,0.0009505
7,78.4282,3.04407,4.52578,4.50828,0.03012,4.18433,0,0,0,0,0,0,0,0,2.93346,4.64888,4.66536,0.03399,0,0.0009406,0.0009406,0.0009406
8,89.2078,3.03606,4.42535,4.47081,0.02968,4.17891,0.00106,0.28571,0.00052,0.00018,0.00097,0.2619,0.00048,0.00012,2.72543,4.61636,4.63572,0.03086,0,0.0009307,0.0009307,0.0009307
9,100.081,3.07238,4.29229,4.42119,0.03118,4.18086,0.00096,0.2619,0.00069,0.00027,0.00088,0.2381,0.00039,0.00011,2.54683,4.67802,4.59902,0.02851,0,0.0009208,0.0009208,0.0009208
10,111.075,2.92535,4.2608,4.40705,0.02769,4.13462,0.00095,0.2619,0.00105,0.00048,0.00077,0.21429,0.00078,0.00017,2.42593,4.81364,4.57703,0.02671,0,0.0009109,0.0009109,0.0009109
11,122.205,2.82818,4.29648,4.35522,0.02607,4.10099,0.00094,0.2619,0.0015,0.00062,0.00026,0.07143,0.00046,0.00016,2.54299,4.87452,4.59204,0.02894,0,0.000901,0.000901,0.000901
12,133.324,2.87292,4.20027,4.41185,0.02526,4.09583,0.00116,0.28571,0.00122,0.00045,0,0,0,0,2.51139,6.16532,4.62161,0.02814,0,0.0008911,0.0008911,0.0008911
13,144.193,2.92661,4.44985,4.48025,0.02509,4.10119,0.00279,0.19048,0.00068,0.0003,0,0,0,0,2.42587,6.47324,4.60989,0.02693,0,0.0008812,0.0008812,0.0008812
