epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6207,3.35594,7.39965,6.5776,0.03043,4.90339,0.00058,0.16667,0.00014,4e-05,0.00083,0.2381,0.00033,4e-05,3.19638,7.05652,5.21847,0.0372,0,0.00018,0.00018,0.08218
2,61.5686,3.20158,5.67448,4.52703,0.03088,4.28674,0,0,0,0,0,0,0,0,3.11427,6.65757,4.71479,0.03654,0,0.000376238,0.000376238,0.0623762
3,68.4948,3.12225,4.92223,4.52701,0.02999,4.31702,0,0,0,0,0,0,0,0,3.08483,5.92094,4.64169,0.03632,0,0.000568516,0.000568516,0.0425685
4,75.4885,3.18439,4.71908,4.53197,0.03095,4.23877,0,0,0,0,0,0,0,0,3.06646,5.44029,4.66484,0.03561,0,0.000756834,0.000756834,0.0227568
5,82.3827,3.08401,4.37446,4.57788,0.03047,4.23686,0,0,0,0,0,0,0,0,3.05235,5.12356,4.65865,0.03546,0,0.000941192,0.000941192,0.00294119
6,89.3179,3.22439,4.38002,4.50583,0.03037,4.19009,0,0,0,0,0,0,0,0,3.0357,5.03905,4.6658,0.03498,0,0.0009505,0.0009505,0.0009505
7,96.481,3.14634,4.4147,4.46489,0.031,4.14892,0.00096,0.2619,0.00068,0.00013,0.00105,0.28571,0.00075,0.00016,3.04192,4.91206,4.66458,0.03509,0,0.0009406,0.0009406,0.0009406
8,103.673,3.08676,4.37275,4.47255,0.03004,4.18804,0.00096,0.2619,0.00071,0.00016,0.00105,0.28571,0.00082,0.00017,3.01928,4.84745,4.67159,0.03467,0,0.0009307,0.0009307,0.0009307
9,110.962,3.11014,4.24953,4.41553,0.03089,4.17917,0.00105,0.28571,0.00116,0.00033,0.00044,0.11905,0.00223,0.00024,2.9267,4.80101,4.66203,0.03316,0,0.0009208,0.0009208,0.0009208
10,118.171,3.06153,4.20076,4.40095,0.02896,4.1282,0.00111,0.30952,0.00169,0.00053,9e-05,0.02381,0.00114,0.00011,2.79894,4.84879,4.64091,0.03182,0,0.0009109,0.0009109,0.0009109
11,125.39,2.99329,4.23693,4.37011,0.0275,4.08754,0.00114,0.30952,0.00151,0.00056,0,0,0,0,2.76275,4.99272,4.62295,0.03201,0,0.000901,0.000901,0.000901
12,132.664,2.90645,4.13379,4.41263,0.02529,4.02077,0.00333,0.30952,0.00177,0.00046,0,0,0,0,2.95701,6.33273,4.73509,0.03398,0,0.0008911,0.0008911,0.0008911
13,139.972,2.9633,4.14062,4.44957,0.02515,4.08895,0.00223,0.28571,0.00177,0.00064,0,0,0,0,2.83386,7.52783,4.70972,0.03295,0,0.0008812,0.0008812,0.0008812
14,147.37,2.89183,4.07829,4.20316,0.02895,4.04152,0.00147,0.30952,0.00306,0.00063,0.00023,0.04762,7e-05,1e-05,2.93147,8.14195,4.82974,0.03603,0,0.0008713,0.0008713,0.0008713
15,154.865,2.87476,4.00124,4.09875,0.02816,3.94534,0.00168,0.30952,0.00385,0.00089,0,0,0,0,3.02942,7.06576,4.79673,0.03737,0,0.0008614,0.0008614,0.0008614
16,162.462,2.87509,3.97537,4.18851,0.02736,4.01389,0.00239,0.38095,0.00701,0.00145,0.00149,0.2381,0.00475,0.00091,2.90003,5.57427,4.48597,0.03462,0,0.0008515,0.0008515,0.0008515
17,169.896,2.91993,3.99324,4.11888,0.02564,3.98673,0.00373,0.57143,0.01051,0.00186,0.00093,0.14286,0.00264,0.0005,2.83512,5.60325,4.3259,0.03377,0,0.0008416,0.0008416,0.0008416
18,177.33,2.81556,3.89657,3.97491,0.02587,3.93803,0.00278,0.52381,0.01179,0.00299,0.0024,0.45238,0.00774,0.00191,2.62924,4.29665,4.25024,0.03043,0,0.0008317,0.0008317,0.0008317
19,184.661,2.73618,3.70248,3.84061,0.02423,3.93932,0.00276,0.54762,0.02969,0.00686,0.0024,0.47619,0.01658,0.00436,2.75868,4.25984,4.14355,0.03196,0,0.0008218,0.0008218,0.0008218
20,191.931,2.75184,3.80097,3.83128,0.02578,3.93017,0.16377,0.09524,0.0685,0.02113,0.08188,0.04762,0.04773,0.01425,2.81663,4.32927,3.99725,0.03292,0,0.0008119,0.0008119,0.0008119
21,199.244,2.81518,3.63916,3.82894,0.02586,3.96798,0.0764,0.09524,0.03887,0.01134,0.15144,0.11905,0.07527,0.01323,2.63709,4.68667,4.14313,0.03047,0,0.000802,0.000802,0.000802
22,206.535,2.76428,3.62231,3.69557,0.02578,3.86985,0.06577,0.09524,0.04537,0.01163,0.07225,0.09524,0.04117,0.00956,2.61444,4.89934,4.20115,0.02949,0,0.0007921,0.0007921,0.0007921
23,213.795,2.68307,3.61879,3.61627,0.02536,3.7749,0.17376,0.07143,0.05575,0.0128,0.06864,0.09524,0.04187,0.01035,2.55228,4.1569,4.0453,0.02867,0,0.0007822,0.0007822,0.0007822
24,221.094,2.74965,3.56413,3.50042,0.02774,3.72386,0.15902,0.11905,0.05626,0.01974,0.15902,0.11905,0.05292,0.01397,2.49101,3.77433,3.9682,0.02802,0,0.0007723,0.0007723,0.0007723
25,228.459,2.67515,3.47999,3.57426,0.02546,3.8591,0.08804,0.14286,0.0579,0.01456,0.08535,0.11905,0.04636,0.01067,2.63596,3.69052,3.85465,0.03085,0,0.0007624,0.0007624,0.0007624
26,235.848,2.66074,3.41958,3.4283,0.02756,3.76366,0.09482,0.14286,0.06209,0.01122,0.14755,0.11905,0.10588,0.01873,2.8026,3.64655,3.69698,0.03458,0,0.0007525,0.0007525,0.0007525
27,243.22,2.61089,3.45744,3.40534,0.02421,3.61732,0.25792,0.17396,0.10822,0.02797,0.30909,0.19048,0.08726,0.02398,2.48068,3.58287,3.58553,0.02832,0,0.0007426,0.0007426,0.0007426
28,250.663,2.63778,3.3661,3.43212,0.02342,3.5907,0.21545,0.11905,0.13651,0.03865,0.24792,0.14931,0.14414,0.04457,2.41301,3.41607,3.51045,0.02779,0,0.0007327,0.0007327,0.0007327
29,257.996,2.6858,3.45579,3.40185,0.02463,3.58817,0.16126,0.19048,0.11351,0.03014,0.18096,0.16667,0.12919,0.04333,2.51555,3.39361,3.58033,0.02987,0,0.0007228,0.0007228,0.0007228
30,265.303,2.59068,3.29657,3.24952,0.02499,3.60724,0.32534,0.34459,0.21504,0.05157,0.36118,0.2381,0.21589,0.05358,2.52924,3.47482,3.50429,0.02962,0,0.0007129,0.0007129,0.0007129
