epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1136,1.38534,2.22294,3.56425,0.01064,3.42241,0.00048,0.02381,3e-05,0,0,0,0,0,2.18962,30.9155,5.20333,0.02685,0,0.00018,0.00018,0.08218
2,27.2023,1.36874,1.8547,2.28664,0.01087,2.15889,0.05263,0.04762,0.03167,0.01758,0,0,0,0,1.80254,42.3342,5.17622,0.02185,0,0.000376238,0.000376238,0.0623762
3,39.5926,1.21685,1.74653,1.84913,0.00931,2.04368,0.06604,0.33333,0.15335,0.07638,0.00472,0.02381,0.00042,4e-05,1.98528,32.0538,4.65688,0.02282,0,0.000568516,0.000568516,0.0425685
4,52.1046,1.25672,1.6375,1.62003,0.01009,1.78714,0.61189,0.09524,0.15267,0.08961,0.61189,0.09524,0.14295,0.05939,1.96834,14.7653,3.73961,0.02423,0,0.000756834,0.000756834,0.0227568
5,64.767,1.29633,1.66863,1.78979,0.01077,1.71938,0.32867,0.07143,0.1145,0.04535,0.37564,0.07143,0.09087,0.02281,1.815,16.4194,3.64197,0.02106,0,0.000941192,0.000941192,0.00294119
6,77.6033,1.27218,1.63777,1.64643,0.00982,1.49994,0.36064,0.16667,0.15187,0.08978,0.3392,0.14286,0.11055,0.04806,1.78573,20.9483,2.84108,0.01902,0,0.0009505,0.0009505,0.0009505
7,90.5825,1.21852,1.47731,1.36662,0.00973,1.53109,0.84661,0.5,0.6647,0.39595,0.80553,0.47619,0.60017,0.32257,1.65621,7.49936,1.7357,0.01654,0,0.0009406,0.0009406,0.0009406
8,104.16,1.18625,1.35597,1.33062,0.00904,1.46362,0.66159,0.55873,0.6154,0.35683,0.65286,0.59524,0.61339,0.33386,1.52771,4.71491,1.81331,0.01567,0,0.0009307,0.0009307,0.0009307
9,118.116,1.18871,1.47348,1.2783,0.00965,1.19842,0.64241,0.57143,0.58966,0.31652,0.64241,0.57143,0.58885,0.32296,1.72701,3.82152,2.27798,0.01767,0,0.0009208,0.0009208,0.0009208
10,132.462,1.15598,1.28284,1.09765,0.00864,1.38279,0.61982,0.77645,0.72877,0.43685,0.61965,0.71429,0.71586,0.45405,1.56601,2.57628,1.42237,0.01646,0,0.0009109,0.0009109,0.0009109
11,146.23,1.12481,1.29776,1.09223,0.00862,1.20249,0.81997,0.71429,0.77889,0.44194,0.82964,0.69581,0.77609,0.47701,1.65178,2.35437,1.56559,0.01804,0,0.000901,0.000901,0.000901
12,159.753,1.14822,1.32095,1.15153,0.00832,1.26041,0.88786,0.64286,0.78329,0.47309,0.88786,0.64286,0.80227,0.47436,1.42224,2.2303,1.09222,0.01405,0,0.0008911,0.0008911,0.0008911
13,173.16,1.18845,1.43117,1.12687,0.00781,1.36662,0.64155,0.71429,0.72418,0.42841,0.64155,0.71429,0.73394,0.47639,1.56391,1.9832,1.23655,0.01513,0,0.0008812,0.0008812,0.0008812
14,186.701,1.15332,1.29208,1.02984,0.00914,0.96811,0.92315,0.7381,0.85231,0.54644,0.92315,0.7381,0.82686,0.55595,1.61262,1.92681,0.85236,0.01813,0,0.0008713,0.0008713,0.0008713
15,200.697,1.07218,1.2256,0.94232,0.00865,0.84961,0.81672,0.71429,0.79565,0.46468,0.81672,0.71429,0.80895,0.50391,1.72457,1.70148,1.139,0.01942,0,0.0008614,0.0008614,0.0008614
16,214.619,1.26352,1.27668,1.17518,0.01008,1.30164,0.72841,0.76636,0.79307,0.50058,0.85214,0.6862,0.80189,0.53512,1.43849,1.71935,0.9999,0.01486,0,0.0008515,0.0008515,0.0008515
17,228.359,1.19957,1.26693,0.95321,0.00854,1.00055,0.75153,0.64823,0.72595,0.48843,0.75153,0.64823,0.72948,0.48696,1.34896,2.08829,1.44552,0.01323,0,0.0008416,0.0008416,0.0008416
18,241.954,1.1628,1.28601,1.10783,0.00849,1.13748,0.80804,0.71429,0.80519,0.52286,0.80804,0.71429,0.79926,0.5459,1.56097,2.0589,0.90851,0.01646,0,0.0008317,0.0008317,0.0008317
19,255.648,1.15767,1.31838,1.06343,0.00857,1.20969,0.7942,0.7619,0.8433,0.53238,0.76325,0.7619,0.86415,0.55033,1.5299,2.0722,0.88783,0.01537,0,0.0008218,0.0008218,0.0008218
20,269.268,1.09963,1.24544,1.0514,0.00856,0.96475,0.77301,0.80952,0.7868,0.45885,0.79674,0.83333,0.8308,0.46686,1.58594,2.66419,0.99392,0.0157,0,0.0008119,0.0008119,0.0008119
21,283.081,1.14648,1.23454,1.04288,0.00907,1.12382,0.77224,0.72671,0.81478,0.47237,0.77224,0.72671,0.83498,0.50428,1.55551,1.96306,0.82149,0.01558,0,0.000802,0.000802,0.000802
22,296.811,1.22236,1.3088,1.02905,0.00982,1.11469,0.96152,0.59497,0.7633,0.5083,0.96296,0.619,0.7935,0.54849,1.50133,1.61449,1.08833,0.01628,0,0.0007921,0.0007921,0.0007921
23,310.427,1.0128,1.16444,0.89895,0.00788,0.85734,0.71168,0.71429,0.78617,0.51364,0.71168,0.71429,0.78757,0.54305,1.26111,1.51386,1.30076,0.01218,0,0.0007822,0.0007822,0.0007822
24,324.14,1.12543,1.21668,0.90707,0.00947,0.82009,0.77624,0.80952,0.87252,0.61596,0.8005,0.83333,0.89407,0.64443,1.21876,1.35165,0.73442,0.01129,0,0.0007723,0.0007723,0.0007723
25,337.878,1.12321,1.20582,0.9222,0.00888,0.96645,0.91938,0.71429,0.87137,0.60389,0.91938,0.71429,0.87137,0.62408,1.35657,1.36202,0.7417,0.01315,0,0.0007624,0.0007624,0.0007624
26,351.628,0.99423,1.11982,0.89015,0.00832,0.94446,0.88437,0.7381,0.89651,0.62067,0.88437,0.7381,0.89651,0.6629,1.27546,1.24958,0.644,0.01145,0,0.0007525,0.0007525,0.0007525
27,365.508,1.00372,1.13833,0.94642,0.00785,0.92535,0.76378,0.69048,0.78069,0.53883,0.76378,0.69048,0.78335,0.57087,1.33947,1.32537,0.86417,0.01261,0,0.0007426,0.0007426,0.0007426
28,379.217,1.01583,1.10271,0.95994,0.0074,0.9073,0.79745,0.75005,0.87788,0.63167,0.79745,0.75005,0.8841,0.65286,1.42323,1.39187,0.80463,0.01336,0,0.0007327,0.0007327,0.0007327
29,392.968,0.976,1.18794,0.84279,0.00717,0.82598,0.77757,0.83235,0.84739,0.57943,0.79823,0.84789,0.88081,0.59743,1.3204,1.46635,0.85418,0.01295,0,0.0007228,0.0007228,0.0007228
30,406.681,1.08519,1.14509,0.82767,0.00891,0.79467,0.79323,0.73084,0.75744,0.51719,0.81883,0.7534,0.81463,0.56402,1.30439,1.38828,1.46108,0.01281,0,0.0007129,0.0007129,0.0007129
31,420.426,1.03189,1.08647,0.76388,0.00819,0.81146,0.6296,0.69048,0.71395,0.46879,0.65131,0.71429,0.74625,0.52063,1.43461,1.4458,1.32566,0.01415,0,0.000703,0.000703,0.000703
32,434.205,1.02562,1.05741,0.86349,0.00756,1.01322,0.87455,0.7381,0.87945,0.56346,0.87455,0.7381,0.87945,0.593,1.44791,1.64108,0.82715,0.01428,0,0.0006931,0.0006931,0.0006931
33,447.999,1.05311,1.14113,0.79734,0.00782,0.82592,0.85374,0.7619,0.89015,0.56892,0.85374,0.7619,0.89015,0.59538,1.26567,1.56028,0.89937,0.01214,0,0.0006832,0.0006832,0.0006832
34,461.7,1.10038,1.0855,0.72489,0.00845,0.79886,0.94727,0.85555,0.92611,0.61484,0.94727,0.85555,0.93237,0.64513,1.29848,1.41849,0.70989,0.01291,0,0.0006733,0.0006733,0.0006733
35,475.471,1.04202,1.08859,0.74945,0.00862,0.73284,0.96952,0.75737,0.91091,0.63014,0.96952,0.75737,0.91807,0.66598,1.28032,1.36879,0.70199,0.01279,0,0.0006634,0.0006634,0.0006634
