epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,69.582,1.1223,1.77357,2.15096,0.01662,2.38535,0.54087,0.14961,0.18399,0.09928,0.427,0.11811,0.12427,0.05563,1.38214,7.43294,3.55519,0.03214,0,0.000196364,0.000196364,0.08056
2,140.464,1.03384,1.5206,1.30572,0.01462,1.69967,0.64238,0.49606,0.5305,0.35269,0.65258,0.50394,0.54856,0.37507,1.30582,2.22553,2.02807,0.03013,0,0.00039244,0.00039244,0.0607561
3,211.442,1.11936,1.50994,1.20609,0.01617,1.49203,0.7333,0.6495,0.70281,0.4713,0.72899,0.64567,0.69804,0.48182,1.24283,2.42628,1.33472,0.02879,0,0.000584556,0.000584556,0.0409482
4,282.145,1.1304,1.50173,1.1416,0.01675,1.61887,0.82365,0.66142,0.80604,0.4778,0.83502,0.66929,0.8258,0.5193,1.39095,2.25418,1.11369,0.03174,0,0.000772712,0.000772712,0.0211363
5,352.757,1.07086,1.48483,1.16654,0.01566,1.56335,0.7739,0.70072,0.78093,0.51553,0.7857,0.72175,0.79261,0.53417,1.1437,1.97628,1.20099,0.02713,0,0.000956908,0.000956908,0.00132054
6,423.719,1.10845,1.45772,1.10637,0.01688,1.48058,0.75728,0.76378,0.81665,0.55349,0.74947,0.75591,0.81407,0.57306,1.12067,1.97274,1.21918,0.02688,0,0.0009505,0.0009505,0.0009505
7,494.605,1.09643,1.48207,1.0532,0.0164,1.45427,0.83827,0.74803,0.82967,0.53949,0.85651,0.76378,0.84471,0.55663,1.24198,1.91799,0.97766,0.02978,0,0.0009406,0.0009406,0.0009406
8,565.174,1.09253,1.41003,1.06127,0.01564,1.44734,0.78137,0.73228,0.79886,0.56109,0.78241,0.75591,0.82983,0.5719,1.10902,1.88595,1.06371,0.02583,0,0.0009307,0.0009307,0.0009307
9,635.948,1.09496,1.41182,1.08508,0.0164,1.44146,0.83585,0.68162,0.80075,0.53797,0.8455,0.68949,0.81517,0.59067,1.17241,1.58044,1.00562,0.0284,0,0.0009208,0.0009208,0.0009208
10,706.67,1.08171,1.36673,0.98461,0.01626,1.28526,0.86151,0.72441,0.82989,0.58928,0.87384,0.73228,0.8448,0.60079,1.07334,1.67897,0.87568,0.02481,0,0.0009109,0.0009109,0.0009109
11,777.476,1.07866,1.35944,0.96965,0.01594,1.22634,0.79124,0.80315,0.82419,0.58244,0.79957,0.81102,0.83341,0.59213,1.124,1.7697,0.92935,0.02607,0,0.000901,0.000901,0.000901
12,847.964,1.11014,1.37525,0.94949,0.01664,1.24447,0.79752,0.76378,0.82225,0.53937,0.81396,0.77953,0.83971,0.60022,1.28628,1.60788,0.95332,0.03,0,0.0008911,0.0008911,0.0008911
13,918.819,1.01237,1.28448,0.86673,0.01469,1.22765,0.83609,0.80315,0.84841,0.57367,0.83609,0.80315,0.85252,0.58965,1.15479,1.66428,0.81071,0.02712,0,0.0008812,0.0008812,0.0008812
14,989.39,1.01375,1.30614,0.88777,0.01486,1.20853,0.77408,0.84252,0.83237,0.59001,0.76684,0.83465,0.82905,0.60431,1.08246,1.57891,0.88619,0.02563,0,0.0008713,0.0008713,0.0008713
15,1060.17,0.96397,1.26521,0.89827,0.01423,1.26157,0.82781,0.70079,0.77077,0.52955,0.803,0.70613,0.74755,0.52114,1.13038,2.14453,1.18844,0.02546,0,0.0008614,0.0008614,0.0008614
16,1130.73,0.99731,1.26972,0.87282,0.0145,1.18965,0.77191,0.81102,0.847,0.61963,0.80297,0.84252,0.86158,0.62721,1.02737,1.74378,0.92863,0.02439,0,0.0008515,0.0008515,0.0008515
17,1201.48,0.95816,1.26271,0.86182,0.01406,1.19557,0.9187,0.71185,0.83922,0.60426,0.9187,0.71185,0.83583,0.57152,1.08159,2.14909,0.81434,0.02625,0,0.0008416,0.0008416,0.0008416
18,1272.17,0.94643,1.2558,0.85548,0.01337,1.1345,0.79653,0.7874,0.86043,0.64181,0.81328,0.80315,0.87233,0.6423,0.98772,1.4322,0.75047,0.02228,0,0.0008317,0.0008317,0.0008317
19,1343.06,0.97244,1.2677,0.8538,0.01388,1.12322,0.87262,0.74016,0.8243,0.59553,0.8819,0.74803,0.82579,0.60614,1.0388,1.81989,0.86136,0.02392,0,0.0008218,0.0008218,0.0008218
20,1413.66,0.95357,1.21174,0.84645,0.01375,1.15311,0.86261,0.79101,0.85213,0.62023,0.86261,0.79101,0.85733,0.63175,1.04692,1.67226,0.82207,0.02419,0,0.0008119,0.0008119,0.0008119
21,1484.32,0.95088,1.28277,0.86997,0.0134,1.08995,0.8266,0.70079,0.77584,0.54214,0.81623,0.69291,0.76614,0.55501,1.12902,1.70174,1.00521,0.02609,0,0.000802,0.000802,0.000802
22,1554.74,0.95083,1.28827,0.841,0.01306,1.10816,0.84213,0.84006,0.86457,0.63842,0.84985,0.84677,0.87563,0.63909,1.02172,1.61853,0.75853,0.02429,0,0.0007921,0.0007921,0.0007921
23,1625.41,0.91134,1.22369,0.78123,0.01312,1.06496,0.86602,0.76378,0.81134,0.5917,0.87042,0.77953,0.83795,0.59236,1.05426,1.60079,0.8964,0.02435,0,0.0007822,0.0007822,0.0007822
24,1696.03,0.92285,1.24527,0.80624,0.01274,1.12667,0.88901,0.83465,0.89422,0.62179,0.90573,0.83218,0.89827,0.65052,1.07816,1.49118,0.71221,0.0256,0,0.0007723,0.0007723,0.0007723
25,1766.68,0.92387,1.19953,0.80159,0.01336,1.10943,0.85799,0.84252,0.86052,0.61746,0.89808,0.8326,0.89426,0.6411,1.03606,1.50992,0.657,0.02351,0,0.0007624,0.0007624,0.0007624
26,1837.21,0.89414,1.19026,0.75481,0.01259,1.02763,0.8849,0.72441,0.82293,0.57867,0.89452,0.73228,0.83612,0.59679,1.06519,1.67796,0.89926,0.02384,0,0.0007525,0.0007525,0.0007525
27,1907.59,0.92314,1.18453,0.80194,0.01291,1.0272,0.89828,0.70866,0.84355,0.59384,0.76659,0.81102,0.8448,0.61263,1.09555,1.65093,0.8034,0.02511,0,0.0007426,0.0007426,0.0007426
28,1978.11,0.94192,1.18737,0.78684,0.01321,1.02726,0.83685,0.77953,0.82658,0.59545,0.84054,0.76378,0.83115,0.6061,1.08774,1.56533,0.87649,0.02491,0,0.0007327,0.0007327,0.0007327
29,2048.59,0.86666,1.1393,0.71648,0.01218,0.99952,0.8662,0.85827,0.88618,0.66233,0.8662,0.85827,0.8864,0.66848,0.93594,1.43436,0.75775,0.02112,0,0.0007228,0.0007228,0.0007228
30,2119.38,0.88112,1.13776,0.72604,0.01277,0.97273,0.91174,0.81102,0.87994,0.68154,0.92059,0.8189,0.89337,0.68412,0.92363,1.38174,0.711,0.02091,0,0.0007129,0.0007129,0.0007129
31,2190.16,0.88495,1.13751,0.6748,0.01265,0.96593,0.84936,0.71038,0.84249,0.61267,0.86794,0.72452,0.86139,0.61644,1.04595,1.59347,0.88043,0.02393,0,0.000703,0.000703,0.000703
