epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,146.463,1.19299,1.82581,1.9281,0.01711,2.24372,0.727,0.25984,0.36066,0.23388,0.74903,0.26772,0.36526,0.21049,1.31829,5.18175,3.05029,0.03069,0,0.000198182,0.000198182,0.08038
2,287.748,1.09578,1.61691,1.19458,0.01592,1.81536,0.81925,0.68504,0.77039,0.53029,0.81211,0.6807,0.76598,0.53033,1.15233,2.19804,1.13549,0.0272,0,0.00039424,0.00039424,0.0605761
3,428.887,1.12719,1.58617,1.18508,0.01664,1.78106,0.79158,0.70079,0.79015,0.49889,0.77929,0.69506,0.77873,0.53483,1.23674,1.87234,1.17526,0.02952,0,0.000586338,0.000586338,0.0407682
4,569.822,1.10181,1.50699,1.11329,0.01708,1.68797,0.75677,0.75591,0.79803,0.50375,0.87063,0.68887,0.81516,0.54299,1.35748,2.00263,0.99556,0.03365,0,0.000774476,0.000774476,0.0209563
5,710.743,1.18713,1.6106,1.11087,0.01814,1.65906,0.76352,0.72441,0.81171,0.57573,0.78674,0.75524,0.83154,0.6008,1.09459,1.72269,0.98467,0.02584,0,0.000958654,0.000958654,0.00114047
6,851.726,1.2063,1.50984,1.09559,0.01802,1.56947,0.83503,0.75729,0.86119,0.58905,0.83845,0.75591,0.86193,0.61113,1.17962,1.57315,0.92826,0.02786,0,0.0009505,0.0009505,0.0009505
7,992.716,1.17612,1.43612,1.09622,0.01775,1.51309,0.87564,0.7208,0.84256,0.55871,0.84194,0.72441,0.83553,0.58452,1.20573,1.70143,0.98838,0.02814,0,0.0009406,0.0009406,0.0009406
8,1133.64,1.17036,1.43835,1.02513,0.01725,1.49495,0.75976,0.82179,0.83943,0.59331,0.76682,0.82863,0.84757,0.63413,1.1979,1.66801,0.89793,0.02942,0,0.0009307,0.0009307,0.0009307
9,1274.67,1.12574,1.44453,1.01422,0.01678,1.54548,0.85218,0.80315,0.88871,0.61451,0.87705,0.81102,0.89196,0.62731,1.10894,1.69131,0.85779,0.02584,0,0.0009208,0.0009208,0.0009208
10,1415.64,1.09057,1.42292,0.9876,0.01654,1.51122,0.83004,0.79528,0.86824,0.59949,0.82182,0.7874,0.85418,0.62518,1.13853,1.63936,0.86424,0.02755,0,0.0009109,0.0009109,0.0009109
11,1556.46,1.06818,1.38179,0.99761,0.01582,1.36867,0.80475,0.77891,0.81569,0.55029,0.81289,0.78679,0.82508,0.5789,1.25171,1.62607,0.89746,0.03024,0,0.000901,0.000901,0.000901
12,1697.54,1.04255,1.37703,0.93471,0.01619,1.31638,0.91991,0.72355,0.89477,0.6414,0.92734,0.75591,0.87134,0.64896,1.10965,1.71715,0.71994,0.02625,0,0.0008911,0.0008911,0.0008911
13,1838.62,1.04959,1.3498,0.8621,0.01549,1.30377,0.88339,0.83508,0.88825,0.62819,0.90483,0.83465,0.89894,0.62442,1.09001,2.04296,0.83881,0.02509,0,0.0008812,0.0008812,0.0008812
14,1979.56,1.0066,1.37076,0.90516,0.01499,1.36908,0.7652,0.80315,0.8494,0.59931,0.77988,0.80905,0.86144,0.6088,1.14395,1.58118,0.82048,0.02733,0,0.0008713,0.0008713,0.0008713
15,2120.65,1.02132,1.3135,0.91635,0.01488,1.27841,0.794,0.8189,0.87913,0.66297,0.82989,0.77953,0.87774,0.65394,0.99843,1.52807,0.74021,0.02296,0,0.0008614,0.0008614,0.0008614
16,2261.69,1.02198,1.36299,0.90197,0.01475,1.17946,0.88555,0.79206,0.87717,0.62878,0.88576,0.79368,0.87431,0.63628,1.07941,1.55596,0.81974,0.02514,0,0.0008515,0.0008515,0.0008515
17,2402.58,1.01255,1.26612,0.87778,0.01497,1.26654,0.87302,0.79528,0.89285,0.62722,0.89031,0.81102,0.89712,0.64316,1.12547,1.57503,0.78457,0.02662,0,0.0008416,0.0008416,0.0008416
18,2543.47,0.99029,1.25952,0.81126,0.01502,1.21661,0.85291,0.85827,0.88276,0.66439,0.85178,0.85978,0.88309,0.65807,1.00547,1.52798,0.68749,0.02237,0,0.0008317,0.0008317,0.0008317
19,2684.44,0.97816,1.26218,0.86699,0.01402,1.19804,0.89822,0.83391,0.90372,0.67385,0.89337,0.83465,0.90807,0.68097,0.98819,1.45777,0.65064,0.02298,0,0.0008218,0.0008218,0.0008218
20,2825.41,1.01485,1.28009,0.85135,0.01504,1.3185,0.7294,0.82677,0.83064,0.58863,0.88894,0.69327,0.84914,0.58179,1.04442,1.73808,0.88957,0.02335,0,0.0008119,0.0008119,0.0008119
21,2966.33,0.94082,1.2649,0.82075,0.01401,1.20009,0.86299,0.82677,0.88688,0.63803,0.88831,0.85039,0.90278,0.64618,1.01622,1.71801,0.76767,0.02299,0,0.000802,0.000802,0.000802
22,3107.23,0.92991,1.21155,0.78098,0.01377,1.15029,0.83766,0.84252,0.85089,0.62567,0.86072,0.8272,0.84817,0.63091,1.01137,1.63567,0.95664,0.02206,0,0.0007921,0.0007921,0.0007921
23,3248.16,0.96968,1.23733,0.79002,0.0139,1.04978,0.83972,0.82677,0.89507,0.66829,0.83972,0.82677,0.89582,0.66492,0.97925,1.47552,0.72499,0.02235,0,0.0007822,0.0007822,0.0007822
24,3389.04,0.96817,1.21681,0.76288,0.01384,1.11414,0.84366,0.81102,0.89371,0.67695,0.86033,0.82677,0.89938,0.65632,0.95802,1.47194,0.69585,0.02286,0,0.0007723,0.0007723,0.0007723
25,3530.02,0.92784,1.19864,0.79823,0.01351,1.10091,0.86141,0.79528,0.89058,0.6677,0.87765,0.79075,0.88899,0.66009,0.98406,1.46513,0.76436,0.02223,0,0.0007624,0.0007624,0.0007624
26,3670.9,0.93669,1.21576,0.76728,0.01386,1.1004,0.81143,0.84252,0.88011,0.62564,0.82194,0.83601,0.88462,0.62062,0.99222,1.55404,0.74929,0.02343,0,0.0007525,0.0007525,0.0007525
27,3811.72,0.90115,1.20923,0.69386,0.01304,1.01754,0.82765,0.86967,0.90383,0.67185,0.90914,0.8189,0.90459,0.67167,0.92637,1.58586,0.67837,0.02032,0,0.0007426,0.0007426,0.0007426
28,3952.53,0.89877,1.13222,0.67782,0.01286,0.97921,0.88292,0.81102,0.91631,0.64182,0.89507,0.806,0.89433,0.6557,1.0321,1.56401,0.68007,0.02383,0,0.0007327,0.0007327,0.0007327
29,4093.4,0.91333,1.21501,0.72895,0.0126,1.08014,0.86705,0.85039,0.90418,0.64658,0.86705,0.85039,0.90627,0.66315,0.9655,1.40364,0.73325,0.02147,0,0.0007228,0.0007228,0.0007228
30,4234.21,0.90886,1.14982,0.72642,0.01335,0.99714,0.75211,0.7874,0.83837,0.5706,0.75211,0.7874,0.83708,0.54702,1.0569,1.72565,0.93238,0.02439,0,0.0007129,0.0007129,0.0007129
31,4375.17,0.88894,1.13759,0.68823,0.01261,1.04558,0.92095,0.81102,0.91569,0.71525,0.9033,0.85827,0.9356,0.71212,0.89609,1.4122,0.59539,0.0198,0,0.000703,0.000703,0.000703
32,4516.22,0.89741,1.15948,0.72182,0.01273,0.957,0.91808,0.79422,0.87527,0.67171,0.94539,0.81785,0.8909,0.67778,0.926,1.45741,0.71307,0.02154,0,0.0006931,0.0006931,0.0006931
33,4657.16,0.88462,1.14832,0.73269,0.01272,0.98326,0.89561,0.84252,0.89917,0.68119,0.90398,0.85039,0.9026,0.68044,0.95182,1.48271,0.64664,0.02235,0,0.0006832,0.0006832,0.0006832
34,4798.12,0.85711,1.11644,0.68473,0.01215,1.01306,0.85435,0.87755,0.89513,0.67635,0.86201,0.88542,0.9002,0.68878,0.9513,1.48431,0.68366,0.02067,0,0.0006733,0.0006733,0.0006733
35,4939.1,0.85335,1.16292,0.70859,0.01275,1.01188,0.89863,0.83766,0.89883,0.68442,0.91329,0.82935,0.89843,0.67473,0.92522,1.41424,0.67361,0.02102,0,0.0006634,0.0006634,0.0006634
36,5080.03,0.88997,1.15744,0.65378,0.01237,0.91913,0.89921,0.79528,0.88644,0.67879,0.91701,0.81102,0.89943,0.67425,0.92902,1.49938,0.69996,0.02083,0,0.0006535,0.0006535,0.0006535
37,5220.96,0.87657,1.14212,0.67166,0.01268,0.97289,0.86869,0.83346,0.90505,0.68606,0.86869,0.83346,0.9062,0.67617,0.93225,1.43837,0.59866,0.02138,0,0.0006436,0.0006436,0.0006436
38,5361.76,0.85773,1.11362,0.63656,0.01224,0.89878,0.84807,0.86614,0.90826,0.6844,0.84021,0.86951,0.8957,0.6639,0.92744,1.61699,0.5943,0.02102,0,0.0006337,0.0006337,0.0006337
39,5502.66,0.84763,1.11127,0.66824,0.01247,0.90774,0.86109,0.84252,0.8971,0.67275,0.86109,0.84252,0.90205,0.68359,0.94655,1.36309,0.71345,0.02173,0,0.0006238,0.0006238,0.0006238
40,5643.49,0.84213,1.06888,0.64334,0.01183,0.8536,0.8696,0.83465,0.88614,0.6967,0.83639,0.88189,0.89955,0.67736,0.86545,1.40908,0.65662,0.01975,0,0.0006139,0.0006139,0.0006139
41,5784.35,0.85725,1.15867,0.66989,0.01203,0.85493,0.8867,0.86271,0.89314,0.66235,0.8867,0.86271,0.87871,0.66332,0.93885,1.51156,0.59412,0.02145,0,0.000604,0.000604,0.000604
42,5925.14,0.81473,1.05954,0.60079,0.01156,0.80143,0.8596,0.81102,0.87121,0.64817,0.86817,0.8189,0.8759,0.6528,0.9771,1.54381,0.6378,0.02236,0,0.0005941,0.0005941,0.0005941
