epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,71.3436,1.21129,1.807,2.04503,0.01753,2.30117,0.8072,0.20472,0.34437,0.15448,0.77616,0.19685,0.31633,0.15803,1.89418,6.15772,3.29958,0.04542,0,0.000198182,0.000198182,0.08038
2,142.519,1.1936,1.68706,1.42156,0.01774,1.97583,0.7016,0.62992,0.68859,0.4568,0.71149,0.6378,0.69589,0.47496,1.24831,1.94339,1.44149,0.02778,0,0.00039424,0.00039424,0.0605761
3,213.547,1.19553,1.55073,1.23286,0.01836,1.72824,0.7433,0.66142,0.72871,0.50153,0.74073,0.66142,0.72865,0.52721,1.1516,1.93379,1.21761,0.02775,0,0.000586338,0.000586338,0.0407682
4,284.247,1.14301,1.5447,1.19018,0.01772,1.76564,0.78053,0.7281,0.79513,0.5548,0.80287,0.76969,0.82207,0.56526,1.16186,1.93188,0.92202,0.02791,0,0.000774476,0.000774476,0.0209563
5,354.744,1.10423,1.48203,1.08265,0.01678,1.57936,0.84015,0.77953,0.84547,0.61105,0.83463,0.77165,0.84615,0.60954,1.04072,1.60415,0.90796,0.02481,0,0.000958654,0.000958654,0.00114047
6,425.522,1.13922,1.52034,1.14624,0.01749,1.56293,0.77886,0.77165,0.82147,0.58768,0.77886,0.77165,0.82396,0.59137,1.08193,1.57128,0.93695,0.02477,0,0.0009505,0.0009505,0.0009505
7,496.183,1.1441,1.50944,1.14968,0.01741,1.5448,0.84704,0.77953,0.86229,0.59508,0.91452,0.74803,0.85679,0.62801,1.13941,1.63094,0.85339,0.0272,0,0.0009406,0.0009406,0.0009406
8,567.019,1.11896,1.44451,1.01816,0.01683,1.41173,0.7924,0.72135,0.77712,0.55898,0.79627,0.71654,0.7799,0.56519,1.14067,1.73676,0.99162,0.0273,0,0.0009307,0.0009307,0.0009307
9,637.533,1.11815,1.34571,0.97924,0.01699,1.38298,0.76288,0.81102,0.80017,0.55203,0.79103,0.83456,0.83825,0.57956,1.15703,1.69381,0.95156,0.02729,0,0.0009208,0.0009208,0.0009208
10,708.524,1.09697,1.39137,1.02945,0.01632,1.38072,0.8563,0.70381,0.82095,0.55863,0.80858,0.76498,0.85223,0.5883,1.16873,1.62733,0.95157,0.0283,0,0.0009109,0.0009109,0.0009109
11,779.19,1.09988,1.38721,0.99121,0.01645,1.53082,0.84522,0.76378,0.86638,0.59232,0.85527,0.77165,0.87086,0.61422,1.16689,1.6439,0.84316,0.02844,0,0.000901,0.000901,0.000901
12,849.67,1.10785,1.33888,0.91889,0.01694,1.23262,0.82804,0.82677,0.88195,0.59125,0.85315,0.85039,0.88345,0.62711,1.20028,1.71647,0.72224,0.02939,0,0.0008911,0.0008911,0.0008911
13,920.095,1.02692,1.28631,0.89687,0.01522,1.22968,0.76538,0.82677,0.8347,0.53149,0.79071,0.85039,0.84069,0.56337,1.18754,1.73876,0.93815,0.02756,0,0.0008812,0.0008812,0.0008812
14,990.019,1.03274,1.31097,0.91317,0.0155,1.31086,0.80711,0.82368,0.84795,0.59645,0.82251,0.83927,0.86376,0.62973,1.10789,1.50663,0.85225,0.02594,0,0.0008713,0.0008713,0.0008713
15,1059.99,1.01057,1.28521,0.89256,0.0149,1.24489,0.86383,0.77165,0.86574,0.62816,0.86383,0.77165,0.86878,0.62625,1.02041,1.54619,0.84053,0.02408,0,0.0008614,0.0008614,0.0008614
16,1129.72,0.95807,1.26423,0.85383,0.01422,1.23237,0.81294,0.78707,0.82366,0.58398,0.81294,0.78707,0.82773,0.61094,1.10775,1.51939,0.86157,0.02735,0,0.0008515,0.0008515,0.0008515
17,1199.48,1.00877,1.3164,0.87761,0.01544,1.21588,0.8113,0.8189,0.84459,0.60495,0.79055,0.82677,0.83953,0.6239,1.05229,1.78963,0.77135,0.02485,0,0.0008416,0.0008416,0.0008416
18,1269.18,0.99203,1.30735,0.87571,0.01483,1.31961,0.80135,0.87402,0.89586,0.6293,0.91423,0.75538,0.87648,0.63575,1.10884,1.51319,0.72997,0.02653,0,0.0008317,0.0008317,0.0008317
19,1339.04,0.95903,1.28723,0.87037,0.01358,1.21607,0.84732,0.83029,0.8778,0.62813,0.82052,0.82796,0.86794,0.64734,1.03517,1.50302,0.7095,0.02428,0,0.0008218,0.0008218,0.0008218
20,1408.91,0.99953,1.30863,0.82274,0.0151,1.17941,0.82668,0.8189,0.90193,0.6541,0.8451,0.83465,0.91475,0.68159,0.99344,1.40724,0.77256,0.02287,0,0.0008119,0.0008119,0.0008119
21,1478.81,0.99917,1.2536,0.83872,0.01422,1.26872,0.85136,0.85039,0.89544,0.64447,0.84494,0.84252,0.88931,0.65939,1.02237,1.46092,0.62618,0.02386,0,0.000802,0.000802,0.000802
22,1548.58,0.97794,1.29236,0.82669,0.01517,1.30226,0.83631,0.84484,0.88419,0.63133,0.84044,0.82948,0.88668,0.64898,0.9808,1.42777,0.79764,0.02308,0,0.0007921,0.0007921,0.0007921
23,1618.47,0.92717,1.23969,0.77316,0.01367,1.14338,0.84154,0.79455,0.8515,0.64442,0.83394,0.83465,0.86066,0.63333,0.97325,1.41689,0.72844,0.02234,0,0.0007822,0.0007822,0.0007822
