epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,130.685,1.22979,1.93076,1.97531,0.0178,2.58646,0.5859,0.40157,0.4388,0.24236,0.21094,0.17323,0.08567,0.03501,1.4507,15.7998,2.5669,0.03279,0,0.000198182,0.000198182,0.08038
2,260.436,1.1899,1.71147,1.5106,0.01797,1.90404,0.57528,0.47244,0.48447,0.337,0.62586,0.50394,0.50614,0.36357,1.28908,2.85573,1.90014,0.03123,0,0.00039424,0.00039424,0.0605761
3,390.309,1.15943,1.593,1.28905,0.01749,1.63336,0.79096,0.59843,0.73989,0.54279,0.66956,0.71654,0.7494,0.53305,1.07376,1.82063,1.16272,0.02573,0,0.000586338,0.000586338,0.0407682
4,520.244,1.14561,1.57646,1.23153,0.01682,1.75773,0.74493,0.73588,0.78218,0.55218,0.79305,0.70079,0.78667,0.53499,1.11343,2.0829,1.02339,0.02582,0,0.000774476,0.000774476,0.0209563
5,650.138,1.15922,1.54689,1.25111,0.01738,1.66483,0.81053,0.69291,0.808,0.561,0.75817,0.76378,0.8238,0.5973,1.14586,1.52698,1.08858,0.02762,0,0.000958654,0.000958654,0.00114047
6,779.929,1.20099,1.50252,1.23542,0.01821,1.65282,0.82959,0.72441,0.85015,0.56052,0.83673,0.76378,0.85961,0.58223,1.17761,1.67985,0.92061,0.02781,0,0.0009505,0.0009505,0.0009505
7,909.655,1.13985,1.47122,1.12412,0.01747,1.61576,0.73084,0.62205,0.71988,0.4566,0.74908,0.63468,0.73337,0.48738,1.30888,1.94376,1.30264,0.03039,0,0.0009406,0.0009406,0.0009406
8,1039.41,1.11602,1.45969,1.10095,0.01702,1.51972,0.87131,0.74016,0.84285,0.56593,0.86251,0.74803,0.84488,0.58778,1.18323,1.79153,0.98767,0.02744,0,0.0009307,0.0009307,0.0009307
9,1169.01,1.12862,1.46371,1.07858,0.01703,1.50322,0.80951,0.72441,0.81158,0.55733,0.78701,0.76378,0.82115,0.58401,1.13147,1.62145,0.95653,0.02564,0,0.0009208,0.0009208,0.0009208
10,1298.76,1.08384,1.38308,0.98958,0.01629,1.35204,0.76849,0.70866,0.8289,0.56859,0.78888,0.72441,0.84751,0.58978,1.11009,1.74413,0.96119,0.02608,0,0.0009109,0.0009109,0.0009109
