epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,144.357,1.18988,1.8346,1.78255,0.01727,2.37896,0.72005,0.28346,0.4348,0.26137,0.40658,0.14961,0.1587,0.05913,1.57539,9.21884,2.94133,0.04264,0,0.000198182,0.000198182,0.08038
2,286.16,1.15669,1.68566,1.31244,0.01735,1.8489,0.69753,0.76268,0.74317,0.49422,0.78545,0.71654,0.7743,0.51987,1.19314,1.98637,1.10247,0.02814,0,0.00039424,0.00039424,0.0605761
3,427.88,1.17353,1.56925,1.18788,0.01724,1.62908,0.90307,0.64567,0.80528,0.5218,0.8466,0.70079,0.8154,0.55183,1.29274,1.98499,1.05536,0.03183,0,0.000586338,0.000586338,0.0407682
4,569.4,1.1355,1.54515,1.09484,0.01667,1.69034,0.77519,0.67878,0.77814,0.50888,0.73348,0.70866,0.76729,0.48472,1.22237,2.25958,1.13274,0.02874,0,0.000774476,0.000774476,0.0209563
5,710.686,1.19061,1.58133,1.10198,0.01801,1.58369,0.79763,0.72441,0.81091,0.53222,0.8063,0.73228,0.81493,0.54545,1.31076,1.80359,0.89214,0.03102,0,0.000958654,0.000958654,0.00114047
6,852.006,1.19812,1.49825,1.11279,0.01798,1.60614,0.88192,0.75591,0.8643,0.57811,0.8041,0.80315,0.86624,0.60659,1.17797,1.7157,0.8434,0.02854,0,0.0009505,0.0009505,0.0009505
7,993.598,1.1857,1.4536,1.07453,0.01816,1.53362,0.81706,0.77165,0.85015,0.57367,0.82539,0.77953,0.85492,0.59193,1.19955,1.60101,0.91954,0.02745,0,0.0009406,0.0009406,0.0009406
8,1134.91,1.13342,1.43594,1.0465,0.01705,1.48239,0.8471,0.7416,0.83947,0.56728,0.85609,0.74948,0.85305,0.60166,1.20332,1.66007,0.85821,0.02852,0,0.0009307,0.0009307,0.0009307
9,1276.09,1.13934,1.4873,1.05822,0.01725,1.47363,0.76552,0.77953,0.80427,0.54411,0.76453,0.81102,0.82814,0.56282,1.18038,1.70257,1.01815,0.02704,0,0.0009208,0.0009208,0.0009208
10,1416.97,1.1351,1.42885,0.92584,0.01749,1.35165,0.82066,0.8189,0.85369,0.59386,0.83066,0.82677,0.86721,0.62112,1.10842,1.59744,0.81476,0.02608,0,0.0009109,0.0009109,0.0009109
11,1558.33,1.09608,1.37804,1.01388,0.01603,1.42033,0.84215,0.75618,0.84681,0.61157,0.86069,0.7874,0.86317,0.61744,1.13033,1.69287,0.78451,0.02667,0,0.000901,0.000901,0.000901
12,1699.52,1.06972,1.38036,0.92682,0.01631,1.31714,0.80209,0.79783,0.84986,0.58278,0.82558,0.81993,0.87347,0.61805,1.14244,1.61351,0.86924,0.0276,0,0.0008911,0.0008911,0.0008911
13,1841,1.02434,1.35979,0.93023,0.01435,1.2131,0.83524,0.80315,0.85145,0.59207,0.80777,0.81102,0.86466,0.60958,1.08107,1.54696,0.8422,0.02566,0,0.0008812,0.0008812,0.0008812
14,1982.39,1.05226,1.30668,0.90107,0.01605,1.31333,0.75574,0.77958,0.80755,0.5546,0.76397,0.79528,0.82702,0.59064,1.18602,1.58858,0.85392,0.02803,0,0.0008713,0.0008713,0.0008713
15,2123.6,1.02276,1.28823,0.89645,0.01495,1.21758,0.85419,0.78418,0.8605,0.61979,0.86271,0.79166,0.8701,0.61153,1.04767,1.87135,0.76522,0.02423,0,0.0008614,0.0008614,0.0008614
16,2264.68,1.01048,1.28176,0.86267,0.0148,1.22232,0.8755,0.71654,0.85128,0.59911,0.8755,0.71654,0.85292,0.61589,1.1129,1.45294,0.75474,0.02594,0,0.0008515,0.0008515,0.0008515
17,2405.66,0.9805,1.29626,0.86515,0.01472,1.17811,0.8528,0.82115,0.89294,0.65518,0.85847,0.80315,0.87898,0.64683,1.01338,1.68524,0.72063,0.02344,0,0.0008416,0.0008416,0.0008416
18,2546.81,0.96609,1.24193,0.80563,0.01412,1.06425,0.83267,0.82285,0.87437,0.6594,0.81751,0.87402,0.88707,0.6754,1.0178,1.43591,0.65642,0.0243,0,0.0008317,0.0008317,0.0008317
19,2688.3,1.00052,1.26125,0.7937,0.01455,1.15507,0.89934,0.77383,0.85353,0.62902,0.82857,0.87532,0.87433,0.64749,1.04786,1.38985,0.69863,0.02493,0,0.0008218,0.0008218,0.0008218
20,2829.41,0.98264,1.23026,0.7993,0.01473,1.12765,0.85058,0.77953,0.82987,0.57485,0.85058,0.77953,0.82986,0.61483,1.12346,1.55651,0.85159,0.02548,0,0.0008119,0.0008119,0.0008119
21,2970.96,1.01544,1.25477,0.85415,0.01507,1.1631,0.89354,0.79308,0.87241,0.64938,0.91126,0.80855,0.89798,0.6634,0.99632,1.41197,0.74823,0.02256,0,0.000802,0.000802,0.000802
22,3112.72,0.96551,1.23912,0.79607,0.01364,1.10456,0.86277,0.80315,0.86171,0.63478,0.87123,0.81102,0.86457,0.65119,1.0657,1.50506,0.66695,0.02467,0,0.0007921,0.0007921,0.0007921
23,3254.44,0.9713,1.21231,0.83218,0.01402,1.07382,0.84299,0.81102,0.87328,0.62297,0.89534,0.80837,0.89057,0.63253,1.03312,1.62997,0.77971,0.02468,0,0.0007822,0.0007822,0.0007822
24,3396.12,0.95339,1.24952,0.79526,0.01328,1.0449,0.89048,0.76378,0.85943,0.64425,0.91726,0.77953,0.87903,0.66513,0.99474,1.38922,0.70852,0.02276,0,0.0007723,0.0007723,0.0007723
25,3537.35,0.9491,1.21186,0.81328,0.01385,1.12033,0.82028,0.83465,0.85521,0.60186,0.82801,0.84252,0.86821,0.63424,1.05978,1.56091,0.77296,0.02508,0,0.0007624,0.0007624,0.0007624
26,3678.62,0.94297,1.21103,0.74355,0.01352,1.05476,0.84914,0.84252,0.88277,0.62307,0.85708,0.85039,0.89121,0.63464,1.12546,1.48585,0.73038,0.02582,0,0.0007525,0.0007525,0.0007525
27,3820.1,0.95162,1.21812,0.75968,0.01328,1.03358,0.84601,0.82677,0.87618,0.66256,0.86227,0.84252,0.88435,0.6513,0.97038,1.53978,0.73557,0.02272,0,0.0007426,0.0007426,0.0007426
28,3961.53,0.91566,1.18071,0.72757,0.01316,1.05432,0.85891,0.82677,0.89374,0.65478,0.85053,0.8189,0.88796,0.67376,1.04952,1.4926,0.62581,0.02505,0,0.0007327,0.0007327,0.0007327
29,4103.1,0.92856,1.21138,0.76041,0.01337,1.0845,0.86926,0.83766,0.88459,0.66483,0.89376,0.86118,0.90227,0.6786,0.95087,1.37757,0.66551,0.02197,0,0.0007228,0.0007228,0.0007228
30,4244.52,0.89652,1.16805,0.73937,0.01276,0.99057,0.85718,0.82677,0.88148,0.66564,0.88983,0.85827,0.90334,0.67475,0.96135,1.4036,0.68831,0.02221,0,0.0007129,0.0007129,0.0007129
31,4385.76,0.88183,1.15273,0.72889,0.01282,0.98885,0.84715,0.82677,0.84287,0.64039,0.85537,0.83465,0.84869,0.63718,0.96848,1.52528,0.75682,0.02259,0,0.000703,0.000703,0.000703
32,4527.04,0.85611,1.17733,0.66729,0.01212,0.89453,0.85649,0.84592,0.89436,0.65426,0.89453,0.8189,0.89203,0.65983,1.00656,1.37836,0.65344,0.02314,0,0.0006931,0.0006931,0.0006931
33,4668.35,0.86253,1.12794,0.67451,0.01231,0.99858,0.86751,0.81102,0.89122,0.6492,0.86438,0.83465,0.88764,0.65721,1.00927,1.50326,0.60302,0.02312,0,0.0006832,0.0006832,0.0006832
34,4809.57,0.8615,1.10835,0.66196,0.01242,0.92163,0.89696,0.82255,0.89193,0.62992,0.8884,0.81487,0.88993,0.63361,1.05085,1.41157,0.75681,0.0246,0,0.0006733,0.0006733,0.0006733
35,4950.66,0.86915,1.16759,0.68326,0.01234,0.93659,0.88152,0.82023,0.90256,0.67428,0.89435,0.8189,0.91121,0.67699,0.96787,1.49969,0.61463,0.02233,0,0.0006634,0.0006634,0.0006634
36,5091.93,0.84841,1.14368,0.66672,0.01228,0.95802,0.8305,0.88735,0.89481,0.67855,0.8305,0.88735,0.89534,0.68765,0.94899,1.48466,0.59051,0.02271,0,0.0006535,0.0006535,0.0006535
37,5233.25,0.86429,1.12651,0.67069,0.01252,0.93704,0.8717,0.83465,0.86751,0.65144,0.88901,0.85039,0.87816,0.66352,0.96228,1.37668,0.65799,0.02184,0,0.0006436,0.0006436,0.0006436
38,5374.73,0.85246,1.12613,0.64694,0.01252,0.91174,0.87083,0.86614,0.88821,0.70247,0.87083,0.86614,0.89071,0.69296,0.83244,1.4612,0.63781,0.01917,0,0.0006337,0.0006337,0.0006337
39,5516.27,0.87211,1.17089,0.70194,0.01192,0.92518,0.898,0.82677,0.88482,0.69772,0.90655,0.83465,0.89671,0.69233,0.88161,1.4302,0.59952,0.02032,0,0.0006238,0.0006238,0.0006238
40,5657.7,0.82597,1.07871,0.64737,0.01154,0.83981,0.92572,0.8189,0.90406,0.66248,0.91682,0.81102,0.88664,0.68514,0.97891,1.55988,0.66503,0.0225,0,0.0006139,0.0006139,0.0006139
41,5799.07,0.87511,1.11467,0.68311,0.0125,0.92227,0.82918,0.83465,0.86797,0.65272,0.82918,0.83465,0.87168,0.66401,0.88872,1.4312,0.7249,0.02084,0,0.000604,0.000604,0.000604
42,5940.28,0.81057,1.08301,0.63462,0.01221,0.92896,0.88569,0.85039,0.90242,0.67517,0.8698,0.87402,0.90284,0.68879,0.95298,1.41706,0.612,0.02156,0,0.0005941,0.0005941,0.0005941
43,6081.6,0.82058,1.0868,0.61507,0.01155,0.8523,0.8643,0.84252,0.89925,0.66654,0.87237,0.85039,0.90199,0.6695,0.96669,1.56315,0.63351,0.02232,0,0.0005842,0.0005842,0.0005842
44,6222.82,0.84456,1.09204,0.65482,0.01157,0.85027,0.92163,0.77953,0.87732,0.65904,0.93094,0.7874,0.90421,0.65951,0.95603,1.58201,0.70561,0.02152,0,0.0005743,0.0005743,0.0005743
45,6364.12,0.8374,1.05659,0.62765,0.01182,0.79996,0.91903,0.77953,0.88766,0.6816,0.90563,0.83125,0.91428,0.68933,0.95785,1.3945,0.63874,0.02171,0,0.0005644,0.0005644,0.0005644
46,6505.37,0.81704,1.09971,0.61657,0.01209,0.83148,0.85957,0.86753,0.89875,0.68862,0.86737,0.87541,0.90976,0.70331,0.91429,1.33897,0.60883,0.02101,0,0.0005545,0.0005545,0.0005545
47,6646.57,0.8154,1.0933,0.58324,0.01212,0.86602,0.88473,0.84612,0.90044,0.68082,0.89296,0.85399,0.90882,0.70658,0.95298,1.40714,0.63997,0.02167,0,0.0005446,0.0005446,0.0005446
48,6787.59,0.81198,1.03009,0.60056,0.01153,0.82768,0.9087,0.82677,0.89158,0.69822,0.91765,0.83465,0.89844,0.69564,0.88014,1.38745,0.59861,0.01989,0,0.0005347,0.0005347,0.0005347
49,6928.87,0.80277,1.05123,0.61847,0.01134,0.83492,0.80687,0.82677,0.865,0.66741,0.82287,0.84252,0.87107,0.6752,0.91445,1.31962,0.80174,0.02031,0,0.0005248,0.0005248,0.0005248
50,7070.09,0.7756,1.00707,0.55569,0.01068,0.77608,0.83774,0.81102,0.84111,0.65886,0.88199,0.8189,0.87206,0.65459,0.85891,1.46224,0.80834,0.01901,0,0.0005149,0.0005149,0.0005149
51,7211.42,0.76961,1.05652,0.58596,0.01074,0.78053,0.85192,0.82677,0.88531,0.69164,0.86302,0.84334,0.88976,0.70409,0.87881,1.28242,0.65305,0.01898,0,0.000505,0.000505,0.000505
52,7353.02,0.76051,0.98075,0.54148,0.01049,0.71873,0.90096,0.82677,0.88223,0.69374,0.9158,0.84252,0.89889,0.69805,0.89614,1.41038,0.64302,0.01986,0,0.0004951,0.0004951,0.0004951
53,7494.18,0.78957,1.02592,0.57784,0.01078,0.78925,0.88694,0.84252,0.90438,0.69499,0.89348,0.85827,0.91733,0.70418,0.89668,1.39383,0.60735,0.02053,0,0.0004852,0.0004852,0.0004852
54,7635.44,0.75942,0.98533,0.54852,0.01063,0.72133,0.91625,0.81102,0.89696,0.70177,0.91625,0.81102,0.89446,0.70227,0.87822,1.43937,0.60461,0.01953,0,0.0004753,0.0004753,0.0004753
55,7776.53,0.76566,1.03671,0.56184,0.01013,0.77198,0.8607,0.80315,0.89181,0.67824,0.87803,0.8189,0.89528,0.67485,0.90778,1.48742,0.70355,0.02052,0,0.0004654,0.0004654,0.0004654
56,7917.67,0.75351,0.9946,0.56332,0.01089,0.72953,0.92266,0.75154,0.88978,0.69153,0.86974,0.80315,0.89284,0.68739,0.87796,1.45127,0.72344,0.01877,0,0.0004555,0.0004555,0.0004555
57,8058.64,0.76107,0.98492,0.55367,0.01049,0.76962,0.90802,0.79528,0.87769,0.68071,0.91701,0.80315,0.88795,0.68719,0.92129,1.36839,0.65799,0.02078,0,0.0004456,0.0004456,0.0004456
58,8200.04,0.76671,1.01752,0.53817,0.01062,0.76786,0.93734,0.82452,0.90048,0.69523,0.94629,0.8324,0.9052,0.70002,0.88224,1.36468,0.56019,0.01947,0,0.0004357,0.0004357,0.0004357
59,8341.52,0.73847,0.96061,0.53971,0.01019,0.70937,0.86636,0.87402,0.88419,0.68933,0.86636,0.87402,0.89248,0.69319,0.84777,1.43132,0.69661,0.01893,0,0.0004258,0.0004258,0.0004258
60,8483.15,0.72596,0.98763,0.50268,0.00989,0.64056,0.87166,0.8022,0.89043,0.69872,0.87518,0.82811,0.89907,0.70102,0.85687,1.36166,0.6404,0.01923,0,0.0004159,0.0004159,0.0004159
61,8624.56,0.71359,0.96107,0.51232,0.00967,0.62432,0.89895,0.84056,0.89907,0.71217,0.91579,0.85631,0.91625,0.71179,0.86273,1.4297,0.51909,0.01878,0,0.000406,0.000406,0.000406
62,8766.07,0.72131,0.97904,0.51151,0.01001,0.70934,0.84456,0.85563,0.89467,0.68943,0.89162,0.84213,0.90963,0.69788,0.85968,1.40126,0.57113,0.01889,0,0.0003961,0.0003961,0.0003961
63,8907.52,0.73881,0.99487,0.52195,0.01015,0.70382,0.87696,0.87402,0.90156,0.70087,0.89757,0.88976,0.91758,0.68904,0.84338,1.36659,0.64945,0.01821,0,0.0003862,0.0003862,0.0003862
64,9048.86,0.71814,0.96077,0.50274,0.0094,0.65606,0.90331,0.84252,0.89925,0.69659,0.91175,0.85039,0.90425,0.69572,0.91409,1.42706,0.57648,0.02056,0,0.0003763,0.0003763,0.0003763
65,9190.13,0.71598,0.93742,0.45984,0.00994,0.6051,0.89235,0.83465,0.86908,0.69196,0.90104,0.84252,0.88432,0.69603,0.82741,1.37737,0.70055,0.01825,0,0.0003664,0.0003664,0.0003664
66,9331.23,0.73037,0.97377,0.51377,0.01019,0.70141,0.85224,0.86287,0.89598,0.70755,0.86001,0.87075,0.90031,0.70639,0.83149,1.45119,0.58134,0.01816,0,0.0003565,0.0003565,0.0003565
