epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,113.414,1.17843,1.87596,2.2664,0.01675,2.31826,0.48807,0.27559,0.30179,0.17365,0.35886,0.22047,0.18194,0.10685,1.69406,14.1221,2.90466,0.03991,0,0.000198182,0.000198182,0.08038
2,227.043,1.06145,1.58223,1.45427,0.01543,1.76766,0.69267,0.51969,0.58664,0.40444,0.70317,0.52756,0.59633,0.42518,1.2721,2.02907,1.59503,0.03007,0,0.00039424,0.00039424,0.0605761
3,340.401,1.17068,1.56343,1.30248,0.01679,1.68027,0.69967,0.56866,0.64409,0.4272,0.69653,0.59055,0.65121,0.46464,1.30314,1.87516,1.44266,0.03076,0,0.000586338,0.000586338,0.0407682
4,453.557,1.12817,1.50938,1.25883,0.01755,1.6938,0.63189,0.5677,0.63444,0.40931,0.66713,0.59969,0.6683,0.42563,1.22277,2.02088,1.51474,0.0287,0,0.000774476,0.000774476,0.0209563
5,566.694,1.13404,1.53131,1.21349,0.0171,1.61965,0.79832,0.74016,0.80367,0.56908,0.80682,0.74803,0.82049,0.58463,1.10975,1.70379,1.00018,0.02579,0,0.000958654,0.000958654,0.00114047
6,679.991,1.21075,1.51185,1.19974,0.0181,1.56233,0.74463,0.73472,0.7504,0.45747,0.76801,0.75597,0.78274,0.49107,1.27297,1.65238,1.1298,0.02981,0,0.0009505,0.0009505,0.0009505
7,793.246,1.15087,1.44727,1.17961,0.01681,1.53552,0.75666,0.77953,0.79316,0.52446,0.77195,0.79528,0.81747,0.57016,1.23028,1.60239,1.05358,0.02924,0,0.0009406,0.0009406,0.0009406
8,906.465,1.11308,1.39739,1.09217,0.01621,1.43075,0.81816,0.6378,0.79611,0.58574,0.83012,0.64567,0.79336,0.59443,1.03196,1.56598,1.00575,0.02347,0,0.0009307,0.0009307,0.0009307
9,1019.84,1.0966,1.47614,1.094,0.01654,1.62611,0.75738,0.7874,0.81705,0.58853,0.75506,0.7874,0.8182,0.5978,1.04783,1.61243,0.92821,0.02435,0,0.0009208,0.0009208,0.0009208
10,1133.21,1.09645,1.41871,1.06765,0.01669,1.45646,0.80655,0.72224,0.81094,0.56549,0.80524,0.71624,0.82073,0.56473,1.20416,2.20074,0.92393,0.02988,0,0.0009109,0.0009109,0.0009109
11,1246.37,1.1349,1.37112,1.02139,0.01706,1.34671,0.83474,0.74016,0.82572,0.58228,0.84404,0.74803,0.83504,0.59678,1.09479,1.62013,0.9959,0.02567,0,0.000901,0.000901,0.000901
12,1359.53,1.0711,1.34444,0.95481,0.01716,1.28922,0.88231,0.75591,0.84864,0.61135,0.83977,0.81102,0.87081,0.63406,1.04179,1.55389,0.88357,0.02403,0,0.0008911,0.0008911,0.0008911
13,1472.93,1.05196,1.31325,0.90442,0.01577,1.25347,0.74089,0.83465,0.85598,0.61445,0.75399,0.82677,0.86938,0.62841,1.03502,1.55766,0.80603,0.02513,0,0.0008812,0.0008812,0.0008812
14,1586.15,1.05171,1.38702,0.96358,0.01557,1.36942,0.76457,0.7927,0.81286,0.57017,0.77975,0.80845,0.82201,0.5889,1.19372,1.55151,0.81965,0.02896,0,0.0008713,0.0008713,0.0008713
15,1699.37,1.06692,1.33427,0.96511,0.016,1.28606,0.81325,0.85827,0.86926,0.61499,0.86213,0.7874,0.88122,0.63449,1.05844,1.64921,0.85132,0.02496,0,0.0008614,0.0008614,0.0008614
16,1812.71,1.04567,1.38334,0.97936,0.01519,1.23929,0.79608,0.80315,0.85334,0.6086,0.79608,0.80315,0.84645,0.62913,1.03769,1.45861,0.90174,0.02414,0,0.0008515,0.0008515,0.0008515
17,1925.96,1.02162,1.30192,0.94863,0.0153,1.2717,0.89039,0.76756,0.88182,0.58641,0.90205,0.79767,0.87713,0.62934,1.18419,1.63026,0.81828,0.02859,0,0.0008416,0.0008416,0.0008416
18,2039.1,1.01194,1.24721,0.90885,0.01548,1.21002,0.86468,0.8189,0.88643,0.60996,0.84151,0.83615,0.89436,0.66163,1.1039,1.48804,0.79012,0.02518,0,0.0008317,0.0008317,0.0008317
19,2152.17,0.99999,1.27388,0.88244,0.01438,1.18591,0.85985,0.77953,0.86409,0.58795,0.84216,0.76378,0.84195,0.61657,1.05295,1.34678,0.8469,0.0254,0,0.0008218,0.0008218,0.0008218
20,2265.33,0.99944,1.27216,0.84777,0.01462,1.19954,0.8378,0.77165,0.82138,0.5794,0.8378,0.77165,0.8104,0.5929,1.0092,1.53878,0.92364,0.02412,0,0.0008119,0.0008119,0.0008119
21,2378.34,0.9051,1.2103,0.80177,0.01319,1.10351,0.83239,0.81102,0.86064,0.65265,0.87784,0.84874,0.90389,0.64822,0.93704,1.59267,0.7761,0.02175,0,0.000802,0.000802,0.000802
22,2491.58,0.94375,1.23311,0.78474,0.01424,1.13841,0.87534,0.77165,0.86252,0.65965,0.87534,0.77165,0.86869,0.6556,0.91385,1.48622,0.85794,0.02032,0,0.0007921,0.0007921,0.0007921
23,2604.88,0.96503,1.2159,0.82272,0.01383,1.02466,0.9239,0.74016,0.88416,0.64924,0.93373,0.74803,0.89321,0.65542,1.03206,1.67434,0.71021,0.02459,0,0.0007822,0.0007822,0.0007822
24,2717.93,0.93288,1.17006,0.78286,0.01308,1.04383,0.82358,0.85827,0.88339,0.67937,0.82144,0.86935,0.89633,0.6721,0.89363,1.4298,0.68511,0.02026,0,0.0007723,0.0007723,0.0007723
25,2830.92,0.92517,1.18118,0.80158,0.01329,1.04371,0.85063,0.77953,0.87664,0.63864,0.85063,0.77953,0.87728,0.65758,1.02396,1.40399,0.76816,0.02443,0,0.0007624,0.0007624,0.0007624
26,2943.88,0.98443,1.25064,0.86146,0.0147,1.13201,0.80341,0.88189,0.87528,0.6662,0.81088,0.88976,0.87864,0.67326,0.92247,1.42863,0.71966,0.02118,0,0.0007525,0.0007525,0.0007525
27,3057,0.89414,1.19333,0.77818,0.0131,1.04444,0.92101,0.74016,0.87713,0.66618,0.93081,0.74803,0.88282,0.67882,0.91305,1.40672,0.74078,0.02079,0,0.0007426,0.0007426,0.0007426
28,3170.12,0.89538,1.13618,0.73767,0.01289,0.98769,0.84359,0.77165,0.85831,0.63893,0.8522,0.77953,0.86951,0.65337,1.00776,1.42063,0.74773,0.02409,0,0.0007327,0.0007327,0.0007327
29,3283.25,0.89744,1.23947,0.78766,0.01248,1.07389,0.80645,0.86614,0.87364,0.64323,0.83027,0.82677,0.87943,0.64991,1.02635,1.43856,0.66174,0.02403,0,0.0007228,0.0007228,0.0007228
30,3396.46,0.89466,1.16687,0.77057,0.01286,1.00299,0.82945,0.72759,0.83288,0.5658,0.80965,0.70333,0.81047,0.58198,1.13401,1.78754,0.8955,0.0265,0,0.0007129,0.0007129,0.0007129
31,3509.56,0.91369,1.1545,0.73557,0.01304,1.06266,0.76865,0.80315,0.82785,0.6229,0.78397,0.8189,0.8467,0.61313,0.9549,1.50106,0.81422,0.02227,0,0.000703,0.000703,0.000703
32,3622.5,0.8972,1.17846,0.76921,0.01268,0.91638,0.89154,0.8189,0.90007,0.70796,0.90051,0.82677,0.90933,0.69003,0.86253,1.44517,0.60103,0.01982,0,0.0006931,0.0006931,0.0006931
33,3735.6,0.91409,1.15448,0.76979,0.01318,0.98102,0.8524,0.81852,0.884,0.67184,0.8606,0.8264,0.89553,0.68491,0.96259,1.35296,0.68457,0.02293,0,0.0006832,0.0006832,0.0006832
34,3848.5,0.87358,1.13067,0.73772,0.01254,1.03293,0.80745,0.81102,0.86596,0.64778,0.82313,0.82677,0.89061,0.65831,0.92933,1.45904,0.77288,0.02151,0,0.0006733,0.0006733,0.0006733
