epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,109.251,1.14853,1.83709,2.16145,0.0164,2.54484,0.5508,0.22209,0.22296,0.14837,0.47739,0.17323,0.19379,0.10503,1.49703,7.69979,3.33894,0.0347,0,0.000198182,0.000198182,0.08038
2,218.286,1.17868,1.73572,1.58832,0.01736,1.85198,0.55954,0.7102,0.67286,0.46422,0.57597,0.74016,0.69713,0.48674,1.09263,1.74442,1.57023,0.02539,0,0.00039424,0.00039424,0.0605761
3,327.061,1.14859,1.57852,1.42778,0.01702,1.64564,0.59512,0.45669,0.49302,0.31945,0.5985,0.45669,0.4912,0.30404,1.28879,2.26731,1.97336,0.03035,0,0.000586338,0.000586338,0.0407682
4,435.732,1.11931,1.5053,1.28026,0.01679,1.74171,0.66783,0.66492,0.70955,0.48643,0.70748,0.67717,0.71919,0.50508,1.17589,1.79582,1.18728,0.02777,0,0.000774476,0.000774476,0.0209563
5,544.482,1.15084,1.5249,1.30161,0.01766,1.56919,0.75779,0.64567,0.73899,0.48563,0.77414,0.66142,0.76627,0.5231,1.25684,1.88215,1.22769,0.02967,0,0.000958654,0.000958654,0.00114047
6,653.167,1.17073,1.53663,1.28414,0.01736,1.63835,0.73513,0.72441,0.76356,0.46454,0.7646,0.66498,0.75848,0.49293,1.39566,1.83255,1.13129,0.03341,0,0.0009505,0.0009505,0.0009505
7,761.635,1.21846,1.47355,1.22222,0.01896,1.56981,0.74987,0.66096,0.75216,0.47871,0.76743,0.67556,0.78324,0.52159,1.26351,1.64433,1.19817,0.03026,0,0.0009406,0.0009406,0.0009406
8,870.035,1.14938,1.47696,1.17501,0.01749,1.52288,0.74174,0.75591,0.7524,0.51474,0.73927,0.75591,0.75724,0.55556,1.14468,1.68498,1.1032,0.02682,0,0.0009307,0.0009307,0.0009307
9,978.655,1.14886,1.45071,1.19491,0.01687,1.50852,0.8664,0.71493,0.84829,0.58189,0.87595,0.7228,0.861,0.59726,1.1641,1.66706,0.9676,0.02696,0,0.0009208,0.0009208,0.0009208
10,1087.14,1.099,1.38703,1.03439,0.01665,1.34536,0.73299,0.77165,0.81141,0.55838,0.80581,0.71654,0.82752,0.57219,1.19583,1.85628,0.95773,0.02745,0,0.0009109,0.0009109,0.0009109
11,1195.54,1.07513,1.34213,1.08122,0.01555,1.37634,0.69722,0.79782,0.81173,0.56468,0.8493,0.70079,0.81912,0.60744,1.12031,1.62335,0.96584,0.02698,0,0.000901,0.000901,0.000901
12,1304.02,1.06429,1.39057,1.07567,0.01621,1.41353,0.73963,0.75591,0.79767,0.55006,0.748,0.76378,0.81433,0.57574,1.08753,1.51494,0.90822,0.02561,0,0.0008911,0.0008911,0.0008911
13,1412.53,1.05368,1.39063,1.03513,0.01493,1.25712,0.77827,0.77386,0.84444,0.54068,0.77827,0.77386,0.84628,0.58182,1.2115,1.49366,0.93886,0.02909,0,0.0008812,0.0008812,0.0008812
14,1520.95,1.07816,1.31377,1.00713,0.01596,1.38632,0.7442,0.74016,0.76617,0.53247,0.77353,0.74016,0.79103,0.56751,1.17494,1.47464,0.96526,0.02771,0,0.0008713,0.0008713,0.0008713
15,1629.44,1.04355,1.30145,0.96693,0.01526,1.20783,0.80616,0.81868,0.81459,0.55246,0.81391,0.82656,0.84029,0.58077,1.14021,1.62681,0.95724,0.02621,0,0.0008614,0.0008614,0.0008614
16,1737.82,1.0237,1.28684,0.93625,0.015,1.20387,0.84614,0.71654,0.83013,0.59874,0.86582,0.73228,0.84058,0.60637,1.04403,1.58051,0.83617,0.02373,0,0.0008515,0.0008515,0.0008515
17,1846.47,1.03067,1.31881,0.94537,0.01538,1.17549,0.85786,0.81102,0.853,0.63295,0.85923,0.8189,0.86666,0.62756,1.00681,1.56511,0.85692,0.02251,0,0.0008416,0.0008416,0.0008416
18,1955,0.98378,1.24159,0.90113,0.01433,1.09087,0.72396,0.70866,0.8112,0.57577,0.74909,0.73228,0.83563,0.59584,1.0798,1.47965,0.93902,0.02559,0,0.0008317,0.0008317,0.0008317
19,2063.55,0.95875,1.24705,0.9137,0.01414,1.21839,0.83341,0.81102,0.85412,0.58699,0.83446,0.81102,0.85523,0.61542,1.0879,1.44956,0.87717,0.0258,0,0.0008218,0.0008218,0.0008218
20,2171.99,0.97704,1.21988,0.89162,0.01438,1.1221,0.84259,0.75591,0.8524,0.61326,0.86014,0.77165,0.86562,0.61527,1.02443,1.5159,0.81332,0.02278,0,0.0008119,0.0008119,0.0008119
