epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,128.285,1.22531,2.03264,2.05365,0.018,2.46048,0.63846,0.5145,0.58139,0.33278,0.658,0.53025,0.57495,0.34076,1.69825,4.11229,2.11424,0.03934,0,0.000198182,0.000198182,0.08038
2,255.131,1.17335,1.58611,1.34971,0.01688,1.92344,0.75857,0.71747,0.7895,0.49555,0.76557,0.70866,0.77917,0.54519,1.37347,2.14845,1.1771,0.03256,0,0.00039424,0.00039424,0.0605761
3,381.934,1.26458,1.69483,1.30009,0.01918,1.8083,0.67468,0.62992,0.67658,0.39789,0.69155,0.64567,0.67245,0.42399,1.45875,2.52387,1.29649,0.03587,0,0.000586338,0.000586338,0.0407682
4,508.726,1.20525,1.55716,1.32141,0.01843,1.79816,0.71441,0.66142,0.73628,0.47586,0.74557,0.66912,0.74656,0.51696,1.25644,1.79705,1.17999,0.0296,0,0.000774476,0.000774476,0.0209563
5,635.368,1.19582,1.55286,1.2561,0.0181,1.69055,0.65732,0.70866,0.73087,0.43872,0.77538,0.66929,0.78481,0.49032,1.37122,1.72873,1.1708,0.03377,0,0.000958654,0.000958654,0.00114047
6,761.913,1.18284,1.44889,1.14681,0.01776,1.52175,0.83585,0.68504,0.80063,0.52641,0.84581,0.69291,0.80944,0.57502,1.3213,1.61846,1.02737,0.0307,0,0.0009505,0.0009505,0.0009505
7,888.881,1.14943,1.47062,1.07051,0.01814,1.55761,0.8276,0.74016,0.84185,0.55803,0.84012,0.74016,0.84299,0.57955,1.22289,1.6096,0.90824,0.02973,0,0.0009406,0.0009406,0.0009406
8,1016.26,1.16168,1.41968,1.06723,0.01744,1.47226,0.73801,0.75416,0.8113,0.55629,0.7225,0.74016,0.79963,0.57488,1.11357,1.72248,1.07072,0.0266,0,0.0009307,0.0009307,0.0009307
9,1143.26,1.15507,1.41501,1.10489,0.01698,1.45038,0.86201,0.73787,0.82782,0.55322,0.87121,0.74574,0.85541,0.59976,1.24953,1.63786,0.99501,0.02833,0,0.0009208,0.0009208,0.0009208
10,1270.17,1.11718,1.37298,1.00567,0.01701,1.38877,0.85041,0.8189,0.85003,0.57161,0.843,0.79528,0.84703,0.5842,1.221,1.79576,0.85397,0.02898,0,0.0009109,0.0009109,0.0009109
11,1397,1.13105,1.39609,1.01253,0.01739,1.47231,0.8109,0.70909,0.79786,0.52677,0.8182,0.70873,0.80954,0.56481,1.2928,1.77996,0.88574,0.03109,0,0.000901,0.000901,0.000901
12,1523.71,1.11952,1.36257,1.03576,0.01667,1.46458,0.78991,0.74015,0.828,0.54867,0.79832,0.74802,0.84662,0.58309,1.13857,1.65598,0.92665,0.02735,0,0.0008911,0.0008911,0.0008911
13,1650.3,1.05406,1.34919,0.95176,0.01611,1.38286,0.80443,0.7874,0.83953,0.59661,0.81247,0.79528,0.84646,0.60822,1.05049,1.52939,0.8806,0.02491,0,0.0008812,0.0008812,0.0008812
14,1777.14,1.06843,1.42785,0.95987,0.01577,1.3901,0.80218,0.79827,0.84751,0.59504,0.81777,0.81269,0.8695,0.6204,1.14874,1.57596,0.8696,0.02675,0,0.0008713,0.0008713,0.0008713
15,1903.83,1.06779,1.35553,0.95611,0.0158,1.28109,0.81401,0.82707,0.86536,0.58265,0.82176,0.83495,0.87533,0.6165,1.22326,1.48612,0.79801,0.02798,0,0.0008614,0.0008614,0.0008614
16,2030.41,1.05078,1.37033,0.9704,0.01558,1.37081,0.82729,0.77165,0.8462,0.5852,0.82729,0.77165,0.8454,0.61879,1.1391,1.46645,0.83815,0.02649,0,0.0008515,0.0008515,0.0008515
17,2157,1.01956,1.34677,0.96797,0.01479,1.24579,0.78975,0.85039,0.86294,0.63522,0.79706,0.85827,0.87164,0.64614,0.99206,1.47926,0.81463,0.02245,0,0.0008416,0.0008416,0.0008416
18,2283.67,1.0216,1.30193,0.84485,0.01503,1.23295,0.76889,0.76378,0.83324,0.5815,0.77682,0.77165,0.83593,0.61021,1.05782,1.54268,0.91541,0.02457,0,0.0008317,0.0008317,0.0008317
