epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,142.53,1.19318,1.83652,1.8822,0.01737,2.36374,0.55364,0.38091,0.36762,0.23134,0.57431,0.37795,0.36849,0.24094,1.32673,2.87476,2.733,0.03105,0,0.000198182,0.000198182,0.08038
2,283.084,1.09315,1.49997,1.15247,0.01554,1.86819,0.75866,0.70866,0.78651,0.48791,0.73896,0.69291,0.76457,0.46809,1.4244,2.45298,1.00455,0.0343,0,0.00039424,0.00039424,0.0605761
3,423.648,1.13209,1.59961,1.08207,0.0172,1.67956,0.73831,0.75531,0.78522,0.50971,0.74038,0.76348,0.77998,0.53472,1.35596,2.08054,1.03888,0.03297,0,0.000586338,0.000586338,0.0407682
4,564.677,1.15883,1.54891,1.11025,0.01794,1.69929,0.84423,0.64567,0.78218,0.5023,0.73693,0.74997,0.79292,0.55838,1.3433,1.74474,0.99083,0.03269,0,0.000774476,0.000774476,0.0209563
5,705.667,1.14576,1.5718,1.02576,0.0174,1.65019,0.84724,0.72441,0.82812,0.50307,0.83778,0.71654,0.82723,0.53167,1.35289,1.82409,1.039,0.03425,0,0.000958654,0.000958654,0.00114047
6,846.009,1.13302,1.45705,1.02636,0.01696,1.47482,0.83078,0.69583,0.80375,0.54489,0.8495,0.71112,0.82064,0.58182,1.20369,1.78093,0.97294,0.028,0,0.0009505,0.0009505,0.0009505
7,986.515,1.12991,1.45009,1.00031,0.01723,1.5273,0.75963,0.81102,0.84689,0.58905,0.7903,0.84252,0.87098,0.62892,1.14901,1.55998,0.86503,0.02748,0,0.0009406,0.0009406,0.0009406
8,1127.02,1.11716,1.39555,0.95884,0.01658,1.41556,0.76935,0.78791,0.85738,0.59768,0.84971,0.71654,0.85775,0.60921,1.17892,1.72649,0.82681,0.02788,0,0.0009307,0.0009307,0.0009307
9,1267.32,1.11142,1.40425,1.00761,0.01614,1.39148,0.88593,0.73387,0.83578,0.57639,0.9082,0.74803,0.84052,0.58151,1.13454,1.71313,0.97588,0.02745,0,0.0009208,0.0009208,0.0009208
10,1407.6,1.05349,1.37886,0.97456,0.01565,1.40198,0.85771,0.7874,0.83417,0.60979,0.87171,0.80253,0.84988,0.62679,1.04793,1.61916,0.75726,0.02463,0,0.0009109,0.0009109,0.0009109
11,1547.87,1.10649,1.41464,0.94959,0.01681,1.47076,0.8778,0.70866,0.84985,0.58916,0.77758,0.80315,0.85459,0.61952,1.13074,1.69283,0.81629,0.02697,0,0.000901,0.000901,0.000901
12,1688,1.11441,1.35735,0.95848,0.01675,1.46735,0.85471,0.71654,0.84306,0.59458,0.83562,0.76378,0.85132,0.61105,1.11212,1.66958,0.88036,0.02661,0,0.0008911,0.0008911,0.0008911
13,1828.12,1.07123,1.32318,0.86743,0.01615,1.32559,0.83537,0.81102,0.86986,0.59948,0.84348,0.8189,0.87336,0.63455,1.08157,1.49413,0.85103,0.02466,0,0.0008812,0.0008812,0.0008812
14,1967.93,1.08024,1.36281,0.89853,0.01578,1.42985,0.84461,0.79528,0.86884,0.6333,0.85601,0.80315,0.88543,0.65234,1.07764,1.52484,0.73442,0.02543,0,0.0008713,0.0008713,0.0008713
15,2107.77,1.02499,1.30224,0.83061,0.01508,1.26064,0.81143,0.8189,0.87396,0.60976,0.81409,0.82677,0.88048,0.63725,1.07146,1.55445,0.71607,0.02472,0,0.0008614,0.0008614,0.0008614
16,2247.49,1.02119,1.34132,0.88368,0.0151,1.33852,0.86582,0.71134,0.81721,0.60331,0.88568,0.73202,0.84254,0.62231,1.06579,1.51398,0.78731,0.02572,0,0.0008515,0.0008515,0.0008515
17,2387.15,0.98786,1.32269,0.83474,0.01426,1.17501,0.90306,0.75591,0.86583,0.62614,0.90306,0.75591,0.87315,0.63847,1.05155,1.62345,0.77096,0.02419,0,0.0008416,0.0008416,0.0008416
18,2526.99,0.97501,1.27927,0.77856,0.01414,1.14319,0.86953,0.81102,0.85389,0.63827,0.84487,0.85827,0.86097,0.64235,1.03188,1.50327,0.71848,0.02444,0,0.0008317,0.0008317,0.0008317
19,2666.76,0.99544,1.29236,0.85299,0.01414,1.11596,0.9051,0.79528,0.87927,0.63548,0.83635,0.82677,0.8816,0.62888,1.09685,1.64064,0.76656,0.02556,0,0.0008218,0.0008218,0.0008218
20,2806.33,0.95964,1.25861,0.78435,0.01431,1.10647,0.88366,0.77751,0.8825,0.63429,0.88366,0.77751,0.88483,0.6484,1.03765,1.54769,0.7259,0.02361,0,0.0008119,0.0008119,0.0008119
21,2946.04,0.96659,1.22104,0.79342,0.01391,1.09463,0.77811,0.85827,0.87902,0.65077,0.79253,0.87402,0.89407,0.65955,1.00852,1.54495,0.75112,0.02348,0,0.000802,0.000802,0.000802
22,3085.97,0.95966,1.25012,0.78056,0.01363,1.08462,0.80743,0.83465,0.87904,0.63352,0.87374,0.76284,0.87099,0.63584,1.02152,1.50999,0.797,0.02398,0,0.0007921,0.0007921,0.0007921
23,3225.78,0.99073,1.22873,0.80345,0.01488,1.11488,0.85001,0.7874,0.87335,0.65682,0.86442,0.80315,0.89694,0.66094,0.97103,1.56766,0.73967,0.02271,0,0.0007822,0.0007822,0.0007822
24,3365.85,0.93645,1.22347,0.76039,0.01384,1.09188,0.88763,0.79528,0.87907,0.63641,0.88763,0.79528,0.88553,0.65455,1.04015,1.53669,0.76891,0.02337,0,0.0007723,0.0007723,0.0007723
25,3505.78,0.95367,1.23075,0.76551,0.01382,0.99297,0.82114,0.83465,0.87484,0.64304,0.81241,0.82677,0.8705,0.6517,1.05907,1.56116,0.66989,0.02456,0,0.0007624,0.0007624,0.0007624
26,3645.77,0.94513,1.20909,0.73818,0.01386,1.1296,0.84267,0.84347,0.8911,0.64339,0.84138,0.8189,0.8915,0.6533,1.02658,1.53666,0.62903,0.02448,0,0.0007525,0.0007525,0.0007525
27,3785.99,0.86692,1.18505,0.71011,0.01263,0.99217,0.81964,0.85878,0.89213,0.687,0.82716,0.86614,0.89654,0.68442,0.96997,1.46638,0.61604,0.0228,0,0.0007426,0.0007426,0.0007426
28,3926.2,0.9021,1.19905,0.73974,0.01298,1.01012,0.87979,0.80678,0.88898,0.64975,0.8799,0.80767,0.88302,0.65417,1.001,1.50819,0.63164,0.02279,0,0.0007327,0.0007327,0.0007327
29,4066.32,0.93196,1.17638,0.78746,0.01371,1.02178,0.85725,0.81102,0.86075,0.65437,0.85725,0.81102,0.86474,0.64534,0.95578,1.55174,0.66417,0.02168,0,0.0007228,0.0007228,0.0007228
30,4206.3,0.89302,1.16805,0.7209,0.0124,0.98128,0.90276,0.80413,0.90277,0.66302,0.90276,0.80413,0.90726,0.68376,0.99838,1.35096,0.6486,0.02263,0,0.0007129,0.0007129,0.0007129
31,4346.18,0.89998,1.12924,0.69539,0.0128,0.97524,0.87381,0.81787,0.8836,0.65332,0.8654,0.80999,0.87911,0.6547,0.9836,1.46955,0.70492,0.02326,0,0.000703,0.000703,0.000703
32,4486.28,0.89914,1.15496,0.71621,0.01299,1.03131,0.81084,0.84383,0.8855,0.65759,0.80328,0.83596,0.89785,0.65992,0.98658,1.42847,0.66583,0.02324,0,0.0006931,0.0006931,0.0006931
33,4626.44,0.87342,1.13686,0.68176,0.01248,0.99612,0.76572,0.84929,0.85794,0.65846,0.90178,0.74016,0.86342,0.65561,0.95853,1.4627,0.72938,0.02201,0,0.0006832,0.0006832,0.0006832
34,4766.25,0.89103,1.14196,0.69422,0.01278,0.97765,0.88779,0.80986,0.86525,0.65914,0.90504,0.82548,0.88658,0.66174,0.95816,1.44476,0.70357,0.0218,0,0.0006733,0.0006733,0.0006733
35,4906.37,0.85466,1.1,0.65996,0.01244,0.87339,0.87841,0.85325,0.89236,0.65818,0.88651,0.86113,0.90398,0.66471,0.99978,1.59863,0.63319,0.02415,0,0.0006634,0.0006634,0.0006634
36,5046.31,0.85453,1.12991,0.66677,0.0122,0.952,0.88733,0.85827,0.91946,0.68559,0.89736,0.86614,0.92921,0.69907,0.96587,1.3707,0.64368,0.02306,0,0.0006535,0.0006535,0.0006535
37,5186.32,0.85962,1.12272,0.69899,0.0122,0.94162,0.91178,0.8189,0.89983,0.68751,0.91178,0.8189,0.89854,0.69197,0.94605,1.40317,0.64782,0.02151,0,0.0006436,0.0006436,0.0006436
38,5326.17,0.81439,1.06705,0.62132,0.0118,0.92131,0.83726,0.87402,0.89321,0.66672,0.85246,0.88976,0.90032,0.67698,0.97545,1.37332,0.67562,0.02309,0,0.0006337,0.0006337,0.0006337
39,5466.08,0.84587,1.10626,0.65799,0.01198,0.94288,0.9296,0.83177,0.89901,0.69389,0.93836,0.83911,0.89976,0.69462,0.93778,1.37338,0.60246,0.02109,0,0.0006238,0.0006238,0.0006238
40,5606.06,0.85107,1.13588,0.67491,0.01195,0.89915,0.85706,0.85827,0.89929,0.66856,0.85706,0.85827,0.89929,0.68402,0.96842,1.51477,0.70183,0.02293,0,0.0006139,0.0006139,0.0006139
41,5746.08,0.82832,1.1233,0.66879,0.01169,0.93872,0.84192,0.85827,0.8826,0.68592,0.84192,0.85827,0.87939,0.68046,0.88718,1.48815,0.63115,0.01953,0,0.000604,0.000604,0.000604
42,5885.95,0.82895,1.11762,0.62738,0.01194,0.86008,0.81236,0.88189,0.86404,0.64163,0.81961,0.88976,0.88324,0.66159,0.97313,1.36517,0.68235,0.02267,0,0.0005941,0.0005941,0.0005941
43,6026.07,0.79361,1.09337,0.62299,0.01091,0.83768,0.89648,0.82677,0.88064,0.69252,0.89648,0.82677,0.88315,0.68076,0.89575,1.4642,0.64699,0.02051,0,0.0005842,0.0005842,0.0005842
44,6166.18,0.81507,1.09774,0.62743,0.01159,0.81592,0.90243,0.85039,0.88292,0.69226,0.91914,0.86614,0.89805,0.68641,0.88618,1.43159,0.57601,0.02081,0,0.0005743,0.0005743,0.0005743
45,6306.35,0.79783,1.07612,0.6268,0.0115,0.8944,0.86571,0.83465,0.89302,0.69736,0.8823,0.85039,0.89781,0.69725,0.8966,1.32364,0.64146,0.02097,0,0.0005644,0.0005644,0.0005644
46,6446.66,0.82623,1.0764,0.63917,0.01141,0.78259,0.85008,0.89293,0.916,0.68968,0.85008,0.89293,0.91904,0.68913,0.91111,1.48167,0.60748,0.0218,0,0.0005545,0.0005545,0.0005545
47,6586.81,0.7968,1.06778,0.59961,0.01126,0.81834,0.91887,0.80259,0.87097,0.68007,0.86541,0.86073,0.88723,0.66964,0.86114,1.38241,0.7202,0.01904,0,0.0005446,0.0005446,0.0005446
48,6726.94,0.8322,1.08281,0.62543,0.01172,0.85537,0.90145,0.86427,0.90443,0.67098,0.9096,0.87151,0.917,0.69042,0.93789,1.47818,0.59891,0.02145,0,0.0005347,0.0005347,0.0005347
49,6867.06,0.79767,1.02479,0.57255,0.01148,0.78162,0.91215,0.82677,0.9077,0.6959,0.90322,0.8189,0.89911,0.68859,0.86369,1.40907,0.65721,0.01991,0,0.0005248,0.0005248,0.0005248
50,7007.15,0.78521,1.03068,0.56156,0.01098,0.74868,0.84324,0.84715,0.90161,0.68781,0.88451,0.78399,0.88547,0.68209,0.89313,1.58088,0.56728,0.02047,0,0.0005149,0.0005149,0.0005149
51,7147.33,0.78759,1.04865,0.57995,0.01124,0.82329,0.84748,0.87502,0.88555,0.70931,0.86305,0.84361,0.88735,0.69601,0.79213,1.38864,0.63491,0.01782,0,0.000505,0.000505,0.000505
52,7287.27,0.74904,1.00233,0.55042,0.01066,0.77594,0.9057,0.79528,0.88065,0.68284,0.91467,0.80315,0.8848,0.6787,0.86149,1.51973,0.73139,0.0201,0,0.0004951,0.0004951,0.0004951
