epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,69.7602,1.16623,1.84472,2.54162,0.01673,2.36069,0.39624,0.3622,0.34567,0.1964,0.3923,0.35433,0.32851,0.19485,1.33043,2.97273,2.22562,0.02954,0,0.000198182,0.000198182,0.08038
2,137.204,1.17427,1.61464,1.63428,0.01679,1.90523,0.51574,0.55906,0.56737,0.40257,0.57249,0.48031,0.53714,0.36076,1.16691,2.41683,1.55672,0.02769,0,0.00039424,0.00039424,0.0605761
3,204.702,1.1633,1.55205,1.39031,0.01723,1.64715,0.63104,0.51181,0.55473,0.31295,0.62701,0.48977,0.54204,0.33087,1.48527,2.19373,1.83572,0.03598,0,0.000586338,0.000586338,0.0407682
4,271.774,1.20667,1.55672,1.35808,0.01822,1.70164,0.73285,0.66962,0.71159,0.46535,0.8107,0.607,0.67724,0.45073,1.2248,2.74384,1.2195,0.02793,0,0.000774476,0.000774476,0.0209563
5,338.983,1.16149,1.52645,1.31735,0.01776,1.59866,0.70979,0.63554,0.70641,0.45763,0.72699,0.65002,0.70867,0.47733,1.13946,1.83328,1.33873,0.02555,0,0.000958654,0.000958654,0.00114047
6,406.23,1.15315,1.52196,1.29785,0.01693,1.57262,0.6889,0.70079,0.74628,0.5018,0.6889,0.70079,0.74329,0.50799,1.19872,1.89953,1.2638,0.02882,0,0.0009505,0.0009505,0.0009505
7,473.526,1.14427,1.43451,1.18609,0.01692,1.41842,0.70358,0.74016,0.74534,0.47712,0.7192,0.71654,0.75439,0.51669,1.23185,1.76695,1.12881,0.02862,0,0.0009406,0.0009406,0.0009406
8,540.571,1.1629,1.40436,1.20433,0.01797,1.50543,0.65646,0.64567,0.69574,0.48053,0.71417,0.60991,0.70413,0.50455,1.23783,1.84457,1.19234,0.0296,0,0.0009307,0.0009307,0.0009307
9,607.716,1.14826,1.45511,1.23591,0.01781,1.54231,0.63697,0.70079,0.7053,0.47044,0.63463,0.71121,0.73173,0.49874,1.25356,1.93937,1.14072,0.02975,0,0.0009208,0.0009208,0.0009208
10,674.89,1.15239,1.38199,1.11081,0.01764,1.32645,0.78979,0.65354,0.71663,0.47157,0.79988,0.66092,0.72136,0.50037,1.21687,1.76944,1.24842,0.02918,0,0.0009109,0.0009109,0.0009109
