epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,166.482,1.18662,1.88514,2.16073,0.0172,2.43599,0.71914,0.43307,0.547,0.34257,0.72994,0.37008,0.45207,0.20651,1.34917,4.17249,2.08783,0.03174,0,0.000198462,0.000198462,0.0803523
2,329.828,1.22212,1.58249,1.46438,0.01799,2.09226,0.74568,0.5748,0.67099,0.41478,0.74905,0.55906,0.66387,0.41553,1.20486,2.44499,1.69411,0.02933,0,0.000394517,0.000394517,0.0605484
3,493.117,1.13814,1.58877,1.33877,0.01711,1.81822,0.68335,0.66142,0.68941,0.44237,0.68335,0.66142,0.69514,0.4369,1.17239,2.05167,1.48255,0.02983,0,0.000586612,0.000586612,0.0407405
4,656.855,1.15741,1.61472,1.30505,0.01732,1.76321,0.69057,0.70079,0.72887,0.46661,0.69057,0.70079,0.72529,0.49473,1.23089,1.83722,1.25016,0.03005,0,0.000774747,0.000774747,0.0209286
5,820.584,1.16076,1.49935,1.22087,0.01749,1.68206,0.72736,0.67222,0.73542,0.51164,0.72598,0.66758,0.74301,0.50947,1.0473,1.62486,1.08955,0.02665,0,0.000958922,0.000958922,0.00111277
6,984.011,1.19887,1.52589,1.25416,0.01857,1.74916,0.77766,0.5748,0.6751,0.44028,0.77838,0.60845,0.68961,0.47048,1.18702,1.71612,1.24023,0.02934,0,0.0009505,0.0009505,0.0009505
7,1147.48,1.12629,1.4999,1.17646,0.01662,1.65378,0.78474,0.71654,0.80449,0.50757,0.77636,0.73805,0.80561,0.55781,1.17307,1.62103,0.97746,0.02813,0,0.0009406,0.0009406,0.0009406
8,1311.45,1.12067,1.41573,1.13087,0.01662,1.53179,0.76225,0.66929,0.75276,0.51605,0.78162,0.68504,0.79366,0.54197,1.03485,1.62137,1.04329,0.02527,0,0.0009307,0.0009307,0.0009307
9,1476.01,1.13251,1.53918,1.15309,0.01728,1.58618,0.75642,0.58268,0.69371,0.42423,0.804,0.54912,0.6615,0.40043,1.22259,2.17729,1.62656,0.03168,0,0.0009208,0.0009208,0.0009208
10,1640.43,1.13392,1.49279,1.15107,0.01745,1.65002,0.79503,0.73299,0.80497,0.53003,0.80332,0.72441,0.79065,0.55433,1.11085,1.50184,0.92623,0.02616,0,0.0009109,0.0009109,0.0009109
11,1805.09,1.11889,1.41876,1.14664,0.01676,1.56963,0.73613,0.74685,0.78449,0.54838,0.72056,0.71654,0.78297,0.55875,1.02693,1.52628,0.99125,0.02452,0,0.000901,0.000901,0.000901
12,1969.92,1.11385,1.45977,1.0915,0.01702,1.53558,0.83854,0.69291,0.81175,0.55057,0.85816,0.70866,0.8421,0.57356,1.09093,1.46033,0.85844,0.02584,0,0.0008911,0.0008911,0.0008911
13,2134.94,1.08661,1.46844,1.12637,0.0163,1.57673,0.82931,0.76516,0.83522,0.57901,0.82931,0.76516,0.83884,0.60598,0.98689,1.41719,0.978,0.02365,0,0.0008812,0.0008812,0.0008812
14,2300.28,1.10684,1.47415,1.04747,0.0167,1.56901,0.80115,0.69792,0.79532,0.55357,0.80115,0.69792,0.79336,0.55699,1.08049,1.69512,1.00062,0.02755,0,0.0008713,0.0008713,0.0008713
15,2465.45,1.05973,1.39191,0.97983,0.0163,1.44183,0.8324,0.74303,0.83222,0.60184,0.82341,0.75591,0.83676,0.60012,0.97784,1.78181,0.92444,0.02316,0,0.0008614,0.0008614,0.0008614
16,2630.58,1.01974,1.32213,0.95545,0.01509,1.34768,0.8796,0.72441,0.84616,0.61613,0.8796,0.72441,0.846,0.61208,0.92824,1.52574,1.02553,0.02132,0,0.0008515,0.0008515,0.0008515
17,2795.65,1.07785,1.34897,0.99357,0.0158,1.34342,0.87352,0.79528,0.8527,0.63415,0.90085,0.78692,0.85399,0.64339,0.96109,1.31922,0.73645,0.0219,0,0.0008416,0.0008416,0.0008416
18,2960.81,1.01276,1.32648,0.93473,0.01522,1.36876,0.91689,0.74016,0.85145,0.6005,0.91245,0.73862,0.84419,0.61481,0.99538,1.49092,0.81541,0.023,0,0.0008317,0.0008317,0.0008317
19,3125.78,1.05344,1.30412,0.9351,0.01583,1.23542,0.82713,0.82677,0.85231,0.61833,0.83581,0.83465,0.87029,0.64591,0.95726,1.31597,0.75683,0.02297,0,0.0008218,0.0008218,0.0008218
20,3290.79,1.00829,1.30111,0.91171,0.01495,1.30762,0.83898,0.82056,0.85789,0.6138,0.83491,0.83627,0.86744,0.62763,0.99055,1.45235,0.73052,0.02463,0,0.0008119,0.0008119,0.0008119
21,3455.51,0.99893,1.25818,0.91682,0.01499,1.30064,0.86313,0.72441,0.88091,0.63816,0.87375,0.73228,0.89122,0.65053,0.91337,1.40731,0.86898,0.0211,0,0.000802,0.000802,0.000802
22,3620.44,1.01693,1.29801,0.87169,0.01516,1.22317,0.80411,0.80806,0.87548,0.59228,0.80774,0.80315,0.87409,0.63882,1.09875,1.37585,0.75165,0.02566,0,0.0007921,0.0007921,0.0007921
23,3785.32,0.97947,1.24697,0.85757,0.0147,1.26607,0.79728,0.83465,0.87482,0.61801,0.8086,0.83162,0.88037,0.6464,1.00057,1.33398,0.72299,0.02421,0,0.0007822,0.0007822,0.0007822
24,3950.2,0.95573,1.21723,0.81347,0.01399,1.14934,0.827,0.79528,0.85467,0.64021,0.827,0.79528,0.8562,0.65851,0.88657,1.35452,0.72578,0.02028,0,0.0007723,0.0007723,0.0007723
25,4115.19,0.96506,1.21066,0.80881,0.0147,1.23583,0.83402,0.79528,0.85802,0.61485,0.84269,0.79528,0.85753,0.64674,0.95863,1.29097,0.78038,0.02319,0,0.0007624,0.0007624,0.0007624
26,4280.11,0.97325,1.24946,0.86043,0.01401,1.16171,0.82743,0.8189,0.83082,0.61129,0.84492,0.83465,0.86731,0.62817,0.95653,1.43844,0.86166,0.02219,0,0.0007525,0.0007525,0.0007525
27,4444.79,0.9494,1.28123,0.882,0.01404,1.17912,0.79218,0.84252,0.86239,0.64165,0.79958,0.85039,0.86792,0.65211,0.89369,1.3612,0.72527,0.02008,0,0.0007426,0.0007426,0.0007426
28,4609.74,0.92815,1.26604,0.8604,0.01297,1.15148,0.87888,0.68564,0.82954,0.62298,0.7909,0.77434,0.84096,0.62481,0.95225,1.41417,0.89165,0.02229,0,0.0007327,0.0007327,0.0007327
29,4774.55,0.95829,1.25693,0.81562,0.01381,1.10072,0.81814,0.8189,0.85241,0.63537,0.82623,0.82677,0.86812,0.63228,0.90079,1.39108,0.83342,0.02056,0,0.0007228,0.0007228,0.0007228
30,4939.5,0.94511,1.25057,0.86509,0.01383,1.26334,0.81996,0.82677,0.85038,0.61306,0.82777,0.83465,0.8671,0.63067,0.97541,1.4235,0.79223,0.02231,0,0.0007129,0.0007129,0.0007129
31,5104.33,0.93516,1.23899,0.83871,0.01344,1.26776,0.85872,0.81359,0.85584,0.61245,0.88365,0.83721,0.87744,0.63882,0.95045,1.29534,0.70911,0.02146,0,0.000703,0.000703,0.000703
32,5269.21,0.94195,1.20428,0.82047,0.01305,1.12608,0.93432,0.78415,0.87766,0.65885,0.94371,0.79202,0.8898,0.65633,0.91412,1.49224,0.69254,0.02199,0,0.0006931,0.0006931,0.0006931
33,5434.47,0.90966,1.19716,0.80663,0.01397,1.2511,0.88616,0.75591,0.84398,0.63662,0.90565,0.77165,0.87183,0.6553,0.91712,1.38307,0.81488,0.02147,0,0.0006832,0.0006832,0.0006832
34,5599.35,0.89309,1.19482,0.78032,0.01295,1.16031,0.88754,0.77953,0.86099,0.66133,0.89651,0.7874,0.87102,0.66514,0.78951,1.37591,0.77563,0.01908,0,0.0006733,0.0006733,0.0006733
35,5764.25,0.90955,1.2455,0.78742,0.0128,1.17064,0.84813,0.80315,0.87518,0.65902,0.8569,0.81102,0.88354,0.65484,0.8419,1.28889,0.7586,0.01925,0,0.0006634,0.0006634,0.0006634
36,5928.98,0.92628,1.24897,0.78111,0.01275,1.07669,0.91118,0.72704,0.85866,0.6496,0.8613,0.78238,0.87054,0.6602,0.88341,1.28153,0.76474,0.02099,0,0.0006535,0.0006535,0.0006535
37,6094.23,0.90828,1.22407,0.74839,0.01328,1.02238,0.88366,0.77953,0.89258,0.66521,0.84051,0.83465,0.90593,0.66438,0.8822,1.46186,0.65646,0.02063,0,0.0006436,0.0006436,0.0006436
38,6259.31,0.92092,1.20333,0.78334,0.01299,1.00069,0.82064,0.86614,0.90045,0.6706,0.82064,0.86614,0.90448,0.67803,0.88697,1.32065,0.65146,0.0202,0,0.0006337,0.0006337,0.0006337
39,6424.61,0.87778,1.18038,0.77828,0.01266,1.00076,0.85198,0.84252,0.87918,0.67577,0.85994,0.85039,0.88059,0.67734,0.86691,1.20366,0.7024,0.02011,0,0.0006238,0.0006238,0.0006238
