image_name,split,width,height,number_of_polyps,polygon_points,contour_area,bbox_width,bbox_height,bbox_area
cju0qkwl35piu0993l0dewei2.jpg,train,622,529,1,23,92519.00,391,332,129812.00
cju0qoxqj9q6s0835b43399p4.jpg,train,1348,1070,1,19,389246.50,718,764,548552.00
cju0qx73cjw570799j4n5cjze.jpg,train,619,529,1,43,103701.00,355,511,181405.00
cju0roawvklrq0799vmjorwfv.jpg,train,622,528,2,34,6284.50,107,78,8346.00
cju0roawvklrq0799vmjorwfv.jpg,train,622,528,2,26,28929.50,135,296,39960.00
cju0rx1idathl0835detmsp84.jpg,train,617,528,1,34,23406.50,188,220,41360.00
cju0s2a9ekvms080138tjjpxr.jpg,train,626,547,1,27,70467.50,246,373,91758.00
cju171py4qiha0835u8sl59ds.jpg,train,616,530,1,36,119028.00,410,419,171790.00
cju175facms5f0993a5tjikvt.jpg,train,621,528,1,31,74857.50,438,305,133590.00
cju17bz250pgd0799u1hqkj5u.jpg,train,626,547,1,17,30707.50,181,265,47965.00
cju17g6ykn1cs0993dww6qdi8.jpg,train,605,510,1,38,96283.50,414,386,159804.00
cju17hw9hr9c5098800fu4u8e.jpg,train,623,528,1,27,7773.50,122,85,10370.00
cju17otoe119u0799nqcbl8n1.jpg,train,519,511,1,33,162887.00,503,453,227859.00
cju17r8il13910799dr2wme2e.jpg,train,622,531,1,53,3877.00,71,76,5396.00
cju17v6ih0u7808783zcbg1jy.jpg,train,622,528,1,32,114643.50,335,445,149075.00
cju17x0j4nfc10993y31pvlgs.jpg,train,459,526,1,16,169127.50,459,526,241434.00
cju17z0qongpa0993de4boim4.jpg,train,622,529,1,19,16503.00,149,160,23840.00
cju1819curo000988pd5xcqme.jpg,train,600,529,1,23,33777.50,230,205,47150.00
cju183od81ff608017ekzif89.jpg,train,622,511,2,16,16024.00,178,124,22072.00
cju183od81ff608017ekzif89.jpg,train,622,511,2,19,31940.50,185,219,40515.00
cju1871y11d6r0799k6cw4yze.jpg,train,480,531,1,20,38683.00,224,237,53088.00
cju18849rrsgr0988p90hkygb.jpg,train,619,528,1,16,37139.00,253,180,45540.00
cju18gzrq18zw0878wbf4ftw6.jpg,train,626,546,1,22,25851.00,237,191,45267.00
cju18ibp219ub08783i6o98g7.jpg,train,615,528,1,32,5886.00,74,111,8214.00
cju18kevfrojc0835bn90f1in.jpg,train,621,528,1,22,17269.00,217,145,31465.00
cju1alwgo30z60855fm3y23sm.jpg,train,622,529,1,24,27638.50,186,251,46686.00
cju1amqw6p8pw0993d9gc5crl.jpg,train,622,547,1,21,8164.00,134,89,11926.00
cju1aqqv02qwz0878a5cyhr67.jpg,train,626,547,1,21,18927.00,193,194,37442.00
cju1ats0y372e08011yazcsxm.jpg,train,623,528,1,21,50943.00,207,345,71415.00
cju1b0y2e396p08558ois175d.jpg,train,626,546,1,25,13586.00,131,162,21222.00
cju1b3zgj3d8e0801kpolea6c.jpg,train,601,528,1,22,44556.00,354,248,87792.00
cju1b75x63ddl0799sdp0i2j3.jpg,train,549,530,1,20,19312.50,134,221,29614.00
cju1bhnfitmge0835ynls0l6b.jpg,train,622,531,1,21,26778.50,234,162,37908.00
cju1bm8063nmh07996rsjjemq.jpg,train,607,530,1,33,77909.50,319,350,111650.00
cju1brhsj3rls0855a1vgdlen.jpg,train,570,530,1,19,11859.00,136,132,17952.00
cju1c0qb4tzi308355wtsnp0y.jpg,train,622,530,1,24,114441.50,460,396,182160.00
cju1c3218411b08014g9f6gig.jpg,train,626,546,1,22,53923.00,392,182,71344.00
cju1c4fcu40hl07992b8gj0c8.jpg,train,626,546,1,14,18371.00,165,158,26070.00
cju1c6yfz42md08550zgoz3pw.jpg,train,536,530,1,19,75621.00,332,279,92628.00
cju1c8ffau5770835g0g343o8.jpg,train,622,529,1,21,11537.50,121,144,17424.00
cju1cbokpuiw70988j4lq1fpi.jpg,train,615,529,1,22,13487.00,131,173,22663.00
cju1cdxvz48hw0801i0fjwcnk.jpg,train,577,505,1,20,18511.50,158,166,26228.00
cju1cfhyg48bb0799cl5pr2jh.jpg,train,626,547,1,22,55826.50,243,322,78246.00
cju1cj3f0qi5n0993ut8f49rj.jpg,train,616,530,1,28,76181.00,312,325,101400.00
cju1cnnziug1l0835yh4ropyg.jpg,train,570,531,1,30,57841.00,339,273,92547.00
cju1cqc7n4gpy0855jt246k68.jpg,train,616,529,1,19,11062.50,157,113,17741.00
cju1csmlc4ht10799b8ymmghg.jpg,train,612,546,1,19,43379.00,249,250,62250.00
cju1cu1u2474n0878tt7v4tdr.jpg,train,621,531,2,73,2576.50,54,68,3672.00
cju1cu1u2474n0878tt7v4tdr.jpg,train,621,531,2,56,4003.00,58,95,5510.00
cju1cvkfwqrec0993wbp1jlzm.jpg,train,622,531,1,18,13708.00,143,133,19019.00
cju1cyjb5qtie0993njqne9m3.jpg,train,626,547,1,25,173046.50,469,453,212457.00
cju1d31sp4d4k0878r3fr02ul.jpg,train,622,529,1,14,26774.00,191,192,36672.00
cju1d50a94qf50855wsowacrc.jpg,train,622,530,1,20,19787.50,182,161,29302.00
