metric,baseline_mean,baseline_std,tsvm_mean,tsvm_std,delta,pct_change,p_value,is_significant
Mask mAP@50,0.91438,0.0065021381098835564,0.9141133333333333,0.008839754898562887,-0.0002666666666666743,-0.029163659164316184,0.9640830751917219,False
Mask mAP@50-95,0.7290866666666668,0.015267422397597675,0.72309,0.005515099273811851,-0.0059966666666666875,-0.8224902389290738,0.4682538652713937,False
Mask Precision,0.9198466666666665,0.013883955728345814,0.9192316666666667,0.0191916725864805,-0.0006149999999999581,-0.0668589692484934,0.939706606040572,False
Mask Recall,0.8759533333333334,0.01746163069895439,0.8493116666666666,0.024287673759886264,-0.026641666666666675,-3.0414481745602897,0.049460892078541506,True
Mask F1-Score,0.8971526127253583,0.005376680487952046,0.8825036493333437,0.009380776901149631,-0.014648963392014713,-1.632828482493551,0.004223432781067439,True
Box mAP@50,0.9099416666666666,0.006839928118530692,0.9055749999999999,0.009276455680916076,-0.004366666666666648,-0.4798842416638409,0.510344773681392,False
Box mAP@50-95,0.7404033333333334,0.01116131652927497,0.7397533333333334,0.00869336681997643,-0.0006500000000000209,-0.08778998833969154,0.929349954370533,False
Box Precision,0.917325,0.013700621518748722,0.9057616666666667,0.018378567318119945,-0.011563333333333333,-1.2605492419080842,0.2705300798285058,False
Box Recall,0.8663716666666667,0.0246116910566232,0.8428783333333333,0.028214909120297872,-0.023493333333333328,-2.711692249092479,0.15963180201507815,False
Box F1-Score,0.8907906182913656,0.008170561044196273,0.8727415151741291,0.01111223908195011,-0.018049103117236454,-2.0261891792098816,0.015857910189536664,True
Val Seg Loss,1.4314483333333332,0.05396643194307613,1.3936266666666668,0.03657355583842876,-0.03782166666666664,-2.6421957248427863,0.03632782978846136,True
Val Box Loss,0.7503266666666666,0.013651137193166967,0.76866,0.03845194299382023,0.01833333333333335,2.443380216616765,0.2604998286606495,False
Val Cls Loss,0.568115,0.04004361060144302,0.5937916666666666,0.030193193548657044,0.025676666666666643,4.519624841214656,0.2207133586326831,False
