model,split,epoch,mask_map50,mask_map50_95,mask_precision,mask_recall,mask_f1,box_map50,box_map50_95,box_precision,box_recall,box_f1,val_seg_loss,val_box_loss,val_cls_loss,train_time_sec
Baseline,s0,100,0.92081,0.72317,0.92497,0.87365,0.8985778435689583,0.91801,0.74841,0.93452,0.85039,0.8904723070631012,1.41419,0.73127,0.55976,6781.42
TSVM,s0,100,0.90605,0.72006,0.88859,0.87929,0.8839155384980881,0.90198,0.73369,0.88064,0.87141,0.876000687651608,1.39216,0.76657,0.58418,14286.8
Baseline,s1,98,0.92232,0.74345,0.91774,0.87848,0.8976809468773314,0.91587,0.75118,0.90954,0.87084,0.889769390354868,1.41503,0.73526,0.5727,7189.7
TSVM,s1,100,0.90595,0.7212,0.92952,0.83075,0.8773639725723894,0.89115,0.74789,0.92078,0.82365,0.8695108969692106,1.42412,0.73599,0.57516,14133.5
Baseline,s2,80,0.90486,0.72706,0.91422,0.87402,0.8936681478996108,0.90613,0.7334,0.91422,0.87402,0.8936681478996108,1.3605,0.75844,0.57969,6662.36
TSVM,s2,79,0.9146,0.72911,0.90964,0.86614,0.8873572059601977,0.90914,0.73481,0.90137,0.85827,0.8792921619194835,1.33237,0.79491,0.57925,14073.1
Baseline,s3,100,0.91484,0.72401,0.9388,0.84548,0.8896996256192975,0.90862,0.732,0.93054,0.82677,0.8755911658159347,1.41827,0.75337,0.62482,6783.5
TSVM,s3,72,0.90882,0.71713,0.94157,0.8189,0.8759611615080064,0.90174,0.74307,0.93251,0.81102,0.8675322594965387,1.37705,0.7348,0.64499,14006.5
Baseline,s4,85,0.91274,0.74955,0.89738,0.89764,0.8975099811701261,0.91176,0.75131,0.89738,0.89764,0.8975099811701261,1.45995,0.76063,0.50053,7012.28
TSVM,s4,71,0.92682,0.72024,0.91363,0.83465,0.8723560064749354,0.91202,0.72859,0.89629,0.8189,0.8558490674502534,1.40163,0.8322,0.61459,14205.8
Baseline,s5,88,0.91071,0.70728,0.92597,0.88645,0.9057791312168261,0.89926,0.72612,0.91775,0.87857,0.8977327174445533,1.52075,0.76299,0.57119,6728.03
TSVM,s5,89,0.92244,0.7308,0.93244,0.86614,0.8980680109864448,0.91742,0.75047,0.90298,0.87402,0.8882640175576814,1.43443,0.74749,0.56458,14004.4
