split,stem,source_image,source_mask,output_image,output_mask_original,output_mask_binary,image_hash,mask_hash
train,cju0qkwl35piu0993l0dewei2,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\images\cju0qkwl35piu0993l0dewei2.jpg,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\masks\cju0qkwl35piu0993l0dewei2.jpg,train/images/cju0qkwl35piu0993l0dewei2.jpg,train/masks_original/cju0qkwl35piu0993l0dewei2.jpg,train/masks_binary/cju0qkwl35piu0993l0dewei2.png,e81a4775695c77b9af251de1fe9249c3fa30999005ad8a5f6b6da49de8368c01,4e941c5eeeff59a8d3755acdf7ca9cb219f2afbf8ae8ad7cbfcb2b44c7b4dc29
train,cju0qoxqj9q6s0835b43399p4,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\images\cju0qoxqj9q6s0835b43399p4.jpg,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\masks\cju0qoxqj9q6s0835b43399p4.jpg,train/images/cju0qoxqj9q6s0835b43399p4.jpg,train/masks_original/cju0qoxqj9q6s0835b43399p4.jpg,train/masks_binary/cju0qoxqj9q6s0835b43399p4.png,e7046f72d982bf65c853e1465f8f45d7f29bca4f2d0ceac286641dc27e4ac872,7d3ee6a37e09953651a2aae1b19295a305b5d1a033f7db3550a748e46c31334a
train,cju0qx73cjw570799j4n5cjze,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\images\cju0qx73cjw570799j4n5cjze.jpg,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\masks\cju0qx73cjw570799j4n5cjze.jpg,train/images/cju0qx73cjw570799j4n5cjze.jpg,train/masks_original/cju0qx73cjw570799j4n5cjze.jpg,train/masks_binary/cju0qx73cjw570799j4n5cjze.png,93cdd44ff97a1cb47e9459e1da1cf6896b92ce5f9ec327e07e87bbd211fa80db,4ef7e66e0cb3a5ed9fada05c79c63261a6708f40778e371f97e4a5ec0de4981f
train,cju0roawvklrq0799vmjorwfv,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\images\cju0roawvklrq0799vmjorwfv.jpg,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\masks\cju0roawvklrq0799vmjorwfv.jpg,train/images/cju0roawvklrq0799vmjorwfv.jpg,train/masks_original/cju0roawvklrq0799vmjorwfv.jpg,train/masks_binary/cju0roawvklrq0799vmjorwfv.png,29a422d7390c43f199643f431506cb9198eb434a3ad68f9f3e0cf87d1b7c17d5,09705527988c6491c941c8414651fb0f89728b81de5af0ca474f275bbf8cbb2e
train,cju0rx1idathl0835detmsp84,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\images\cju0rx1idathl0835detmsp84.jpg,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\masks\cju0rx1idathl0835detmsp84.jpg,train/images/cju0rx1idathl0835detmsp84.jpg,train/masks_original/cju0rx1idathl0835detmsp84.jpg,train/masks_binary/cju0rx1idathl0835detmsp84.png,9499e756081e1f45cc46dd355c08dbd0f6e521d78b39b000b1bd11d9ecb28b48,5822152953171123ebdafad7fda95d90fa1a83cda1ee66d7deeee0212f1d020d
train,cju0s2a9ekvms080138tjjpxr,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\images\cju0s2a9ekvms080138tjjpxr.jpg,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\masks\cju0s2a9ekvms080138tjjpxr.jpg,train/images/cju0s2a9ekvms080138tjjpxr.jpg,train/masks_original/cju0s2a9ekvms080138tjjpxr.jpg,train/masks_binary/cju0s2a9ekvms080138tjjpxr.png,76bc67131a7eac4b1ced73c61be8c5a32acc5c460d71b102bb1d5576de1021d0,2d5b1ea645ececebafdd57fd898a23d8e7e9004bc03d59d44e78c978ec59fad4
train,cju171py4qiha0835u8sl59ds,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\images\cju171py4qiha0835u8sl59ds.jpg,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\masks\cju171py4qiha0835u8sl59ds.jpg,train/images/cju171py4qiha0835u8sl59ds.jpg,train/masks_original/cju171py4qiha0835u8sl59ds.jpg,train/masks_binary/cju171py4qiha0835u8sl59ds.png,a2a8a170233a62fcafff9688aeb57e4b7e899a9480296dc092ff421a0e29dcd6,66959a28c9e45d7b61f4738383a5259ea2e1e8764cd26dffebb13436ed6bb6ab
train,cju175facms5f0993a5tjikvt,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\images\cju175facms5f0993a5tjikvt.jpg,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\masks\cju175facms5f0993a5tjikvt.jpg,train/images/cju175facms5f0993a5tjikvt.jpg,train/masks_original/cju175facms5f0993a5tjikvt.jpg,train/masks_binary/cju175facms5f0993a5tjikvt.png,90af7800dbc4336b1650531b423d9ff23453d440daabb185e39c812aca5fa996,fdd558129c3fb527ff9ad049de5b27fa0396a0920927d5bc7de9d1cf5ce03145
train,cju17bz250pgd0799u1hqkj5u,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\images\cju17bz250pgd0799u1hqkj5u.jpg,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\masks\cju17bz250pgd0799u1hqkj5u.jpg,train/images/cju17bz250pgd0799u1hqkj5u.jpg,train/masks_original/cju17bz250pgd0799u1hqkj5u.jpg,train/masks_binary/cju17bz250pgd0799u1hqkj5u.png,b94194538316aea604b83836f80f2dc5aad82ade8b0f87d47dbf6fc48f31a687,16177877db7fe158d8d45d9cf0e2b13a3ce1d17bacc979f09910434382cf1847
train,cju17g6ykn1cs0993dww6qdi8,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\images\cju17g6ykn1cs0993dww6qdi8.jpg,C:\LeDucLuong\HK VII\LuanCuNhan\DeepLearning\Test_Mau\archive\Kvasir-SEG\Kvasir-SEG\masks\cju17g6ykn1cs0993dww6qdi8.jpg,train/images/cju17g6ykn1cs0993dww6qdi8.jpg,train/masks_original/cju17g6ykn1cs0993dww6qdi8.jpg,train/masks_binary/cju17g6ykn1cs0993dww6qdi8.png,6a46a47a3b9a81ceb6c0ac4bafd88ff83d215144aff64ccf4c5ac634d9dd6b53,bfef2c3fc8fd6e42186244b478abdeeb43324ab44a24ea83713b2d3b3a166e46
